Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
alunablue,0,0,0,Unavailable,2020-07-25,22:45:45,Unavailable,Unavailable,Unavailable,Unavailable,alunablue,alunablue,alunablue,meta-LR65ivRA0hSR.json,LR,RREEPPLLAACCEE/LR/65/LR65ivRA0hSR.mp4,RREEPPLLAACCEE/LR/65/LR65ivRA0hSR_small.mp4
ericj,0,0,0,Unavailable,2020-08-29,00:44:59,Unavailable,Unavailable,Unavailable,Unavailable,ericj,ericj,ericj,meta-LRZ4PfHMDXq7.json,LR,RREEPPLLAACCEE/LR/Z4/LRZ4PfHMDXq7.mp4,RREEPPLLAACCEE/LR/Z4/LRZ4PfHMDXq7_small.mp4
Miki,0,0,0,Unavailable,2020-10-24,18:19:02,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-LRrHXWhSAm2O.json,LR,RREEPPLLAACCEE/LR/rH/LRrHXWhSAm2O.mp4,RREEPPLLAACCEE/LR/rH/LRrHXWhSAm2O_small.mp4
Monster Dell,0,0,0,Unavailable,2020-07-03,18:42:27,Unavailable,Unavailable,Unavailable,Unavailable,Monster Dell,Monster Dell,Monster Dell,meta-LRrstSNengKC.json,LR,RREEPPLLAACCEE/LR/rs/LRrstSNengKC.mp4,RREEPPLLAACCEE/LR/rs/LRrstSNengKC_small.mp4
Miki,0,0,0,Unavailable,2020-10-23,20:19:38,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-LretTI3WCx3B.json,Lr,RREEPPLLAACCEE/Lr/et/LretTI3WCx3B.mp4,RREEPPLLAACCEE/Lr/et/LretTI3WCx3B_small.mp4
info,0,0,0,Unavailable,2020-10-10,16:47:28,Canon,,Unavailable,Unavailable,info,info,info,meta-lRAZzNW97bmX.json,lR,RREEPPLLAACCEE/lR/AZ/lRAZzNW97bmX.mp4,RREEPPLLAACCEE/lR/AZ/lRAZzNW97bmX_small.mp4
F8005,0,0,0,Unavailable,2020-12-06,08:36:16,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-lrF9xE26Zql1.json,lr,RREEPPLLAACCEE/lr/F9/lrF9xE26Zql1.mp4,RREEPPLLAACCEE/lr/F9/lrF9xE26Zql1_small.mp4
Unavailable,38.8813,77.0683,26.241,Above Sea Level,2021-01-06,16:49:33,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LR1mPrzxmeQv.json,LR,RREEPPLLAACCEE/LR/1m/LR1mPrzxmeQv.mp4,RREEPPLLAACCEE/LR/1m/LR1mPrzxmeQv_small.mp4
Unavailable,42.6556,73.7585,50.415,Above Sea Level,2020-11-15,20:52:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LR57pqEswSje.json,LR,RREEPPLLAACCEE/LR/57/LR57pqEswSje.mp4,RREEPPLLAACCEE/LR/57/LR57pqEswSje_small.mp4
Unavailable,18.5138,67.0569,4.733,Above Sea Level,2020-12-25,16:15:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LR5apMMMwsE2.json,LR,RREEPPLLAACCEE/LR/5a/LR5apMMMwsE2.mp4,RREEPPLLAACCEE/LR/5a/LR5apMMMwsE2_small.mp4
Unavailable,42.0175,93.6760,310,Above Sea Level,2020-10-07,20:05:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LR6A7fkrqAk1.json,LR,RREEPPLLAACCEE/LR/6A/LR6A7fkrqAk1.mp4,RREEPPLLAACCEE/LR/6A/LR6A7fkrqAk1_small.mp4
Unavailable,29.9865,93.9642,0,Unavailable,2020-10-09,01:37:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRByQSNPD7ao.json,LR,RREEPPLLAACCEE/LR/By/LRByQSNPD7ao.mp4,RREEPPLLAACCEE/LR/By/LRByQSNPD7ao_small.mp4
Unavailable,40.7136,73.9042,35.52,Above Sea Level,2020-10-10,19:58:09,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRJ2agJ9s0yR.json,LR,RREEPPLLAACCEE/LR/J2/LRJ2agJ9s0yR.mp4,RREEPPLLAACCEE/LR/J2/LRJ2agJ9s0yR_small.mp4
Unavailable,36.1438,115.1602,628.43,Above Sea Level,2020-08-09,06:42:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LROIOxeBWAi9.json,LR,RREEPPLLAACCEE/LR/OI/LROIOxeBWAi9.mp4,RREEPPLLAACCEE/LR/OI/LROIOxeBWAi9_small.mp4
Unavailable,28.3938,82.6646,0,Unavailable,2020-11-22,01:38:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRQaopk4tLfM.json,LR,RREEPPLLAACCEE/LR/Qa/LRQaopk4tLfM.mp4,RREEPPLLAACCEE/LR/Qa/LRQaopk4tLfM_small.mp4
Unavailable,39.9372,88.8749,211.503,Above Sea Level,2020-10-31,16:49:01,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRbc3Omdv6Ko.json,LR,RREEPPLLAACCEE/LR/bc/LRbc3Omdv6Ko.mp4,RREEPPLLAACCEE/LR/bc/LRbc3Omdv6Ko_small.mp4
Unavailable,33.9628,84.4064,0,Unavailable,2020-10-16,20:02:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRcy2BHAO5Ml.json,LR,RREEPPLLAACCEE/LR/cy/LRcy2BHAO5Ml.mp4,RREEPPLLAACCEE/LR/cy/LRcy2BHAO5Ml_small.mp4
Unavailable,41.2553,72.8716,8.443,Above Sea Level,2021-01-09,13:09:33,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRdKWbqY57mm.json,LR,RREEPPLLAACCEE/LR/dK/LRdKWbqY57mm.mp4,RREEPPLLAACCEE/LR/dK/LRdKWbqY57mm_small.mp4
Unavailable,35.2580,80.8710,205.7,Above Sea Level,2020-11-25,19:08:43,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRj7cmqqxwGq.json,LR,RREEPPLLAACCEE/LR/j7/LRj7cmqqxwGq.mp4,RREEPPLLAACCEE/LR/j7/LRj7cmqqxwGq_small.mp4
Unavailable,39.0159,77.5618,106.263,Above Sea Level,2020-11-20,22:03:06,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRrCwtGZ3fBV.json,LR,RREEPPLLAACCEE/LR/rC/LRrCwtGZ3fBV.mp4,RREEPPLLAACCEE/LR/rC/LRrCwtGZ3fBV_small.mp4
Unavailable,30.6043,91.0589,26.776,Above Sea Level,2020-07-07,21:37:29,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LRxUWeZYesgo.json,LR,RREEPPLLAACCEE/LR/xU/LRxUWeZYesgo.mp4,RREEPPLLAACCEE/LR/xU/LRxUWeZYesgo_small.mp4
Unavailable,26.7739,80.0327,26.186,Above Sea Level,2020-11-09,14:36:40,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr1SUkWeL9Uo.json,Lr,RREEPPLLAACCEE/Lr/1S/Lr1SUkWeL9Uo.mp4,RREEPPLLAACCEE/Lr/1S/Lr1SUkWeL9Uo_small.mp4
Unavailable,36.0639,114.9980,0,Unavailable,2020-12-09,02:56:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr29Vkl7w34b.json,Lr,RREEPPLLAACCEE/Lr/29/Lr29Vkl7w34b.mp4,RREEPPLLAACCEE/Lr/29/Lr29Vkl7w34b_small.mp4
Unavailable,41.7484,71.4802,29.57,Above Sea Level,2020-10-24,20:11:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr2jLwfnQNze.json,Lr,RREEPPLLAACCEE/Lr/2j/Lr2jLwfnQNze.mp4,RREEPPLLAACCEE/Lr/2j/Lr2jLwfnQNze_small.mp4
Unavailable,32.0282,101.9509,845.796,Above Sea Level,2020-08-20,01:36:00,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr2ntiJdNSCx.json,Lr,RREEPPLLAACCEE/Lr/2n/Lr2ntiJdNSCx.mp4,RREEPPLLAACCEE/Lr/2n/Lr2ntiJdNSCx_small.mp4
Unavailable,39.9892,82.3955,297.428,Above Sea Level,2020-10-10,17:51:57,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr4osfOti9ST.json,Lr,RREEPPLLAACCEE/Lr/4o/Lr4osfOti9ST.mp4,RREEPPLLAACCEE/Lr/4o/Lr4osfOti9ST_small.mp4
Unavailable,30.6444,90.2431,32.635,Above Sea Level,2020-10-31,17:38:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr8aSGvJsDgO.json,Lr,RREEPPLLAACCEE/Lr/8a/Lr8aSGvJsDgO.mp4,RREEPPLLAACCEE/Lr/8a/Lr8aSGvJsDgO_small.mp4
Unavailable,28.3408,80.7500,5.901,Above Sea Level,2020-11-18,00:28:17,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Lr9jaGbNxOxN.json,Lr,RREEPPLLAACCEE/Lr/9j/Lr9jaGbNxOxN.mp4,RREEPPLLAACCEE/Lr/9j/Lr9jaGbNxOxN_small.mp4
Unavailable,40.6661,73.6275,8.348,Above Sea Level,2020-11-02,17:26:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LrDTF5kKAtZZ.json,Lr,RREEPPLLAACCEE/Lr/DT/LrDTF5kKAtZZ.mp4,RREEPPLLAACCEE/Lr/DT/LrDTF5kKAtZZ_small.mp4
Unavailable,44.8928,94.4288,0,Unavailable,2020-11-09,22:16:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LrLzEgMoxEXw.json,Lr,RREEPPLLAACCEE/Lr/Lz/LrLzEgMoxEXw.mp4,RREEPPLLAACCEE/Lr/Lz/LrLzEgMoxEXw_small.mp4
Unavailable,34.9663,80.5462,0,Unavailable,2020-11-28,05:44:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LrOvWZ2Zlh5n.json,Lr,RREEPPLLAACCEE/Lr/Ov/LrOvWZ2Zlh5n.mp4,RREEPPLLAACCEE/Lr/Ov/LrOvWZ2Zlh5n_small.mp4
Unavailable,35.9305,86.8181,240.909,Above Sea Level,2020-07-14,14:24:01,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LrSA7HZjuPh0.json,Lr,RREEPPLLAACCEE/Lr/SA/LrSA7HZjuPh0.mp4,RREEPPLLAACCEE/Lr/SA/LrSA7HZjuPh0_small.mp4
