Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
iMac,0,0,0,Unavailable,2020-11-10,19:28:00,NIKON,,Unavailable,Unavailable,iMac,iMac,iMac,meta-FDV1IHu6uUah.json,FD,RREEPPLLAACCEE/FD/V1/FDV1IHu6uUah.mp4,RREEPPLLAACCEE/FD/V1/FDV1IHu6uUah_small.mp4
pearceoshea,0,0,0,Unavailable,2020-08-24,09:03:28,Unavailable,Unavailable,Unavailable,Unavailable,pearceoshea,pearceoshea,pearceoshea,meta-FDvexxXaUIAJ.json,FD,RREEPPLLAACCEE/FD/ve/FDvexxXaUIAJ.mp4,RREEPPLLAACCEE/FD/ve/FDvexxXaUIAJ_small.mp4
paulg,0,0,0,Unavailable,2020-08-18,17:18:18,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-FdJHCB5brIXH.json,Fd,RREEPPLLAACCEE/Fd/JH/FdJHCB5brIXH.mp4,RREEPPLLAACCEE/Fd/JH/FdJHCB5brIXH_small.mp4
marcstevens,0,0,0,Unavailable,2020-12-28,19:43:15,Unavailable,Unavailable,Unavailable,Unavailable,marcstevens,marcstevens,marcstevens,meta-fdBwi94Qlnan.json,fd,RREEPPLLAACCEE/fd/Bw/fdBwi94Qlnan.mp4,RREEPPLLAACCEE/fd/Bw/fdBwi94Qlnan_small.mp4
jolow,0,0,0,Unavailable,2020-11-25,16:54:17,Unavailable,Unavailable,Unavailable,Unavailable,jolow,jolow,jolow,meta-fdN0pQvGD8mx.json,fd,RREEPPLLAACCEE/fd/N0/fdN0pQvGD8mx.mp4,RREEPPLLAACCEE/fd/N0/fdN0pQvGD8mx_small.mp4
sightfloow,0,0,0,Unavailable,2020-08-30,07:35:09,Unavailable,Unavailable,Unavailable,Unavailable,sightfloow,sightfloow,sightfloow,meta-fdU4xcVHYm52.json,fd,RREEPPLLAACCEE/fd/U4/fdU4xcVHYm52.mp4,RREEPPLLAACCEE/fd/U4/fdU4xcVHYm52_small.mp4
michelcardon,0,0,0,Unavailable,2020-11-24,09:43:59,Unavailable,Unavailable,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-fdgHDhvN7oOP.json,fd,RREEPPLLAACCEE/fd/gH/fdgHDhvN7oOP.mp4,RREEPPLLAACCEE/fd/gH/fdgHDhvN7oOP_small.mp4
Unavailable,36.1148,119.6550,59.2,Above Sea Level,2020-11-12,23:53:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FD8efZf5p17I.json,FD,RREEPPLLAACCEE/FD/8e/FD8efZf5p17I.mp4,RREEPPLLAACCEE/FD/8e/FD8efZf5p17I_small.mp4
Unavailable,38.8919,77.0112,10.222,Above Sea Level,2020-11-14,18:52:29,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDVSkC7uAgSs.json,FD,RREEPPLLAACCEE/FD/VS/FDVSkC7uAgSs.mp4,RREEPPLLAACCEE/FD/VS/FDVSkC7uAgSs_small.mp4
Unavailable,49.0144,123.0662,9.299,Above Sea Level,2020-11-14,18:19:07,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDVfhnYX0GCl.json,FD,RREEPPLLAACCEE/FD/Vf/FDVfhnYX0GCl.mp4,RREEPPLLAACCEE/FD/Vf/FDVfhnYX0GCl_small.mp4
Unavailable,38.8918,77.0062,26.696,Above Sea Level,2020-11-14,19:43:42,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDXF6QdOO7AQ.json,FD,RREEPPLLAACCEE/FD/XF/FDXF6QdOO7AQ.mp4,RREEPPLLAACCEE/FD/XF/FDXF6QdOO7AQ_small.mp4
Unavailable,30.3042,87.5271,5.394,Above Sea Level,2020-11-16,02:23:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDXOZJZ4T45C.json,FD,RREEPPLLAACCEE/FD/XO/FDXOZJZ4T45C.mp4,RREEPPLLAACCEE/FD/XO/FDXOZJZ4T45C_small.mp4
Unavailable,41.8956,12.4719,36.864,Above Sea Level,2018-09-29,17:33:18,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDYJSsInyzHb.json,FD,RREEPPLLAACCEE/FD/YJ/FDYJSsInyzHb.mp4,RREEPPLLAACCEE/FD/YJ/FDYJSsInyzHb_small.mp4
Unavailable,29.5408,95.2235,10.466,Above Sea Level,2020-07-02,22:22:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDYVhpnYDNPU.json,FD,RREEPPLLAACCEE/FD/YV/FDYVhpnYDNPU.mp4,RREEPPLLAACCEE/FD/YV/FDYVhpnYDNPU_small.mp4
Unavailable,39.4257,76.3037,33.56,Above Sea Level,2020-03-16,12:34:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FDdRCGShlBwU.json,FD,RREEPPLLAACCEE/FD/dR/FDdRCGShlBwU.mp4,RREEPPLLAACCEE/FD/dR/FDdRCGShlBwU_small.mp4
