Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
imacpro1,0,0,0,Unavailable,2020-08-18,10:12:32,Unavailable,Unavailable,Unavailable,Unavailable,videoimacpro,videoimacpro,videoimacpro,meta-Pe5oKoTpLNO7.json,Pe,RREEPPLLAACCEE/Pe/5o/Pe5oKoTpLNO7.mp4,RREEPPLLAACCEE/Pe/5o/Pe5oKoTpLNO7_small.mp4
edit_11,0,0,0,Unavailable,2019-10-18,16:48:04,Unavailable,Unavailable,Unavailable,Unavailable,roundhead,roundhead,roundhead,meta-PeC1t4DS4ni4.json,Pe,RREEPPLLAACCEE/Pe/C1/PeC1t4DS4ni4.mp4,RREEPPLLAACCEE/Pe/C1/PeC1t4DS4ni4_small.mp4
Brian,0,0,0,Unavailable,2020-11-06,04:37:13,Unavailable,Unavailable,Unavailable,Unavailable,Brian,Brian,Brian,meta-PeeOsnrMvLLB.json,Pe,RREEPPLLAACCEE/Pe/eO/PeeOsnrMvLLB.mp4,RREEPPLLAACCEE/Pe/eO/PeeOsnrMvLLB_small.mp4
Usuário,0,0,0,Unavailable,2020-09-09,15:32:07,Unavailable,Unavailable,Unavailable,Unavailable,Usuário,Usuário,Usuário,meta-pEXZPdOfb5Dw.json,pE,RREEPPLLAACCEE/pE/XZ/pEXZPdOfb5Dw.mp4,RREEPPLLAACCEE/pE/XZ/pEXZPdOfb5Dw_small.mp4
augusto,0,0,0,Unavailable,2020-10-29,12:04:23,Unavailable,Unavailable,Unavailable,Unavailable,augusto,augusto,augusto,meta-peTcBU2xLWlh.json,pe,RREEPPLLAACCEE/pe/Tc/peTcBU2xLWlh.mp4,RREEPPLLAACCEE/pe/Tc/peTcBU2xLWlh_small.mp4
DK,0,0,0,Unavailable,2020-11-12,19:17:53,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-pevqVlNmG5lp.json,pe,RREEPPLLAACCEE/pe/vq/pevqVlNmG5lp.mp4,RREEPPLLAACCEE/pe/vq/pevqVlNmG5lp_small.mp4
Unavailable,38.8903,77.0058,27.806,Above Sea Level,2020-11-14,20:35:01,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PE130ga1rkMi.json,PE,RREEPPLLAACCEE/PE/13/PE130ga1rkMi.mp4,RREEPPLLAACCEE/PE/13/PE130ga1rkMi_small.mp4
Unavailable,29.1113,81.3878,3.649,Below Sea Level,2020-11-10,15:36:08,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PE1mU12GdHy8.json,PE,RREEPPLLAACCEE/PE/1m/PE1mU12GdHy8.mp4,RREEPPLLAACCEE/PE/1m/PE1mU12GdHy8_small.mp4
Unavailable,40.3197,79.9066,286,Above Sea Level,2020-09-02,21:03:31,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PE2zr0CsgyxN.json,PE,RREEPPLLAACCEE/PE/2z/PE2zr0CsgyxN.mp4,RREEPPLLAACCEE/PE/2z/PE2zr0CsgyxN_small.mp4
Unavailable,44.0807,103.2603,0,Unavailable,2020-12-15,16:26:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PE5RGhbWw6xm.json,PE,RREEPPLLAACCEE/PE/5R/PE5RGhbWw6xm.mp4,RREEPPLLAACCEE/PE/5R/PE5RGhbWw6xm_small.mp4
