Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
anthony072420,0,0,0,Unavailable,2020-12-30,14:46:39,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-8TcntHHruPRN.json,8T,RREEPPLLAACCEE/8T/cn/8TcntHHruPRN.mp4,RREEPPLLAACCEE/8T/cn/8TcntHHruPRN_small.mp4
kellymartin,0,0,0,Unavailable,2020-06-30,20:37:29,Unavailable,Unavailable,Unavailable,Unavailable,kellymartin,kellymartin,kellymartin,meta-8tXpjqEYfCu0.json,8t,RREEPPLLAACCEE/8t/Xp/8tXpjqEYfCu0.mp4,RREEPPLLAACCEE/8t/Xp/8tXpjqEYfCu0_small.mp4
Unavailable,30.5994,87.1799,16.342,Above Sea Level,2020-12-13,01:56:39,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8T9dymEmhzDi.json,8T,RREEPPLLAACCEE/8T/9d/8T9dymEmhzDi.mp4,RREEPPLLAACCEE/8T/9d/8T9dymEmhzDi_small.mp4
Unavailable,28.3615,82.7110,2.863,Above Sea Level,2020-11-11,18:55:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8TBE24jOtMTb.json,8T,RREEPPLLAACCEE/8T/BE/8TBE24jOtMTb.mp4,RREEPPLLAACCEE/8T/BE/8TBE24jOtMTb_small.mp4
Unavailable,40.0582,77.4808,222.339,Above Sea Level,2020-11-08,20:42:26,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8THX9EVtzDRj.json,8T,RREEPPLLAACCEE/8T/HX/8THX9EVtzDRj.mp4,RREEPPLLAACCEE/8T/HX/8THX9EVtzDRj_small.mp4
Unavailable,27.0119,82.2727,3.283,Above Sea Level,2020-10-10,16:06:04,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8TKCiLNJ8MJy.json,8T,RREEPPLLAACCEE/8T/KC/8TKCiLNJ8MJy.mp4,RREEPPLLAACCEE/8T/KC/8TKCiLNJ8MJy_small.mp4
Unavailable,33.4429,112.4147,301.967,Above Sea Level,2020-12-24,05:08:19,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8TNYayIHhC05.json,8T,RREEPPLLAACCEE/8T/NY/8TNYayIHhC05.mp4,RREEPPLLAACCEE/8T/NY/8TNYayIHhC05_small.mp4
Unavailable,39.0464,74.7595,2.632,Above Sea Level,2020-11-14,16:24:13,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8TcanjJzEyUv.json,8T,RREEPPLLAACCEE/8T/ca/8TcanjJzEyUv.mp4,RREEPPLLAACCEE/8T/ca/8TcanjJzEyUv_small.mp4
Unavailable,42.4666,83.0150,191.462,Above Sea Level,2020-09-13,12:07:20,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Th9y3rJQ74m.json,8T,RREEPPLLAACCEE/8T/h9/8Th9y3rJQ74m.mp4,RREEPPLLAACCEE/8T/h9/8Th9y3rJQ74m_small.mp4
Unavailable,26.4595,80.1398,7.698,Above Sea Level,2021-01-03,16:27:26,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8TiC2UQJ8vTp.json,8T,RREEPPLLAACCEE/8T/iC/8TiC2UQJ8vTp.mp4,RREEPPLLAACCEE/8T/iC/8TiC2UQJ8vTp_small.mp4
