Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
gena,0,0,0,Unavailable,2020-11-17,16:16:41,Unavailable,Unavailable,Unavailable,Unavailable,gena,gena,gena,meta-HXOvHFBLUesk.json,HX,RREEPPLLAACCEE/HX/Ov/HXOvHFBLUesk.mp4,RREEPPLLAACCEE/HX/Ov/HXOvHFBLUesk_small.mp4
Ares,0,0,0,Unavailable,2020-10-26,08:52:33,Unavailable,Unavailable,Unavailable,Unavailable,Ares,Ares,Ares,meta-HXSPZ3v7YUaX.json,HX,RREEPPLLAACCEE/HX/SP/HXSPZ3v7YUaX.mp4,RREEPPLLAACCEE/HX/SP/HXSPZ3v7YUaX_small.mp4
a_rad,0,0,0,Unavailable,2020-08-17,12:23:51,Unavailable,Unavailable,Unavailable,Unavailable,a_rad,a_rad,a_rad,meta-hXQesqa0Har8.json,hX,RREEPPLLAACCEE/hX/Qe/hXQesqa0Har8.mp4,RREEPPLLAACCEE/hX/Qe/hXQesqa0Har8_small.mp4
qanon,0,0,0,Unavailable,2020-10-31,06:41:13,Canon,,Unavailable,Unavailable,qanon,qanon,qanon,meta-hXSCShQJUppd.json,hX,RREEPPLLAACCEE/hX/SC/hXSCShQJUppd.mp4,RREEPPLLAACCEE/hX/SC/hXSCShQJUppd_small.mp4
Tatiana,0,0,0,Unavailable,2020-12-04,04:22:10,Unavailable,,Unavailable,Unavailable,Tatiana,Tatiana,Tatiana,meta-hx6VrWowdcrc.json,hx,RREEPPLLAACCEE/hx/6V/hx6VrWowdcrc.mp4,RREEPPLLAACCEE/hx/6V/hx6VrWowdcrc_small.mp4
Miki,0,0,0,Unavailable,2020-10-24,18:13:46,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-hxNtl03Yw6Ie.json,hx,RREEPPLLAACCEE/hx/Nt/hxNtl03Yw6Ie.mp4,RREEPPLLAACCEE/hx/Nt/hxNtl03Yw6Ie_small.mp4
Jerry,0,0,0,Unavailable,2021-01-03,16:35:27,Unavailable,,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-hxgJGRkQKDBD.json,hx,RREEPPLLAACCEE/hx/gJ/hxgJGRkQKDBD.mp4,RREEPPLLAACCEE/hx/gJ/hxgJGRkQKDBD_small.mp4
Unavailable,38.8900,77.0103,14.442,Above Sea Level,2021-01-06,20:43:53,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HX07G51QKPEx.json,HX,RREEPPLLAACCEE/HX/07/HX07G51QKPEx.mp4,RREEPPLLAACCEE/HX/07/HX07G51QKPEx_small.mp4
Unavailable,33.4479,112.0945,329.012,Above Sea Level,2020-11-28,19:46:26,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HX2ZVk442boF.json,HX,RREEPPLLAACCEE/HX/2Z/HX2ZVk442boF.mp4,RREEPPLLAACCEE/HX/2Z/HX2ZVk442boF_small.mp4
Unavailable,33.7761,117.1571,451.293,Above Sea Level,2020-09-02,15:19:10,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HX6bdZ8an6tn.json,HX,RREEPPLLAACCEE/HX/6b/HX6bdZ8an6tn.mp4,RREEPPLLAACCEE/HX/6b/HX6bdZ8an6tn_small.mp4
