Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
samue,0,0,0,Unavailable,2020-12-06,22:33:18,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-F5utigujANWF.json,F5,RREEPPLLAACCEE/F5/ut/F5utigujANWF.mp4,RREEPPLLAACCEE/F5/ut/F5utigujANWF_small.mp4
samue,0,0,0,Unavailable,2020-12-25,03:19:34,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-f56F4j7nF84D.json,f5,RREEPPLLAACCEE/f5/6F/f56F4j7nF84D.mp4,RREEPPLLAACCEE/f5/6F/f56F4j7nF84D_small.mp4
Gabriela Tolentino,0,0,0,Unavailable,2020-05-11,16:51:49,Unavailable,,Unavailable,Unavailable,Gabriela Tolentino,Gabriela Tolentino,Gabriela Tolentino,meta-f5qjFHCxecB8.json,f5,RREEPPLLAACCEE/f5/qj/f5qjFHCxecB8.mp4,RREEPPLLAACCEE/f5/qj/f5qjFHCxecB8_small.mp4
veey,0,0,0,Unavailable,2020-11-01,15:08:55,Unavailable,,Unavailable,Unavailable,veey,veey,veey,meta-f5uDLbJbKhxc.json,f5,RREEPPLLAACCEE/f5/uD/f5uDLbJbKhxc.mp4,RREEPPLLAACCEE/f5/uD/f5uDLbJbKhxc_small.mp4
Unavailable,51.4271,.9683,39.02,Above Sea Level,2020-07-22,10:24:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F507ZxC77zfr.json,F5,RREEPPLLAACCEE/F5/07/F507ZxC77zfr.mp4,RREEPPLLAACCEE/F5/07/F507ZxC77zfr_small.mp4
Unavailable,18.7943,98.9777,313.951,Above Sea Level,2018-04-09,04:00:23,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F54r1wt9fW9f.json,F5,RREEPPLLAACCEE/F5/4r/F54r1wt9fW9f.mp4,RREEPPLLAACCEE/F5/4r/F54r1wt9fW9f_small.mp4
Unavailable,34.0140,85.9173,156.004,Above Sea Level,2020-11-27,02:41:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5BG8G13Neyo.json,F5,RREEPPLLAACCEE/F5/BG/F5BG8G13Neyo.mp4,RREEPPLLAACCEE/F5/BG/F5BG8G13Neyo_small.mp4
Unavailable,28.6169,81.4489,21.423,Above Sea Level,2020-12-24,00:55:42,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5CTF2HVaapg.json,F5,RREEPPLLAACCEE/F5/CT/F5CTF2HVaapg.mp4,RREEPPLLAACCEE/F5/CT/F5CTF2HVaapg_small.mp4
Unavailable,32.9473,96.8386,184.6,Above Sea Level,2020-10-31,06:24:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5Epv06uH8w9.json,F5,RREEPPLLAACCEE/F5/Ep/F5Epv06uH8w9.mp4,RREEPPLLAACCEE/F5/Ep/F5Epv06uH8w9_small.mp4
Unavailable,30.5994,87.1798,16.47,Above Sea Level,2021-01-01,01:15:15,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5FSDbR1wSld.json,F5,RREEPPLLAACCEE/F5/FS/F5FSDbR1wSld.mp4,RREEPPLLAACCEE/F5/FS/F5FSDbR1wSld_small.mp4
Unavailable,38.9685,84.1747,271.783,Above Sea Level,2020-11-24,15:00:32,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5HOtjy9o0Ea.json,F5,RREEPPLLAACCEE/F5/HO/F5HOtjy9o0Ea.mp4,RREEPPLLAACCEE/F5/HO/F5HOtjy9o0Ea_small.mp4
Unavailable,41.9703,87.7249,0,Unavailable,2020-12-03,03:30:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5JuneTfR274.json,F5,RREEPPLLAACCEE/F5/Ju/F5JuneTfR274.mp4,RREEPPLLAACCEE/F5/Ju/F5JuneTfR274_small.mp4
Unavailable,26.9183,82.0542,2.6,Above Sea Level,2020-11-29,16:16:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5NBw18yKN0A.json,F5,RREEPPLLAACCEE/F5/NB/F5NBw18yKN0A.mp4,RREEPPLLAACCEE/F5/NB/F5NBw18yKN0A_small.mp4
Unavailable,37.8409,85.9644,0,Unavailable,2020-12-05,01:18:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5O0wqa5oUN3.json,F5,RREEPPLLAACCEE/F5/O0/F5O0wqa5oUN3.mp4,RREEPPLLAACCEE/F5/O0/F5O0wqa5oUN3_small.mp4
Unavailable,36.7069,76.2331,6.94,Above Sea Level,2020-12-13,11:35:36,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5OyaBm4qsK0.json,F5,RREEPPLLAACCEE/F5/Oy/F5OyaBm4qsK0.mp4,RREEPPLLAACCEE/F5/Oy/F5OyaBm4qsK0_small.mp4
Unavailable,38.9284,77.0199,53.985,Above Sea Level,2020-07-23,15:15:53,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5VOiWcCeYgx.json,F5,RREEPPLLAACCEE/F5/VO/F5VOiWcCeYgx.mp4,RREEPPLLAACCEE/F5/VO/F5VOiWcCeYgx_small.mp4
Unavailable,38.8901,77.0352,0,Unavailable,2021-01-06,17:06:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5ZPe3cpnqSJ.json,F5,RREEPPLLAACCEE/F5/ZP/F5ZPe3cpnqSJ.mp4,RREEPPLLAACCEE/F5/ZP/F5ZPe3cpnqSJ_small.mp4
Unavailable,32.3881,84.9546,81.46,Above Sea Level,2020-08-15,14:26:53,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5eSdE40KfWz.json,F5,RREEPPLLAACCEE/F5/eS/F5eSdE40KfWz.mp4,RREEPPLLAACCEE/F5/eS/F5eSdE40KfWz_small.mp4
Unavailable,44.4947,69.5674,108.743,Above Sea Level,2020-11-12,03:45:35,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5q9v42PnMSH.json,F5,RREEPPLLAACCEE/F5/q9/F5q9v42PnMSH.mp4,RREEPPLLAACCEE/F5/q9/F5q9v42PnMSH_small.mp4
Unavailable,41.6965,88.2379,200.94,Above Sea Level,2021-01-06,01:24:14,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5ubAfG7CrSk.json,F5,RREEPPLLAACCEE/F5/ub/F5ubAfG7CrSk.mp4,RREEPPLLAACCEE/F5/ub/F5ubAfG7CrSk_small.mp4
Unavailable,33.3989,111.7175,404.917,Above Sea Level,2020-12-05,19:10:25,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-F5udPn1Sz6y6.json,F5,RREEPPLLAACCEE/F5/ud/F5udPn1Sz6y6.mp4,RREEPPLLAACCEE/F5/ud/F5udPn1Sz6y6_small.mp4
Unavailable,40.9855,74.0363,22.928,Above Sea Level,2020-08-21,17:56:13,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-f55mEBaRoM2J.json,f5,RREEPPLLAACCEE/f5/5m/f55mEBaRoM2J.mp4,RREEPPLLAACCEE/f5/5m/f55mEBaRoM2J_small.mp4
Unavailable,40.4117,111.8909,1366.4,Above Sea Level,2020-11-05,21:27:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-f56SsD4UINQl.json,f5,RREEPPLLAACCEE/f5/6S/f56SsD4UINQl.mp4,RREEPPLLAACCEE/f5/6S/f56SsD4UINQl_small.mp4
