Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
richardkirby,0,0,0,Unavailable,2020-03-06,15:40:53,Unavailable,Unavailable,Unavailable,Unavailable,richardkirby,richardkirby,richardkirby,meta-PsUnX2ev2ZzY.json,Ps,RREEPPLLAACCEE/Ps/Un/PsUnX2ev2ZzY.mp4,RREEPPLLAACCEE/Ps/Un/PsUnX2ev2ZzY_small.mp4
NMene,0,0,0,Unavailable,2021-01-08,00:36:56,Unavailable,Unavailable,Unavailable,Unavailable,NMene,NMene,NMene,meta-PsogNzuaf5bg.json,Ps,RREEPPLLAACCEE/Ps/og/PsogNzuaf5bg.mp4,RREEPPLLAACCEE/Ps/og/PsogNzuaf5bg_small.mp4
dmlon,0,0,0,Unavailable,2020-12-22,15:34:35,Unavailable,,Unavailable,Unavailable,dmlon,dmlon,dmlon,meta-PssCRuSk7A8g.json,Ps,RREEPPLLAACCEE/Ps/sC/PssCRuSk7A8g.mp4,RREEPPLLAACCEE/Ps/sC/PssCRuSk7A8g_small.mp4
Jerry,0,0,0,Unavailable,2020-12-06,14:31:40,Unavailable,Unavailable,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-pS9CNYjyIDz3.json,pS,RREEPPLLAACCEE/pS/9C/pS9CNYjyIDz3.mp4,RREEPPLLAACCEE/pS/9C/pS9CNYjyIDz3_small.mp4
macbook,0,0,0,Unavailable,2020-08-09,13:09:36,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-pSEwWQr9xGgt.json,pS,RREEPPLLAACCEE/pS/Ew/pSEwWQr9xGgt.mp4,RREEPPLLAACCEE/pS/Ew/pSEwWQr9xGgt_small.mp4
jackparrish,0,0,0,Unavailable,2020-09-17,11:29:14,Unavailable,,Unavailable,Unavailable,jackparrish,jackparrish,jackparrish,meta-pSq9CgRdZNBb.json,pS,RREEPPLLAACCEE/pS/q9/pSq9CgRdZNBb.mp4,RREEPPLLAACCEE/pS/q9/pSq9CgRdZNBb_small.mp4
Viktor,0,0,0,Unavailable,2020-08-24,12:48:57,Unavailable,Unavailable,Unavailable,Unavailable,Viktor,Viktor,Viktor,meta-pSs5waZoJWIE.json,pS,RREEPPLLAACCEE/pS/s5/pSs5waZoJWIE.mp4,RREEPPLLAACCEE/pS/s5/pSs5waZoJWIE_small.mp4
grind,0,0,0,Unavailable,2020-11-16,19:46:06,Unavailable,Unavailable,Unavailable,Unavailable,grind,grind,grind,meta-psW8ScMu9A5s.json,ps,RREEPPLLAACCEE/ps/W8/psW8ScMu9A5s.mp4,RREEPPLLAACCEE/ps/W8/psW8ScMu9A5s_small.mp4
briandixon,0,0,0,Unavailable,2020-11-12,11:22:12,Unavailable,Unavailable,Unavailable,Unavailable,briandixon,briandixon,briandixon,meta-psXAN53LpeG1.json,ps,RREEPPLLAACCEE/ps/XA/psXAN53LpeG1.mp4,RREEPPLLAACCEE/ps/XA/psXAN53LpeG1_small.mp4
paulg,0,0,0,Unavailable,2020-11-30,20:54:35,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-pslGphI6V8j0.json,ps,RREEPPLLAACCEE/ps/lG/pslGphI6V8j0.mp4,RREEPPLLAACCEE/ps/lG/pslGphI6V8j0_small.mp4
AlexanderWebb,0,0,0,Unavailable,2020-12-11,04:16:50,Unavailable,,Unavailable,Unavailable,AlexanderWebb,AlexanderWebb,AlexanderWebb,meta-psqNtv6Ejz4Z.json,ps,RREEPPLLAACCEE/ps/qN/psqNtv6Ejz4Z.mp4,RREEPPLLAACCEE/ps/qN/psqNtv6Ejz4Z_small.mp4
