Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Ziggy Edit,0,0,0,Unavailable,2020-09-05,02:27:46,Unavailable,Unavailable,Unavailable,Unavailable,Ziggy Edit,Ziggy Edit,Ziggy Edit,meta-w02sQ9iKcStk.json,w0,RREEPPLLAACCEE/w0/2s/w02sQ9iKcStk.mp4,RREEPPLLAACCEE/w0/2s/w02sQ9iKcStk_small.mp4
home,0,0,0,Unavailable,2020-08-18,10:13:57,Panasonic,,Unavailable,Unavailable,videoimacpro,videoimacpro,videoimacpro,meta-w0qqaeRhFnow.json,w0,RREEPPLLAACCEE/w0/qq/w0qqaeRhFnow.mp4,RREEPPLLAACCEE/w0/qq/w0qqaeRhFnow_small.mp4
Unavailable,52.2843,8.9461,40.079,Above Sea Level,2019-05-26,07:06:23,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W00bYby6ct6A.json,W0,RREEPPLLAACCEE/W0/0b/W00bYby6ct6A.mp4,RREEPPLLAACCEE/W0/0b/W00bYby6ct6A_small.mp4
Unavailable,39.2166,121.0621,730.59,Above Sea Level,2020-11-29,01:11:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0H8O3dwZWIO.json,W0,RREEPPLLAACCEE/W0/H8/W0H8O3dwZWIO.mp4,RREEPPLLAACCEE/W0/H8/W0H8O3dwZWIO_small.mp4
Unavailable,42.6117,84.0068,0,Unavailable,2020-12-02,02:58:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0LRrfi3d0fO.json,W0,RREEPPLLAACCEE/W0/LR/W0LRrfi3d0fO.mp4,RREEPPLLAACCEE/W0/LR/W0LRrfi3d0fO_small.mp4
Unavailable,33.8138,117.5450,390.16,Above Sea Level,2020-07-19,11:36:21,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0LlinhGC4sK.json,W0,RREEPPLLAACCEE/W0/Ll/W0LlinhGC4sK.mp4,RREEPPLLAACCEE/W0/Ll/W0LlinhGC4sK_small.mp4
Unavailable,38.8901,77.0112,7.677,Above Sea Level,2021-01-07,02:00:58,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0M6jS61D3P5.json,W0,RREEPPLLAACCEE/W0/M6/W0M6jS61D3P5.mp4,RREEPPLLAACCEE/W0/M6/W0M6jS61D3P5_small.mp4
Unavailable,34.1178,117.1667,450.176,Above Sea Level,2020-11-14,02:14:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0UtMzR1KwEA.json,W0,RREEPPLLAACCEE/W0/Ut/W0UtMzR1KwEA.mp4,RREEPPLLAACCEE/W0/Ut/W0UtMzR1KwEA_small.mp4
Unavailable,59.5447,31.7677,0,Unavailable,2021-01-01,10:15:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0Wmb68hLh04.json,W0,RREEPPLLAACCEE/W0/Wm/W0Wmb68hLh04.mp4,RREEPPLLAACCEE/W0/Wm/W0Wmb68hLh04_small.mp4
Unavailable,42.9883,87.9790,227.059,Above Sea Level,2020-11-14,18:49:05,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0XKaelSSXEX.json,W0,RREEPPLLAACCEE/W0/XK/W0XKaelSSXEX.mp4,RREEPPLLAACCEE/W0/XK/W0XKaelSSXEX_small.mp4
Unavailable,42.8973,87.8501,203.182,Above Sea Level,2021-01-08,16:32:58,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0XMrDR1ST00.json,W0,RREEPPLLAACCEE/W0/XM/W0XMrDR1ST00.mp4,RREEPPLLAACCEE/W0/XM/W0XMrDR1ST00_small.mp4
Unavailable,31.5631,97.1955,170.23,Above Sea Level,2020-11-17,23:37:00,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0egOgjknsd5.json,W0,RREEPPLLAACCEE/W0/eg/W0egOgjknsd5.mp4,RREEPPLLAACCEE/W0/eg/W0egOgjknsd5_small.mp4
Unavailable,36.1644,86.7839,171.015,Above Sea Level,2020-11-07,18:22:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0fH9FMm1zTh.json,W0,RREEPPLLAACCEE/W0/fH/W0fH9FMm1zTh.mp4,RREEPPLLAACCEE/W0/fH/W0fH9FMm1zTh_small.mp4
Unavailable,43.4783,85.9191,246.422,Above Sea Level,2020-11-07,19:23:48,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0lv115eg78N.json,W0,RREEPPLLAACCEE/W0/lv/W0lv115eg78N.mp4,RREEPPLLAACCEE/W0/lv/W0lv115eg78N_small.mp4
Unavailable,36.4418,82.3056,475.18,Above Sea Level,2020-11-20,21:03:20,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0oJCEpyYugS.json,W0,RREEPPLLAACCEE/W0/oJ/W0oJCEpyYugS.mp4,RREEPPLLAACCEE/W0/oJ/W0oJCEpyYugS_small.mp4
Unavailable,32.3338,95.3023,177.155,Above Sea Level,2020-09-05,18:31:29,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0q2dsjHnKdf.json,W0,RREEPPLLAACCEE/W0/q2/W0q2dsjHnKdf.mp4,RREEPPLLAACCEE/W0/q2/W0q2dsjHnKdf_small.mp4
Unavailable,33.3007,111.8421,374.281,Above Sea Level,2020-11-29,05:02:19,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0qmI1C5uz7J.json,W0,RREEPPLLAACCEE/W0/qm/W0qmI1C5uz7J.mp4,RREEPPLLAACCEE/W0/qm/W0qmI1C5uz7J_small.mp4
Unavailable,28.2747,80.7399,6.995,Above Sea Level,2020-12-01,01:18:23,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0smpPOqhATw.json,W0,RREEPPLLAACCEE/W0/sm/W0smpPOqhATw.mp4,RREEPPLLAACCEE/W0/sm/W0smpPOqhATw_small.mp4
Unavailable,51.4161,116.2170,1746.569,Above Sea Level,2020-12-19,22:40:41,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0tWUPnY7tGC.json,W0,RREEPPLLAACCEE/W0/tW/W0tWUPnY7tGC.mp4,RREEPPLLAACCEE/W0/tW/W0tWUPnY7tGC_small.mp4
Unavailable,35.4914,97.5033,383.382,Above Sea Level,2021-01-06,17:44:27,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0tbMlSrnsl7.json,W0,RREEPPLLAACCEE/W0/tb/W0tbMlSrnsl7.mp4,RREEPPLLAACCEE/W0/tb/W0tbMlSrnsl7_small.mp4
Unavailable,32.5741,117.1320,6.01,Above Sea Level,2020-12-13,19:47:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0vOAJlbObUl.json,W0,RREEPPLLAACCEE/W0/vO/W0vOAJlbObUl.mp4,RREEPPLLAACCEE/W0/vO/W0vOAJlbObUl_small.mp4
Unavailable,30.2690,97.7424,149.316,Above Sea Level,2020-11-07,18:52:51,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0xiHHxgTv96.json,W0,RREEPPLLAACCEE/W0/xi/W0xiHHxgTv96.mp4,RREEPPLLAACCEE/W0/xi/W0xiHHxgTv96_small.mp4
Unavailable,36.5547,82.5710,361.195,Above Sea Level,2020-11-09,12:23:53,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W0za1XLgJSoI.json,W0,RREEPPLLAACCEE/W0/za/W0za1XLgJSoI.mp4,RREEPPLLAACCEE/W0/za/W0za1XLgJSoI_small.mp4
Unavailable,42.9159,78.8246,197.201,Above Sea Level,2020-12-29,21:55:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-w04JR20K0jjo.json,w0,RREEPPLLAACCEE/w0/4J/w04JR20K0jjo.mp4,RREEPPLLAACCEE/w0/4J/w04JR20K0jjo_small.mp4
Unavailable,39.1183,76.7120,0,Unavailable,2020-11-16,20:23:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-w06XMDqciXcX.json,w0,RREEPPLLAACCEE/w0/6X/w06XMDqciXcX.mp4,RREEPPLLAACCEE/w0/6X/w06XMDqciXcX_small.mp4
Unavailable,38.9965,77.2490,43.394,Above Sea Level,2020-12-27,21:51:12,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-w07mRJmz8Ap8.json,w0,RREEPPLLAACCEE/w0/7m/w07mRJmz8Ap8.mp4,RREEPPLLAACCEE/w0/7m/w07mRJmz8Ap8_small.mp4
Unavailable,33.4830,112.3508,304.753,Above Sea Level,2020-09-01,00:14:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-w0A716zPvK9A.json,w0,RREEPPLLAACCEE/w0/A7/w0A716zPvK9A.mp4,RREEPPLLAACCEE/w0/A7/w0A716zPvK9A_small.mp4
