Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jacob,0,0,0,Unavailable,2020-09-15,22:32:40,Unavailable,Unavailable,Unavailable,Unavailable,Jacob,Jacob,Jacob,meta-YPae4Hx7yBxZ.json,YP,RREEPPLLAACCEE/YP/ae/YPae4Hx7yBxZ.mp4,RREEPPLLAACCEE/YP/ae/YPae4Hx7yBxZ_small.mp4
melinachan,0,0,0,Unavailable,2020-07-06,22:24:51,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-YpgHNXJbKqle.json,Yp,RREEPPLLAACCEE/Yp/gH/YpgHNXJbKqle.mp4,RREEPPLLAACCEE/Yp/gH/YpgHNXJbKqle_small.mp4
charlottabennett,0,0,0,Unavailable,2020-12-12,20:11:00,Apple,,Unavailable,Unavailable,charlottabennett,charlottabennett,charlottabennett,meta-YprJHNnBapSm.json,Yp,RREEPPLLAACCEE/Yp/rJ/YprJHNnBapSm.mp4,RREEPPLLAACCEE/Yp/rJ/YprJHNnBapSm_small.mp4
victorcastaneda,0,0,0,Unavailable,2020-09-23,02:01:30,Unavailable,Unavailable,Unavailable,Unavailable,victorcastaneda,victorcastaneda,victorcastaneda,meta-yp7xbqqGAXUJ.json,yp,RREEPPLLAACCEE/yp/7x/yp7xbqqGAXUJ.mp4,RREEPPLLAACCEE/yp/7x/yp7xbqqGAXUJ_small.mp4
michaeljames,0,0,0,Unavailable,2020-11-14,03:31:03,Canon,,,,sstk_spacegrey_1,sstk_spacegrey_1,sstk_spacegrey_1,meta-ypLAI78GEgnI.json,yp,RREEPPLLAACCEE/yp/LA/ypLAI78GEgnI.mp4,RREEPPLLAACCEE/yp/LA/ypLAI78GEgnI_small.mp4
joebiggs,0,0,0,Unavailable,2020-08-28,17:04:42,Unavailable,,Unavailable,Unavailable,joebiggs,joebiggs,joebiggs,meta-ypcE5qi0zsGH.json,yp,RREEPPLLAACCEE/yp/cE/ypcE5qi0zsGH.mp4,RREEPPLLAACCEE/yp/cE/ypcE5qi0zsGH_small.mp4
KelsOhs Computer,0,0,0,Unavailable,2020-03-09,08:10:17,Unavailable,Unavailable,Unavailable,Unavailable,KelsOhs Computer,KelsOhs Computer,KelsOhs Computer,meta-yptvQn5wcrW3.json,yp,RREEPPLLAACCEE/yp/tv/yptvQn5wcrW3.mp4,RREEPPLLAACCEE/yp/tv/yptvQn5wcrW3_small.mp4
Unavailable,33.3471,84.1211,240,Above Sea Level,2020-10-07,00:38:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YP2LKxT6IsSu.json,YP,RREEPPLLAACCEE/YP/2L/YP2LKxT6IsSu.mp4,RREEPPLLAACCEE/YP/2L/YP2LKxT6IsSu_small.mp4
Unavailable,34.2120,118.5609,236.801,Above Sea Level,2020-07-23,21:22:35,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPDdH0dinh8t.json,YP,RREEPPLLAACCEE/YP/Dd/YPDdH0dinh8t.mp4,RREEPPLLAACCEE/YP/Dd/YPDdH0dinh8t_small.mp4
Unavailable,33.4910,112.2245,0,Unavailable,2020-11-09,18:20:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPMhQUCgmoiy.json,YP,RREEPPLLAACCEE/YP/Mh/YPMhQUCgmoiy.mp4,RREEPPLLAACCEE/YP/Mh/YPMhQUCgmoiy_small.mp4
Unavailable,38.1419,90.5771,214.036,Above Sea Level,2020-11-02,21:58:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPPCxD7mn7CH.json,YP,RREEPPLLAACCEE/YP/PC/YPPCxD7mn7CH.mp4,RREEPPLLAACCEE/YP/PC/YPPCxD7mn7CH_small.mp4
Unavailable,33.6571,118.0022,8.251,Above Sea Level,2020-11-21,19:38:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPTNElj0JXmM.json,YP,RREEPPLLAACCEE/YP/TN/YPTNElj0JXmM.mp4,RREEPPLLAACCEE/YP/TN/YPTNElj0JXmM_small.mp4
Unavailable,39.4810,119.7788,1349.364,Above Sea Level,2020-06-25,18:53:54,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPTvASRPgTvd.json,YP,RREEPPLLAACCEE/YP/Tv/YPTvASRPgTvd.mp4,RREEPPLLAACCEE/YP/Tv/YPTvASRPgTvd_small.mp4
Unavailable,41.5083,82.0395,0,Unavailable,2020-08-24,07:08:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPWxmMBMr3JU.json,YP,RREEPPLLAACCEE/YP/Wx/YPWxmMBMr3JU.mp4,RREEPPLLAACCEE/YP/Wx/YPWxmMBMr3JU_small.mp4
Unavailable,32.9774,84.3260,220.14,Above Sea Level,2020-11-19,01:31:51,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPYSeSVa4zL6.json,YP,RREEPPLLAACCEE/YP/YS/YPYSeSVa4zL6.mp4,RREEPPLLAACCEE/YP/YS/YPYSeSVa4zL6_small.mp4
Unavailable,46.1239,64.8517,0,Unavailable,2020-12-04,20:53:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPgeA7U53iNO.json,YP,RREEPPLLAACCEE/YP/ge/YPgeA7U53iNO.mp4,RREEPPLLAACCEE/YP/ge/YPgeA7U53iNO_small.mp4
Unavailable,27.7831,82.7836,2.286,Above Sea Level,2020-11-11,18:15:14,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPjdXRzlR2lu.json,YP,RREEPPLLAACCEE/YP/jd/YPjdXRzlR2lu.mp4,RREEPPLLAACCEE/YP/jd/YPjdXRzlR2lu_small.mp4
Unavailable,47.6257,117.6659,747.433,Above Sea Level,2020-05-02,03:03:59,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPlxxHx115ri.json,YP,RREEPPLLAACCEE/YP/lx/YPlxxHx115ri.mp4,RREEPPLLAACCEE/YP/lx/YPlxxHx115ri_small.mp4
Unavailable,38.3896,81.8653,206.88,Above Sea Level,2020-12-02,04:58:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPnJZMTVGT4v.json,YP,RREEPPLLAACCEE/YP/nJ/YPnJZMTVGT4v.mp4,RREEPPLLAACCEE/YP/nJ/YPnJZMTVGT4v_small.mp4
Unavailable,47.0428,122.8561,0,Unavailable,2020-07-11,21:18:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPolofnAnusx.json,YP,RREEPPLLAACCEE/YP/ol/YPolofnAnusx.mp4,RREEPPLLAACCEE/YP/ol/YPolofnAnusx_small.mp4
Unavailable,29.6341,95.0174,0,Unavailable,2020-11-30,17:28:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPqLHpuruD2B.json,YP,RREEPPLLAACCEE/YP/qL/YPqLHpuruD2B.mp4,RREEPPLLAACCEE/YP/qL/YPqLHpuruD2B_small.mp4
Unavailable,36.1661,115.1425,614.188,Above Sea Level,2021-01-06,20:02:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YPskHlGLuiQN.json,YP,RREEPPLLAACCEE/YP/sk/YPskHlGLuiQN.mp4,RREEPPLLAACCEE/YP/sk/YPskHlGLuiQN_small.mp4
Unavailable,47.0362,122.9048,0,Unavailable,2021-01-06,20:06:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Yp1J45KVZaps.json,Yp,RREEPPLLAACCEE/Yp/1J/Yp1J45KVZaps.mp4,RREEPPLLAACCEE/Yp/1J/Yp1J45KVZaps_small.mp4
Unavailable,39.8829,75.0708,18.103,Above Sea Level,2020-11-13,17:01:23,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpACsAuFGN4W.json,Yp,RREEPPLLAACCEE/Yp/AC/YpACsAuFGN4W.mp4,RREEPPLLAACCEE/Yp/AC/YpACsAuFGN4W_small.mp4
Unavailable,33.2748,88.9014,92.325,Above Sea Level,2020-11-15,22:24:06,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpAmfPkclcv9.json,Yp,RREEPPLLAACCEE/Yp/Am/YpAmfPkclcv9.mp4,RREEPPLLAACCEE/Yp/Am/YpAmfPkclcv9_small.mp4
Unavailable,34.0010,117.8112,274.419,Above Sea Level,2020-11-14,23:29:16,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpFpDRCJZkfy.json,Yp,RREEPPLLAACCEE/Yp/Fp/YpFpDRCJZkfy.mp4,RREEPPLLAACCEE/Yp/Fp/YpFpDRCJZkfy_small.mp4
Unavailable,26.2693,80.0927,2,Above Sea Level,2020-06-24,22:46:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpRlqgZMEYZP.json,Yp,RREEPPLLAACCEE/Yp/Rl/YpRlqgZMEYZP.mp4,RREEPPLLAACCEE/Yp/Rl/YpRlqgZMEYZP_small.mp4
Unavailable,42.6828,112.4078,1836.507,Above Sea Level,2020-11-15,01:20:51,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpSFxDkRTQCI.json,Yp,RREEPPLLAACCEE/Yp/SF/YpSFxDkRTQCI.mp4,RREEPPLLAACCEE/Yp/SF/YpSFxDkRTQCI_small.mp4
Unavailable,45.1760,93.3757,260.464,Above Sea Level,2020-11-14,11:22:46,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpTzRuHzzhU5.json,Yp,RREEPPLLAACCEE/Yp/Tz/YpTzRuHzzhU5.mp4,RREEPPLLAACCEE/Yp/Tz/YpTzRuHzzhU5_small.mp4
Unavailable,28.6170,81.4488,21.421,Above Sea Level,2020-12-08,08:15:22,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpV27NjX7Gzj.json,Yp,RREEPPLLAACCEE/Yp/V2/YpV27NjX7Gzj.mp4,RREEPPLLAACCEE/Yp/V2/YpV27NjX7Gzj_small.mp4
Unavailable,39.2208,85.8746,192,Above Sea Level,2020-10-18,22:08:13,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpX4KoBYHBN5.json,Yp,RREEPPLLAACCEE/Yp/X4/YpX4KoBYHBN5.mp4,RREEPPLLAACCEE/Yp/X4/YpX4KoBYHBN5_small.mp4
Unavailable,32.4889,85.0068,115.053,Above Sea Level,2020-12-15,12:17:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpctIWv1oS8w.json,Yp,RREEPPLLAACCEE/Yp/ct/YpctIWv1oS8w.mp4,RREEPPLLAACCEE/Yp/ct/YpctIWv1oS8w_small.mp4
Unavailable,38.8904,77.0059,26.481,Above Sea Level,2020-11-14,18:32:32,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ypdtz4k08nAW.json,Yp,RREEPPLLAACCEE/Yp/dt/Ypdtz4k08nAW.mp4,RREEPPLLAACCEE/Yp/dt/Ypdtz4k08nAW_small.mp4
Unavailable,34.0505,118.2871,66.991,Above Sea Level,2020-07-23,19:10:53,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpfRRLr6aN77.json,Yp,RREEPPLLAACCEE/Yp/fR/YpfRRLr6aN77.mp4,RREEPPLLAACCEE/Yp/fR/YpfRRLr6aN77_small.mp4
Unavailable,35.7334,81.6718,348.79,Above Sea Level,2020-04-30,17:23:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YpgzkSjyzaKr.json,Yp,RREEPPLLAACCEE/Yp/gz/YpgzkSjyzaKr.mp4,RREEPPLLAACCEE/Yp/gz/YpgzkSjyzaKr_small.mp4
Unavailable,32.7216,117.1730,1.975,Above Sea Level,2020-11-14,20:15:27,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ypk2CrGxr4vA.json,Yp,RREEPPLLAACCEE/Yp/k2/Ypk2CrGxr4vA.mp4,RREEPPLLAACCEE/Yp/k2/Ypk2CrGxr4vA_small.mp4
