Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
studi,0,0,0,Unavailable,2020-08-13,04:53:01,Unavailable,Unavailable,Unavailable,Unavailable,studi,studi,studi,meta-1g1wDQFtrMAE.json,1g,RREEPPLLAACCEE/1g/1w/1g1wDQFtrMAE.mp4,RREEPPLLAACCEE/1g/1w/1g1wDQFtrMAE_small.mp4
Unavailable,43.0399,88.2406,277.02,Above Sea Level,2020-10-25,01:16:28,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1G2RS8IgZmH8.json,1G,RREEPPLLAACCEE/1G/2R/1G2RS8IgZmH8.mp4,RREEPPLLAACCEE/1G/2R/1G2RS8IgZmH8_small.mp4
Unavailable,43.6667,116.4301,785.153,Above Sea Level,2020-08-23,01:04:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1G2xLF9fMnBv.json,1G,RREEPPLLAACCEE/1G/2x/1G2xLF9fMnBv.mp4,RREEPPLLAACCEE/1G/2x/1G2xLF9fMnBv_small.mp4
Unavailable,35.0327,80.6850,188.623,Above Sea Level,2020-11-07,01:05:44,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1G5wWpduDn1g.json,1G,RREEPPLLAACCEE/1G/5w/1G5wWpduDn1g.mp4,RREEPPLLAACCEE/1G/5w/1G5wWpduDn1g_small.mp4
Unavailable,34.4162,112.5520,1595.101,Above Sea Level,2020-11-06,21:52:35,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GERVPzuzM41.json,1G,RREEPPLLAACCEE/1G/ER/1GERVPzuzM41.mp4,RREEPPLLAACCEE/1G/ER/1GERVPzuzM41_small.mp4
Unavailable,37.1039,113.4977,0,Unavailable,2020-12-10,01:26:10,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GJOFDYleB3G.json,1G,RREEPPLLAACCEE/1G/JO/1GJOFDYleB3G.mp4,RREEPPLLAACCEE/1G/JO/1GJOFDYleB3G_small.mp4
Unavailable,53.3530,6.2294,4.113,Above Sea Level,2020-12-09,13:11:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GLGnbfWQmQ3.json,1G,RREEPPLLAACCEE/1G/LG/1GLGnbfWQmQ3.mp4,RREEPPLLAACCEE/1G/LG/1GLGnbfWQmQ3_small.mp4
Unavailable,33.7979,112.1426,504.948,Above Sea Level,2020-11-01,23:07:21,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GLkfenOpdTs.json,1G,RREEPPLLAACCEE/1G/Lk/1GLkfenOpdTs.mp4,RREEPPLLAACCEE/1G/Lk/1GLkfenOpdTs_small.mp4
Unavailable,47.6070,122.1889,4.022,Above Sea Level,2020-12-20,18:59:56,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GLpJeqab5ry.json,1G,RREEPPLLAACCEE/1G/Lp/1GLpJeqab5ry.mp4,RREEPPLLAACCEE/1G/Lp/1GLpJeqab5ry_small.mp4
Unavailable,30.1351,95.4576,38.626,Above Sea Level,2020-09-05,17:08:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1Gb3Xubb470l.json,1G,RREEPPLLAACCEE/1G/b3/1Gb3Xubb470l.mp4,RREEPPLLAACCEE/1G/b3/1Gb3Xubb470l_small.mp4
Unavailable,26.1860,81.7145,0,Unavailable,2020-11-10,19:26:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GbQFpR0tdTB.json,1G,RREEPPLLAACCEE/1G/bQ/1GbQFpR0tdTB.mp4,RREEPPLLAACCEE/1G/bQ/1GbQFpR0tdTB_small.mp4
Unavailable,41.0383,79.1486,0,Unavailable,2020-11-06,15:47:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GbnZwa6NQin.json,1G,RREEPPLLAACCEE/1G/bn/1GbnZwa6NQin.mp4,RREEPPLLAACCEE/1G/bn/1GbnZwa6NQin_small.mp4
Unavailable,38.8955,77.0298,6.788,Above Sea Level,2020-11-14,16:22:07,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1Ggg3agLBmcp.json,1G,RREEPPLLAACCEE/1G/gg/1Ggg3agLBmcp.mp4,RREEPPLLAACCEE/1G/gg/1Ggg3agLBmcp_small.mp4
Unavailable,31.3239,89.2121,66.037,Above Sea Level,2020-11-13,22:15:25,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GtYUWv3IkyP.json,1G,RREEPPLLAACCEE/1G/tY/1GtYUWv3IkyP.mp4,RREEPPLLAACCEE/1G/tY/1GtYUWv3IkyP_small.mp4
Unavailable,38.8921,77.0128,5.734,Above Sea Level,2020-11-14,17:49:51,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1Gu3yN0g6DJY.json,1G,RREEPPLLAACCEE/1G/u3/1Gu3yN0g6DJY.mp4,RREEPPLLAACCEE/1G/u3/1Gu3yN0g6DJY_small.mp4
Unavailable,31.6609,86.5979,104.356,Above Sea Level,2020-11-08,13:25:19,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1GxM4RqDwlYE.json,1G,RREEPPLLAACCEE/1G/xM/1GxM4RqDwlYE.mp4,RREEPPLLAACCEE/1G/xM/1GxM4RqDwlYE_small.mp4
Unavailable,36.0977,115.3001,0,Unavailable,2020-09-05,02:52:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1Gzu4CovtiLb.json,1G,RREEPPLLAACCEE/1G/zu/1Gzu4CovtiLb.mp4,RREEPPLLAACCEE/1G/zu/1Gzu4CovtiLb_small.mp4
Unavailable,33.4293,112.3670,292.551,Above Sea Level,2020-10-29,02:00:03,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1g4cBLDJVHju.json,1g,RREEPPLLAACCEE/1g/4c/1g4cBLDJVHju.mp4,RREEPPLLAACCEE/1g/4c/1g4cBLDJVHju_small.mp4
Unavailable,41.0840,75.0814,0,Above Sea Level,2020-10-19,21:58:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gL6l1vpfWXB.json,1g,RREEPPLLAACCEE/1g/L6/1gL6l1vpfWXB.mp4,RREEPPLLAACCEE/1g/L6/1gL6l1vpfWXB_small.mp4
Unavailable,38.6834,121.2759,45.999,Above Sea Level,2020-11-10,02:09:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gaWpK0jJArL.json,1g,RREEPPLLAACCEE/1g/aW/1gaWpK0jJArL.mp4,RREEPPLLAACCEE/1g/aW/1gaWpK0jJArL_small.mp4
Unavailable,42.1643,123.6456,0,Unavailable,2020-12-17,21:37:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gb8v1gZYVzw.json,1g,RREEPPLLAACCEE/1g/b8/1gb8v1gZYVzw.mp4,RREEPPLLAACCEE/1g/b8/1gb8v1gZYVzw_small.mp4
Unavailable,41.7769,72.7140,41.085,Above Sea Level,2020-11-16,21:30:24,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1ghFh1DcMhdZ.json,1g,RREEPPLLAACCEE/1g/hF/1ghFh1DcMhdZ.mp4,RREEPPLLAACCEE/1g/hF/1ghFh1DcMhdZ_small.mp4
Unavailable,26.2816,80.2677,3.789,Above Sea Level,2020-11-19,01:13:42,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gqKfb13XyF8.json,1g,RREEPPLLAACCEE/1g/qK/1gqKfb13XyF8.mp4,RREEPPLLAACCEE/1g/qK/1gqKfb13XyF8_small.mp4
Unavailable,33.5792,112.2915,346.227,Above Sea Level,2020-12-12,04:40:07,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gs52eAgXXaT.json,1g,RREEPPLLAACCEE/1g/s5/1gs52eAgXXaT.mp4,RREEPPLLAACCEE/1g/s5/1gs52eAgXXaT_small.mp4
Unavailable,39.9533,75.7657,138.58,Above Sea Level,2020-11-15,15:13:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1gtAqVLGHddO.json,1g,RREEPPLLAACCEE/1g/tA/1gtAqVLGHddO.mp4,RREEPPLLAACCEE/1g/tA/1gtAqVLGHddO_small.mp4
Unavailable,0,0,0,Unavailable,2020-09-07,22:04:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1G01CV2jwvT6.json,1G,RREEPPLLAACCEE/1G/01/1G01CV2jwvT6.mp4,RREEPPLLAACCEE/1G/01/1G01CV2jwvT6_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1G03wMjMenxd.json,1G,RREEPPLLAACCEE/1G/03/1G03wMjMenxd.mp4,RREEPPLLAACCEE/1G/03/1G03wMjMenxd_small.mp4
