Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vadimgrebennikov,0,0,0,Unavailable,2020-11-13,11:54:43,Canon,,,,vadimgrebennikov,vadimgrebennikov,vadimgrebennikov,meta-GZecBMb8Daty.json,GZ,RREEPPLLAACCEE/GZ/ec/GZecBMb8Daty.mp4,RREEPPLLAACCEE/GZ/ec/GZecBMb8Daty_small.mp4
Andrés,0,0,0,Unavailable,2020-12-11,12:04:19,Unavailable,Unavailable,Unavailable,Unavailable,Andrés,Andrés,Andrés,meta-GzkTUaVg3Uzl.json,Gz,RREEPPLLAACCEE/Gz/kT/GzkTUaVg3Uzl.mp4,RREEPPLLAACCEE/Gz/kT/GzkTUaVg3Uzl_small.mp4
Johnson,0,0,0,Unavailable,2020-12-21,11:31:49,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-Gzmw6MMcnXKi.json,Gz,RREEPPLLAACCEE/Gz/mw/Gzmw6MMcnXKi.mp4,RREEPPLLAACCEE/Gz/mw/Gzmw6MMcnXKi_small.mp4
vatan,0,0,0,Unavailable,2020-12-06,20:01:09,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-gZTH6ViV4Dvp.json,gZ,RREEPPLLAACCEE/gZ/TH/gZTH6ViV4Dvp.mp4,RREEPPLLAACCEE/gZ/TH/gZTH6ViV4Dvp_small.mp4
Bradley,0,0,0,Unavailable,2020-07-12,00:41:47,Unavailable,Unavailable,Unavailable,Unavailable,Bradley,Bradley,Bradley,meta-gzIZpaTkdrPa.json,gz,RREEPPLLAACCEE/gz/IZ/gzIZpaTkdrPa.mp4,RREEPPLLAACCEE/gz/IZ/gzIZpaTkdrPa_small.mp4
paulg,0,0,0,Unavailable,2020-11-14,23:18:27,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-gzV188kXGypZ.json,gz,RREEPPLLAACCEE/gz/V1/gzV188kXGypZ.mp4,RREEPPLLAACCEE/gz/V1/gzV188kXGypZ_small.mp4
mikehogan,0,0,0,Unavailable,2020-10-14,13:30:47,Unavailable,Unavailable,Unavailable,Unavailable,mikehogan,mikehogan,mikehogan,meta-gzoB7SkT06VG.json,gz,RREEPPLLAACCEE/gz/oB/gzoB7SkT06VG.mp4,RREEPPLLAACCEE/gz/oB/gzoB7SkT06VG_small.mp4
prudy,0,0,0,Unavailable,2020-12-30,15:27:04,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-gzr2vPiE9sVV.json,gz,RREEPPLLAACCEE/gz/r2/gzr2vPiE9sVV.mp4,RREEPPLLAACCEE/gz/r2/gzr2vPiE9sVV_small.mp4
markstout,0,0,0,Unavailable,2020-11-12,21:34:13,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-gzrixAS83Dgw.json,gz,RREEPPLLAACCEE/gz/ri/gzrixAS83Dgw.mp4,RREEPPLLAACCEE/gz/ri/gzrixAS83Dgw_small.mp4
Unavailable,31.5630,97.1953,167.362,Above Sea Level,2020-11-27,23:04:13,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GZ0wlwysXqd7.json,GZ,RREEPPLLAACCEE/GZ/0w/GZ0wlwysXqd7.mp4,RREEPPLLAACCEE/GZ/0w/GZ0wlwysXqd7_small.mp4
