Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Daniel,0,0,0,Unavailable,2020-11-25,21:38:24,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-QUH5dv0YFUut.json,QU,RREEPPLLAACCEE/QU/H5/QUH5dv0YFUut.mp4,RREEPPLLAACCEE/QU/H5/QUH5dv0YFUut_small.mp4
DK,0,0,0,Unavailable,2020-11-12,19:17:53,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-QUHnik6omlYs.json,QU,RREEPPLLAACCEE/QU/Hn/QUHnik6omlYs.mp4,RREEPPLLAACCEE/QU/Hn/QUHnik6omlYs_small.mp4
max080116,0,0,0,Unavailable,2020-11-19,18:25:57,Unavailable,Unavailable,Unavailable,Unavailable,max080116,max080116,max080116,meta-QUZzUkNo7WEf.json,QU,RREEPPLLAACCEE/QU/Zz/QUZzUkNo7WEf.mp4,RREEPPLLAACCEE/QU/Zz/QUZzUkNo7WEf_small.mp4
JHerrera,0,0,0,Unavailable,2020-12-24,18:46:32,NIKON CORPORATION,,Unavailable,Unavailable,Admin,Admin,Admin,meta-QUr05zs8GrBY.json,QU,RREEPPLLAACCEE/QU/r0/QUr05zs8GrBY.mp4,RREEPPLLAACCEE/QU/r0/QUr05zs8GrBY_small.mp4
luisi,0,0,0,Unavailable,2019-09-14,00:23:23,Unavailable,Unavailable,Unavailable,Unavailable,luisi,luisi,luisi,meta-Qu3L9ySFQOJN.json,Qu,RREEPPLLAACCEE/Qu/3L/Qu3L9ySFQOJN.mp4,RREEPPLLAACCEE/Qu/3L/Qu3L9ySFQOJN_small.mp4
AIZAWA tetsuya,0,0,0,Unavailable,2021-01-05,08:34:31,Unavailable,Unavailable,Unavailable,Unavailable,AIZAWA tetsuya,AIZAWA tetsuya,AIZAWA tetsuya,meta-QuS7bgCuBgln.json,Qu,RREEPPLLAACCEE/Qu/S7/QuS7bgCuBgln.mp4,RREEPPLLAACCEE/Qu/S7/QuS7bgCuBgln_small.mp4
matth,0,0,0,Unavailable,2020-11-19,18:01:28,Unavailable,Unavailable,Unavailable,Unavailable,matth,matth,matth,meta-qUW1FCvH9WUK.json,qU,RREEPPLLAACCEE/qU/W1/qUW1FCvH9WUK.mp4,RREEPPLLAACCEE/qU/W1/qUW1FCvH9WUK_small.mp4
loganrottman,0,0,0,Unavailable,2020-11-15,00:13:02,Unavailable,Unavailable,Unavailable,Unavailable,loganrottman,loganrottman,loganrottman,meta-qu8zsGkdx11e.json,qu,RREEPPLLAACCEE/qu/8z/qu8zsGkdx11e.mp4,RREEPPLLAACCEE/qu/8z/qu8zsGkdx11e_small.mp4
marks,0,0,0,Unavailable,2020-04-16,17:24:25,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-quohorupxhP5.json,qu,RREEPPLLAACCEE/qu/oh/quohorupxhP5.mp4,RREEPPLLAACCEE/qu/oh/quohorupxhP5_small.mp4
Miki,0,0,0,Unavailable,2020-10-22,13:43:34,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-quqJTaSwtuoK.json,qu,RREEPPLLAACCEE/qu/qJ/quqJTaSwtuoK.mp4,RREEPPLLAACCEE/qu/qJ/quqJTaSwtuoK_small.mp4
Unavailable,36.2009,86.5178,172.058,Above Sea Level,2020-07-08,23:03:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUBaHdbQguqm.json,QU,RREEPPLLAACCEE/QU/Ba/QUBaHdbQguqm.mp4,RREEPPLLAACCEE/QU/Ba/QUBaHdbQguqm_small.mp4
Unavailable,40.7452,73.2587,14.7,Above Sea Level,2020-08-11,02:46:35,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUDTCCONGGge.json,QU,RREEPPLLAACCEE/QU/DT/QUDTCCONGGge.mp4,RREEPPLLAACCEE/QU/DT/QUDTCCONGGge_small.mp4
Unavailable,35.1375,86.4780,215.294,Above Sea Level,2020-02-01,20:41:12,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUFm4WQfV4B3.json,QU,RREEPPLLAACCEE/QU/Fm/QUFm4WQfV4B3.mp4,RREEPPLLAACCEE/QU/Fm/QUFm4WQfV4B3_small.mp4
Unavailable,33.9826,118.2093,47.787,Above Sea Level,2020-10-06,19:20:16,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUOSoleZIUk4.json,QU,RREEPPLLAACCEE/QU/OS/QUOSoleZIUk4.mp4,RREEPPLLAACCEE/QU/OS/QUOSoleZIUk4_small.mp4
Unavailable,47.7129,122.2073,0,Unavailable,2020-08-12,16:16:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUWylfwWw4tM.json,QU,RREEPPLLAACCEE/QU/Wy/QUWylfwWw4tM.mp4,RREEPPLLAACCEE/QU/Wy/QUWylfwWw4tM_small.mp4
Unavailable,12.8196,38.2306,0,Unavailable,2020-08-24,21:14:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUY6F6eKvuT9.json,QU,RREEPPLLAACCEE/QU/Y6/QUY6F6eKvuT9.mp4,RREEPPLLAACCEE/QU/Y6/QUY6F6eKvuT9_small.mp4
Unavailable,42.8873,85.5161,238.012,Above Sea Level,2020-11-03,15:49:43,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUc5dapYLHWl.json,QU,RREEPPLLAACCEE/QU/c5/QUc5dapYLHWl.mp4,RREEPPLLAACCEE/QU/c5/QUc5dapYLHWl_small.mp4
Unavailable,38.8987,77.0400,0,Unavailable,2020-11-14,15:21:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QUfbODADPNFP.json,QU,RREEPPLLAACCEE/QU/fb/QUfbODADPNFP.mp4,RREEPPLLAACCEE/QU/fb/QUfbODADPNFP_small.mp4
