Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
samue,0,0,0,Unavailable,2020-12-06,22:33:18,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-DV1C7NaRVPGz.json,DV,RREEPPLLAACCEE/DV/1C/DV1C7NaRVPGz.mp4,RREEPPLLAACCEE/DV/1C/DV1C7NaRVPGz_small.mp4
lovelacez,0,0,0,Unavailable,2020-11-30,16:26:10,Apple,,Unavailable,Unavailable,lovelacez,lovelacez,lovelacez,meta-DV2oOb1nmcoQ.json,DV,RREEPPLLAACCEE/DV/2o/DV2oOb1nmcoQ.mp4,RREEPPLLAACCEE/DV/2o/DV2oOb1nmcoQ_small.mp4
marciohenriquecaruso,0,0,0,Unavailable,2020-09-02,16:41:17,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-DVAbReYpk9fz.json,DV,RREEPPLLAACCEE/DV/Ab/DVAbReYpk9fz.mp4,RREEPPLLAACCEE/DV/Ab/DVAbReYpk9fz_small.mp4
5STARLINE,0,0,0,Unavailable,2021-01-03,23:47:59,Unavailable,Unavailable,Unavailable,Unavailable,5STARLINE,5STARLINE,5STARLINE,meta-Dv9kbCl8sSi8.json,Dv,RREEPPLLAACCEE/Dv/9k/Dv9kbCl8sSi8.mp4,RREEPPLLAACCEE/Dv/9k/Dv9kbCl8sSi8_small.mp4
Robert1,0,0,0,Unavailable,2020-11-22,02:36:38,Unavailable,Unavailable,Unavailable,Unavailable,Robert1,Robert1,Robert1,meta-DvQuLsjioWQX.json,Dv,RREEPPLLAACCEE/Dv/Qu/DvQuLsjioWQX.mp4,RREEPPLLAACCEE/Dv/Qu/DvQuLsjioWQX_small.mp4
jordi,0,0,0,Unavailable,2020-09-11,12:01:46,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-DvXf5PfJuVFD.json,Dv,RREEPPLLAACCEE/Dv/Xf/DvXf5PfJuVFD.mp4,RREEPPLLAACCEE/Dv/Xf/DvXf5PfJuVFD_small.mp4
KCCProduction,0,0,0,Unavailable,2020-11-24,20:23:07,Unavailable,Unavailable,Unavailable,Unavailable,KCCProduction,KCCProduction,KCCProduction,meta-dVwW8LkSnsdj.json,dV,RREEPPLLAACCEE/dV/wW/dVwW8LkSnsdj.mp4,RREEPPLLAACCEE/dV/wW/dVwW8LkSnsdj_small.mp4
F8005,0,0,0,Unavailable,2020-11-19,12:08:32,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-dv2AfJRh2ydI.json,dv,RREEPPLLAACCEE/dv/2A/dv2AfJRh2ydI.mp4,RREEPPLLAACCEE/dv/2A/dv2AfJRh2ydI_small.mp4
leafa,0,0,0,Unavailable,2020-10-03,20:00:20,Unavailable,Unavailable,Unavailable,Unavailable,leafa,leafa,leafa,meta-dv3jQoy5c4Hg.json,dv,RREEPPLLAACCEE/dv/3j/dv3jQoy5c4Hg.mp4,RREEPPLLAACCEE/dv/3j/dv3jQoy5c4Hg_small.mp4
dmlon,0,0,0,Unavailable,2020-12-22,15:34:35,Unavailable,,Unavailable,Unavailable,dmlon,dmlon,dmlon,meta-dvUMDITdNeoz.json,dv,RREEPPLLAACCEE/dv/UM/dvUMDITdNeoz.mp4,RREEPPLLAACCEE/dv/UM/dvUMDITdNeoz_small.mp4
