Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordi,0,0,0,Unavailable,2020-08-28,15:12:38,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-KCsADU0xxwzk.json,KC,RREEPPLLAACCEE/KC/sA/KCsADU0xxwzk.mp4,RREEPPLLAACCEE/KC/sA/KCsADU0xxwzk_small.mp4
zsr9c,0,0,0,Unavailable,2020-07-09,19:44:14,Unavailable,Unavailable,Unavailable,Unavailable,zsr9c,zsr9c,zsr9c,meta-KctBclfsHJCz.json,Kc,RREEPPLLAACCEE/Kc/tB/KctBclfsHJCz.mp4,RREEPPLLAACCEE/Kc/tB/KctBclfsHJCz_small.mp4
jordi,0,0,0,Unavailable,2020-09-16,08:06:14,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-KctbgNV88hW6.json,Kc,RREEPPLLAACCEE/Kc/tb/KctbgNV88hW6.mp4,RREEPPLLAACCEE/Kc/tb/KctbgNV88hW6_small.mp4
prudy,0,0,0,Unavailable,2020-10-21,18:46:03,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-kc33CP5guMUm.json,kc,RREEPPLLAACCEE/kc/33/kc33CP5guMUm.mp4,RREEPPLLAACCEE/kc/33/kc33CP5guMUm_small.mp4
fatty,0,0,0,Unavailable,2020-10-26,18:57:08,Unavailable,Unavailable,Unavailable,Unavailable,fatty,fatty,fatty,meta-kcYq3dSzR5c3.json,kc,RREEPPLLAACCEE/kc/Yq/kcYq3dSzR5c3.mp4,RREEPPLLAACCEE/kc/Yq/kcYq3dSzR5c3_small.mp4
Brandi,0,0,0,Unavailable,2020-12-25,21:05:34,Unavailable,Unavailable,Unavailable,Unavailable,Brandi,Brandi,Brandi,meta-kcokgksoOYfc.json,kc,RREEPPLLAACCEE/kc/ok/kcokgksoOYfc.mp4,RREEPPLLAACCEE/kc/ok/kcokgksoOYfc_small.mp4
Unavailable,29.6769,95.4022,16.349,Above Sea Level,2020-11-01,16:07:54,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KC5fFYqtPgkU.json,KC,RREEPPLLAACCEE/KC/5f/KC5fFYqtPgkU.mp4,RREEPPLLAACCEE/KC/5f/KC5fFYqtPgkU_small.mp4
Unavailable,39.0967,76.4703,5.66,Above Sea Level,2020-11-08,01:35:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KC5gZ5T5bXVp.json,KC,RREEPPLLAACCEE/KC/5g/KC5gZ5T5bXVp.mp4,RREEPPLLAACCEE/KC/5g/KC5gZ5T5bXVp_small.mp4
Unavailable,32.8593,97.1556,184.214,Above Sea Level,2020-11-12,03:51:30,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KC77gt61S28A.json,KC,RREEPPLLAACCEE/KC/77/KC77gt61S28A.mp4,RREEPPLLAACCEE/KC/77/KC77gt61S28A_small.mp4
Unavailable,36.0199,93.3561,309.588,Above Sea Level,2020-11-10,23:01:10,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KC8HcV8hGc46.json,KC,RREEPPLLAACCEE/KC/8H/KC8HcV8hGc46.mp4,RREEPPLLAACCEE/KC/8H/KC8HcV8hGc46_small.mp4
