Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
One,0,0,0,Unavailable,2020-12-17,22:16:17,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-CEPL6r2XeLOI.json,CE,RREEPPLLAACCEE/CE/PL/CEPL6r2XeLOI.mp4,RREEPPLLAACCEE/CE/PL/CEPL6r2XeLOI_small.mp4
larys,0,0,0,Unavailable,2021-01-09,18:09:50,Canon,,,Unavailable,charlottelbonacquisti,charlottelbonacquisti,charlottelbonacquisti,meta-cEZFVxd4j3iw.json,cE,RREEPPLLAACCEE/cE/ZF/cEZFVxd4j3iw.mp4,RREEPPLLAACCEE/cE/ZF/cEZFVxd4j3iw_small.mp4
Sophie,0,0,0,Unavailable,2020-12-11,17:21:20,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-cEhl96n74IXR.json,cE,RREEPPLLAACCEE/cE/hl/cEhl96n74IXR.mp4,RREEPPLLAACCEE/cE/hl/cEhl96n74IXR_small.mp4
Alejandro Vergara,0,0,0,Unavailable,2020-08-28,17:35:53,Unavailable,Unavailable,Unavailable,Unavailable,eduar,eduar,eduar,meta-ceTwqyzxvOBP.json,ce,RREEPPLLAACCEE/ce/Tw/ceTwqyzxvOBP.mp4,RREEPPLLAACCEE/ce/Tw/ceTwqyzxvOBP_small.mp4
arnaldobarrios,0,0,0,Unavailable,2020-11-30,23:25:13,Unavailable,,Unavailable,Unavailable,arnaldobarrios,arnaldobarrios,arnaldobarrios,meta-cevFDXqp1F5f.json,ce,RREEPPLLAACCEE/ce/vF/cevFDXqp1F5f.mp4,RREEPPLLAACCEE/ce/vF/cevFDXqp1F5f_small.mp4
Unavailable,42.4408,123.1351,0,Unavailable,2020-12-28,21:14:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CE1ZKGArX1sx.json,CE,RREEPPLLAACCEE/CE/1Z/CE1ZKGArX1sx.mp4,RREEPPLLAACCEE/CE/1Z/CE1ZKGArX1sx_small.mp4
Unavailable,44.9386,123.0286,52.415,Above Sea Level,2020-11-14,19:56:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CE3M2DpAWnLi.json,CE,RREEPPLLAACCEE/CE/3M/CE3M2DpAWnLi.mp4,RREEPPLLAACCEE/CE/3M/CE3M2DpAWnLi_small.mp4
Unavailable,40.2102,74.7831,19.921,Above Sea Level,2020-12-06,23:11:17,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CE4RxEANkzpv.json,CE,RREEPPLLAACCEE/CE/4R/CE4RxEANkzpv.mp4,RREEPPLLAACCEE/CE/4R/CE4RxEANkzpv_small.mp4
Unavailable,38.8899,77.0076,28.729,Above Sea Level,2021-01-06,19:06:28,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CE7LhOl22vJ9.json,CE,RREEPPLLAACCEE/CE/7L/CE7LhOl22vJ9.mp4,RREEPPLLAACCEE/CE/7L/CE7LhOl22vJ9_small.mp4
Unavailable,40.7451,73.2587,13.661,Above Sea Level,2020-11-02,00:23:07,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CE9gu863qvKP.json,CE,RREEPPLLAACCEE/CE/9g/CE9gu863qvKP.mp4,RREEPPLLAACCEE/CE/9g/CE9gu863qvKP_small.mp4
Unavailable,36.0317,115.2038,0,Unavailable,2020-11-19,03:36:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEEof0aKQxRI.json,CE,RREEPPLLAACCEE/CE/Eo/CEEof0aKQxRI.mp4,RREEPPLLAACCEE/CE/Eo/CEEof0aKQxRI_small.mp4
Unavailable,33.4486,117.6512,44.229,Above Sea Level,2020-09-02,13:40:44,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEFU0ySecHF6.json,CE,RREEPPLLAACCEE/CE/FU/CEFU0ySecHF6.mp4,RREEPPLLAACCEE/CE/FU/CEFU0ySecHF6_small.mp4
Unavailable,39.3840,119.8250,1750.11,Above Sea Level,2020-05-31,04:54:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEFZbjKHnbej.json,CE,RREEPPLLAACCEE/CE/FZ/CEFZbjKHnbej.mp4,RREEPPLLAACCEE/CE/FZ/CEFZbjKHnbej_small.mp4
Unavailable,36.0321,115.0615,610.99,Above Sea Level,2020-11-11,00:00:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEGRByAl80f4.json,CE,RREEPPLLAACCEE/CE/GR/CEGRByAl80f4.mp4,RREEPPLLAACCEE/CE/GR/CEGRByAl80f4_small.mp4
Unavailable,30.3012,82.1449,30.658,Above Sea Level,2020-11-09,17:11:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEIlSPP535H5.json,CE,RREEPPLLAACCEE/CE/Il/CEIlSPP535H5.mp4,RREEPPLLAACCEE/CE/Il/CEIlSPP535H5_small.mp4
Unavailable,34.6482,112.4280,1527.69,Above Sea Level,2020-10-22,02:41:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEIxfUFgjR5o.json,CE,RREEPPLLAACCEE/CE/Ix/CEIxfUFgjR5o.mp4,RREEPPLLAACCEE/CE/Ix/CEIxfUFgjR5o_small.mp4
Unavailable,47.1739,116.9639,778.457,Above Sea Level,2020-03-26,20:50:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEK72gdCoZ5Q.json,CE,RREEPPLLAACCEE/CE/K7/CEK72gdCoZ5Q.mp4,RREEPPLLAACCEE/CE/K7/CEK72gdCoZ5Q_small.mp4
Unavailable,33.8770,118.0485,20.761,Above Sea Level,2020-12-29,01:02:12,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CELCtuKct6Z0.json,CE,RREEPPLLAACCEE/CE/LC/CELCtuKct6Z0.mp4,RREEPPLLAACCEE/CE/LC/CELCtuKct6Z0_small.mp4
Unavailable,31.0265,97.3089,156,Above Sea Level,2021-01-09,14:56:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEYPD51lRyNK.json,CE,RREEPPLLAACCEE/CE/YP/CEYPD51lRyNK.mp4,RREEPPLLAACCEE/CE/YP/CEYPD51lRyNK_small.mp4
Unavailable,42.9654,78.4968,248.525,Above Sea Level,2020-12-03,00:45:30,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEcUKMJJ8VvZ.json,CE,RREEPPLLAACCEE/CE/cU/CEcUKMJJ8VvZ.mp4,RREEPPLLAACCEE/CE/cU/CEcUKMJJ8VvZ_small.mp4
Unavailable,40.7577,73.9854,16.337,Above Sea Level,2020-11-03,05:09:34,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEctXOCdeOj2.json,CE,RREEPPLLAACCEE/CE/ct/CEctXOCdeOj2.mp4,RREEPPLLAACCEE/CE/ct/CEctXOCdeOj2_small.mp4
Unavailable,28.4027,81.6810,0,Unavailable,2020-07-08,20:35:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEebsIkTJDNp.json,CE,RREEPPLLAACCEE/CE/eb/CEebsIkTJDNp.mp4,RREEPPLLAACCEE/CE/eb/CEebsIkTJDNp_small.mp4
Unavailable,28.2722,82.6100,10.445,Above Sea Level,2021-01-07,18:32:54,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEfmjMzthorC.json,CE,RREEPPLLAACCEE/CE/fm/CEfmjMzthorC.mp4,RREEPPLLAACCEE/CE/fm/CEfmjMzthorC_small.mp4
Unavailable,33.6962,112.3579,400.192,Above Sea Level,2020-10-30,23:42:44,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEj9bxSZsHyV.json,CE,RREEPPLLAACCEE/CE/j9/CEj9bxSZsHyV.mp4,RREEPPLLAACCEE/CE/j9/CEj9bxSZsHyV_small.mp4
Unavailable,30.2218,81.8800,18.331,Above Sea Level,2020-09-24,21:37:43,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEnpWSZmftTh.json,CE,RREEPPLLAACCEE/CE/np/CEnpWSZmftTh.mp4,RREEPPLLAACCEE/CE/np/CEnpWSZmftTh_small.mp4
Unavailable,32.2036,97.6699,168.898,Above Sea Level,2020-06-27,18:24:14,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEqSMiqotRbq.json,CE,RREEPPLLAACCEE/CE/qS/CEqSMiqotRbq.mp4,RREEPPLLAACCEE/CE/qS/CEqSMiqotRbq_small.mp4
Unavailable,39.5114,121.5344,94.535,Above Sea Level,2020-11-16,15:16:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CEubzsmU7We7.json,CE,RREEPPLLAACCEE/CE/ub/CEubzsmU7We7.mp4,RREEPPLLAACCEE/CE/ub/CEubzsmU7We7_small.mp4
Unavailable,32.4230,96.3485,0,Above Sea Level,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ce5ActzAqP52.json,Ce,RREEPPLLAACCEE/Ce/5A/Ce5ActzAqP52.mp4,RREEPPLLAACCEE/Ce/5A/Ce5ActzAqP52_small.mp4
Unavailable,41.3248,74.8078,156.544,Above Sea Level,2020-09-29,18:43:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ce5UKtWTpQaR.json,Ce,RREEPPLLAACCEE/Ce/5U/Ce5UKtWTpQaR.mp4,RREEPPLLAACCEE/Ce/5U/Ce5UKtWTpQaR_small.mp4
Unavailable,38.8948,77.0283,0,Unavailable,2020-11-14,18:30:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeJ8qixj5iob.json,Ce,RREEPPLLAACCEE/Ce/J8/CeJ8qixj5iob.mp4,RREEPPLLAACCEE/Ce/J8/CeJ8qixj5iob_small.mp4
Unavailable,33.3978,86.7654,0,Unavailable,2020-06-24,01:49:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeKJFWZsvHbQ.json,Ce,RREEPPLLAACCEE/Ce/KJ/CeKJFWZsvHbQ.mp4,RREEPPLLAACCEE/Ce/KJ/CeKJFWZsvHbQ_small.mp4
Unavailable,38.7879,104.7941,1790.61,Above Sea Level,2020-05-30,22:44:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeLmwzymuRRx.json,Ce,RREEPPLLAACCEE/Ce/Lm/CeLmwzymuRRx.mp4,RREEPPLLAACCEE/Ce/Lm/CeLmwzymuRRx_small.mp4
Unavailable,10.2247,61.5365,15.414,Above Sea Level,2020-11-14,20:22:35,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeMQHLB1Qfk0.json,Ce,RREEPPLLAACCEE/Ce/MQ/CeMQHLB1Qfk0.mp4,RREEPPLLAACCEE/Ce/MQ/CeMQHLB1Qfk0_small.mp4
Unavailable,46.4178,117.0081,225.051,Above Sea Level,2020-11-25,00:51:31,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeNbyJlGo9cZ.json,Ce,RREEPPLLAACCEE/Ce/Nb/CeNbyJlGo9cZ.mp4,RREEPPLLAACCEE/Ce/Nb/CeNbyJlGo9cZ_small.mp4
Unavailable,32.3704,104.2048,956.4,Above Sea Level,2021-01-09,17:24:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeX3xhrzpn8c.json,Ce,RREEPPLLAACCEE/Ce/X3/CeX3xhrzpn8c.mp4,RREEPPLLAACCEE/Ce/X3/CeX3xhrzpn8c_small.mp4
Unavailable,40.5429,74.1543,0,Unavailable,2020-07-06,18:41:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeXqjSWaexgY.json,Ce,RREEPPLLAACCEE/Ce/Xq/CeXqjSWaexgY.mp4,RREEPPLLAACCEE/Ce/Xq/CeXqjSWaexgY_small.mp4
Unavailable,39.1392,84.6378,256.34,Above Sea Level,2020-11-15,14:57:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CebCwZMRguN0.json,Ce,RREEPPLLAACCEE/Ce/bC/CebCwZMRguN0.mp4,RREEPPLLAACCEE/Ce/bC/CebCwZMRguN0_small.mp4
Unavailable,39.9923,86.2543,276.757,Above Sea Level,2020-12-22,20:44:36,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CebZM6FM8W9i.json,Ce,RREEPPLLAACCEE/Ce/bZ/CebZM6FM8W9i.mp4,RREEPPLLAACCEE/Ce/bZ/CebZM6FM8W9i_small.mp4
Unavailable,40.4400,112.3987,1545.338,Above Sea Level,2020-09-09,18:10:52,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Cecl9lYqZpPD.json,Ce,RREEPPLLAACCEE/Ce/cl/Cecl9lYqZpPD.mp4,RREEPPLLAACCEE/Ce/cl/Cecl9lYqZpPD_small.mp4
Unavailable,37.9584,87.5188,116.968,Above Sea Level,2020-06-29,00:17:55,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CehnAeZTqDvK.json,Ce,RREEPPLLAACCEE/Ce/hn/CehnAeZTqDvK.mp4,RREEPPLLAACCEE/Ce/hn/CehnAeZTqDvK_small.mp4
Unavailable,30.3637,81.4776,16.107,Above Sea Level,2020-12-04,17:08:08,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeiPneRCwH53.json,Ce,RREEPPLLAACCEE/Ce/iP/CeiPneRCwH53.mp4,RREEPPLLAACCEE/Ce/iP/CeiPneRCwH53_small.mp4
Unavailable,34.0568,84.5679,325.346,Above Sea Level,2020-12-30,19:45:17,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Cene6a7GGaSw.json,Ce,RREEPPLLAACCEE/Ce/ne/Cene6a7GGaSw.mp4,RREEPPLLAACCEE/Ce/ne/Cene6a7GGaSw_small.mp4
Unavailable,33.6528,86.5533,224.637,Above Sea Level,2020-11-15,15:59:25,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeprR9IyayDl.json,Ce,RREEPPLLAACCEE/Ce/pr/CeprR9IyayDl.mp4,RREEPPLLAACCEE/Ce/pr/CeprR9IyayDl_small.mp4
Unavailable,27.2960,82.4330,11.367,Above Sea Level,2020-10-02,14:13:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CequZDNkxogE.json,Ce,RREEPPLLAACCEE/Ce/qu/CequZDNkxogE.mp4,RREEPPLLAACCEE/Ce/qu/CequZDNkxogE_small.mp4
Unavailable,34.0739,118.3730,50.209,Above Sea Level,2020-08-06,19:31:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CesUc3Kolg8q.json,Ce,RREEPPLLAACCEE/Ce/sU/CesUc3Kolg8q.mp4,RREEPPLLAACCEE/Ce/sU/CesUc3Kolg8q_small.mp4
Unavailable,30.8222,96.6513,92.995,Above Sea Level,2020-12-05,16:43:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeuBIokpa3rG.json,Ce,RREEPPLLAACCEE/Ce/uB/CeuBIokpa3rG.mp4,RREEPPLLAACCEE/Ce/uB/CeuBIokpa3rG_small.mp4
Unavailable,30.6198,96.3243,94.307,Above Sea Level,2020-10-18,02:59:11,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeuTWbRur7cj.json,Ce,RREEPPLLAACCEE/Ce/uT/CeuTWbRur7cj.mp4,RREEPPLLAACCEE/Ce/uT/CeuTWbRur7cj_small.mp4
Unavailable,40.6507,73.9541,17.136,Above Sea Level,2020-07-27,22:41:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CeuY6dGmCZyt.json,Ce,RREEPPLLAACCEE/Ce/uY/CeuY6dGmCZyt.mp4,RREEPPLLAACCEE/Ce/uY/CeuY6dGmCZyt_small.mp4
Unavailable,38.8941,77.0236,9.241,Above Sea Level,2020-11-14,17:34:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-cE7SWR65ICRZ.json,cE,RREEPPLLAACCEE/cE/7S/cE7SWR65ICRZ.mp4,RREEPPLLAACCEE/cE/7S/cE7SWR65ICRZ_small.mp4
Unavailable,36.5984,88.7817,0,Unavailable,2020-05-30,00:33:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-cEGnGDLXwyUo.json,cE,RREEPPLLAACCEE/cE/Gn/cEGnGDLXwyUo.mp4,RREEPPLLAACCEE/cE/Gn/cEGnGDLXwyUo_small.mp4
