Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
samira,0,0,0,Unavailable,2020-11-05,20:10:23,Unavailable,Unavailable,Unavailable,Unavailable,samira,samira,samira,meta-RIlh2cYJlTNr.json,RI,RREEPPLLAACCEE/RI/lh/RIlh2cYJlTNr.mp4,RREEPPLLAACCEE/RI/lh/RIlh2cYJlTNr_small.mp4
vicventura,0,0,0,Unavailable,2020-07-31,18:48:26,Unavailable,Unavailable,Unavailable,Unavailable,vicventura,vicventura,vicventura,meta-RIvxvfcdEuF3.json,RI,RREEPPLLAACCEE/RI/vx/RIvxvfcdEuF3.mp4,RREEPPLLAACCEE/RI/vx/RIvxvfcdEuF3_small.mp4
mekel,0,0,0,Unavailable,2021-01-04,09:04:24,Unavailable,Unavailable,Unavailable,Unavailable,mekeljames,mekeljames,mekeljames,meta-RiVH13X1Y7vF.json,Ri,RREEPPLLAACCEE/Ri/VH/RiVH13X1Y7vF.mp4,RREEPPLLAACCEE/Ri/VH/RiVH13X1Y7vF_small.mp4
markkavanagh,0,0,0,Unavailable,2020-12-09,02:41:13,Unavailable,Unavailable,Unavailable,Unavailable,markkavanagh,markkavanagh,markkavanagh,meta-rIPiI4JnKQRP.json,rI,RREEPPLLAACCEE/rI/Pi/rIPiI4JnKQRP.mp4,RREEPPLLAACCEE/rI/Pi/rIPiI4JnKQRP_small.mp4
yueguo,0,0,0,Unavailable,2020-12-19,23:57:12,Canon,,Unavailable,Unavailable,Yuling,tianyu,tianyu,meta-ri3j1ahKwcoX.json,ri,RREEPPLLAACCEE/ri/3j/ri3j1ahKwcoX.mp4,RREEPPLLAACCEE/ri/3j/ri3j1ahKwcoX_small.mp4
alejandroramirez,0,0,0,Unavailable,2020-11-27,06:01:23,Unavailable,Unavailable,Unavailable,Unavailable,alejandroramirez,alejandroramirez,alejandroramirez,meta-riKLAxnyGlka.json,ri,RREEPPLLAACCEE/ri/KL/riKLAxnyGlka.mp4,RREEPPLLAACCEE/ri/KL/riKLAxnyGlka_small.mp4
jcr14,0,0,0,Unavailable,2020-08-05,22:37:25,Unavailable,Unavailable,Unavailable,Unavailable,jcr14,jcr14,jcr14,meta-riQVbgdeoMEj.json,ri,RREEPPLLAACCEE/ri/QV/riQVbgdeoMEj.mp4,RREEPPLLAACCEE/ri/QV/riQVbgdeoMEj_small.mp4
Heather,0,0,0,Unavailable,2019-04-16,19:31:04,Unavailable,Unavailable,Unavailable,Unavailable,Heather,Heather,Heather,meta-riZ21xK1bkJp.json,ri,RREEPPLLAACCEE/ri/Z2/riZ21xK1bkJp.mp4,RREEPPLLAACCEE/ri/Z2/riZ21xK1bkJp_small.mp4
Unavailable,38.7240,90.2941,177.022,Above Sea Level,2020-10-17,02:39:08,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RI8sYHDBxPA2.json,RI,RREEPPLLAACCEE/RI/8s/RI8sYHDBxPA2.mp4,RREEPPLLAACCEE/RI/8s/RI8sYHDBxPA2_small.mp4
Unavailable,38.7239,90.2941,176.679,Above Sea Level,2020-11-03,00:56:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RI9qCPywe6ui.json,RI,RREEPPLLAACCEE/RI/9q/RI9qCPywe6ui.mp4,RREEPPLLAACCEE/RI/9q/RI9qCPywe6ui_small.mp4
