Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2020-11-15,01:42:00,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-9S9Mbvqkx06X.json,9S,RREEPPLLAACCEE/9S/9M/9S9Mbvqkx06X.mp4,RREEPPLLAACCEE/9S/9M/9S9Mbvqkx06X_small.mp4
Ryan,0,0,0,Unavailable,2020-11-10,07:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Ryan,Ryan,Ryan,meta-9SdlpfSvjy3I.json,9S,RREEPPLLAACCEE/9S/dl/9SdlpfSvjy3I.mp4,RREEPPLLAACCEE/9S/dl/9SdlpfSvjy3I_small.mp4
Bruce MacLachlan,0,0,0,Unavailable,2021-01-09,13:39:41,Apple,,Unavailable,Unavailable,Bruce MacLachlan,Bruce MacLachlan,Bruce MacLachlan,meta-9sG1hT4YHAE1.json,9s,RREEPPLLAACCEE/9s/G1/9sG1hT4YHAE1.mp4,RREEPPLLAACCEE/9s/G1/9sG1hT4YHAE1_small.mp4
Unavailable,30.1813,82.6324,55.006,Above Sea Level,2021-01-09,03:29:43,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9S3bS250Zdcy.json,9S,RREEPPLLAACCEE/9S/3b/9S3bS250Zdcy.mp4,RREEPPLLAACCEE/9S/3b/9S3bS250Zdcy_small.mp4
Unavailable,33.8289,84.5313,300.15,Above Sea Level,2020-12-18,00:51:43,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9S6Rk609PUto.json,9S,RREEPPLLAACCEE/9S/6R/9S6Rk609PUto.mp4,RREEPPLLAACCEE/9S/6R/9S6Rk609PUto_small.mp4
Unavailable,41.1121,75.0523,0,Unavailable,2020-09-27,11:07:01,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9S7NFI6J56Rl.json,9S,RREEPPLLAACCEE/9S/7N/9S7NFI6J56Rl.mp4,RREEPPLLAACCEE/9S/7N/9S7NFI6J56Rl_small.mp4
Unavailable,34.1593,86.9361,278.855,Above Sea Level,2021-01-07,03:10:29,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9S7gU81bruJp.json,9S,RREEPPLLAACCEE/9S/7g/9S7gU81bruJp.mp4,RREEPPLLAACCEE/9S/7g/9S7gU81bruJp_small.mp4
Unavailable,40.5735,76.1984,299.847,Above Sea Level,2020-11-12,00:06:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9SCNOv6zWe5y.json,9S,RREEPPLLAACCEE/9S/CN/9SCNOv6zWe5y.mp4,RREEPPLLAACCEE/9S/CN/9SCNOv6zWe5y_small.mp4
Unavailable,29.3420,47.5336,143.59,Above Sea Level,2020-11-23,17:09:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9SKP5ECb5P1A.json,9S,RREEPPLLAACCEE/9S/KP/9SKP5ECb5P1A.mp4,RREEPPLLAACCEE/9S/KP/9SKP5ECb5P1A_small.mp4
Unavailable,38.9002,77.0364,20.771,Above Sea Level,2020-11-13,17:33:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9SLxztVCDfcA.json,9S,RREEPPLLAACCEE/9S/Lx/9SLxztVCDfcA.mp4,RREEPPLLAACCEE/9S/Lx/9SLxztVCDfcA_small.mp4
Unavailable,42.2267,83.2901,190.532,Above Sea Level,2020-07-30,08:51:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9SOuND0GbEVr.json,9S,RREEPPLLAACCEE/9S/Ou/9SOuND0GbEVr.mp4,RREEPPLLAACCEE/9S/Ou/9SOuND0GbEVr_small.mp4
