Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
americansforlimitedgovernment,0,0,0,Unavailable,2020-10-26,16:33:54,Unavailable,Unavailable,Unavailable,Unavailable,americansforlimitedgovernment,americansforlimitedgovernment,americansforlimitedgovernment,meta-Xq6lOeNGzHyI.json,Xq,RREEPPLLAACCEE/Xq/6l/Xq6lOeNGzHyI.mp4,RREEPPLLAACCEE/Xq/6l/Xq6lOeNGzHyI_small.mp4
dominadorlorenzo,0,0,0,Unavailable,2019-10-02,09:17:08,Unavailable,Unavailable,Unavailable,Unavailable,dominadorlorenzo,dominadorlorenzo,dominadorlorenzo,meta-XqJ9omMkCp4F.json,Xq,RREEPPLLAACCEE/Xq/J9/XqJ9omMkCp4F.mp4,RREEPPLLAACCEE/Xq/J9/XqJ9omMkCp4F_small.mp4
ACER,0,0,0,Unavailable,2020-12-30,04:01:09,Unavailable,Unavailable,Unavailable,Unavailable,ACER,ACER,ACER,meta-xqsUOc0MR7wr.json,xq,RREEPPLLAACCEE/xq/sU/xqsUOc0MR7wr.mp4,RREEPPLLAACCEE/xq/sU/xqsUOc0MR7wr_small.mp4
Unavailable,44.3344,79.7144,313.78,Above Sea Level,2020-10-18,17:16:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQ3Xca8fG8bB.json,XQ,RREEPPLLAACCEE/XQ/3X/XQ3Xca8fG8bB.mp4,RREEPPLLAACCEE/XQ/3X/XQ3Xca8fG8bB_small.mp4
Unavailable,33.7199,112.2133,417.994,Above Sea Level,2020-11-28,01:44:29,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQC4lqBR2xYx.json,XQ,RREEPPLLAACCEE/XQ/C4/XQC4lqBR2xYx.mp4,RREEPPLLAACCEE/XQ/C4/XQC4lqBR2xYx_small.mp4
Unavailable,39.7194,82.9525,216.652,Above Sea Level,2020-12-22,20:57:42,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQEd4gGc0IQ3.json,XQ,RREEPPLLAACCEE/XQ/Ed/XQEd4gGc0IQ3.mp4,RREEPPLLAACCEE/XQ/Ed/XQEd4gGc0IQ3_small.mp4
Unavailable,26.8030,80.0775,10.856,Above Sea Level,2020-12-18,17:53:00,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQJrUl8vHm1u.json,XQ,RREEPPLLAACCEE/XQ/Jr/XQJrUl8vHm1u.mp4,RREEPPLLAACCEE/XQ/Jr/XQJrUl8vHm1u_small.mp4
Unavailable,36.4186,114.9312,722.692,Above Sea Level,2020-11-19,22:32:25,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQNXmcO88IrA.json,XQ,RREEPPLLAACCEE/XQ/NX/XQNXmcO88IrA.mp4,RREEPPLLAACCEE/XQ/NX/XQNXmcO88IrA_small.mp4
Unavailable,40.3196,79.9065,286,Above Sea Level,2020-07-14,21:23:30,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQVvD6RppUrI.json,XQ,RREEPPLLAACCEE/XQ/Vv/XQVvD6RppUrI.mp4,RREEPPLLAACCEE/XQ/Vv/XQVvD6RppUrI_small.mp4
Unavailable,41.4269,73.6789,161.691,Above Sea Level,2020-07-04,16:51:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XQWSatqpkpMz.json,XQ,RREEPPLLAACCEE/XQ/WS/XQWSatqpkpMz.mp4,RREEPPLLAACCEE/XQ/WS/XQWSatqpkpMz_small.mp4
