Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
johnwatts,0,0,0,Unavailable,2020-12-11,15:59:47,Synthetic Camera,,Unavailable,Unavailable,johnwatts,johnwatts,johnwatts,meta-D20ZxKCFOqZS.json,D2,RREEPPLLAACCEE/D2/0Z/D20ZxKCFOqZS.mp4,RREEPPLLAACCEE/D2/0Z/D20ZxKCFOqZS_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-12,20:18:35,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-D2WzJMvXCvde.json,D2,RREEPPLLAACCEE/D2/Wz/D2WzJMvXCvde.mp4,RREEPPLLAACCEE/D2/Wz/D2WzJMvXCvde_small.mp4
Johnson,0,0,0,Unavailable,2021-01-01,02:11:19,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-D2dwds7fsR18.json,D2,RREEPPLLAACCEE/D2/dw/D2dwds7fsR18.mp4,RREEPPLLAACCEE/D2/dw/D2dwds7fsR18_small.mp4
George,0,0,0,Unavailable,2020-12-04,15:48:45,Canon,,,,George,George,George,meta-D2qHMV97ACQ7.json,D2,RREEPPLLAACCEE/D2/qH/D2qHMV97ACQ7.mp4,RREEPPLLAACCEE/D2/qH/D2qHMV97ACQ7_small.mp4
Yanky,0,0,0,Unavailable,2020-10-21,16:35:27,Unavailable,Unavailable,Unavailable,Unavailable,Yanky,Yanky,Yanky,meta-D2xxuaIHqVfY.json,D2,RREEPPLLAACCEE/D2/xx/D2xxuaIHqVfY.mp4,RREEPPLLAACCEE/D2/xx/D2xxuaIHqVfY_small.mp4
adart,0,0,0,Unavailable,2020-10-26,01:06:34,Unavailable,Unavailable,Unavailable,Unavailable,adart,adart,adart,meta-d2kF3o3pfgp5.json,d2,RREEPPLLAACCEE/d2/kF/d2kF3o3pfgp5.mp4,RREEPPLLAACCEE/d2/kF/d2kF3o3pfgp5_small.mp4
Unavailable,38.7239,90.2940,177.5,Above Sea Level,2020-10-26,13:34:19,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D23QnMpFndy2.json,D2,RREEPPLLAACCEE/D2/3Q/D23QnMpFndy2.mp4,RREEPPLLAACCEE/D2/3Q/D23QnMpFndy2_small.mp4
Unavailable,26.0622,80.3126,2.786,Above Sea Level,2020-11-11,21:41:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D27jolD6xKys.json,D2,RREEPPLLAACCEE/D2/7j/D27jolD6xKys.mp4,RREEPPLLAACCEE/D2/7j/D27jolD6xKys_small.mp4
Unavailable,29.1729,82.2206,0,Unavailable,2020-10-16,20:01:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D2CndIX8giqW.json,D2,RREEPPLLAACCEE/D2/Cn/D2CndIX8giqW.mp4,RREEPPLLAACCEE/D2/Cn/D2CndIX8giqW_small.mp4
Unavailable,41.4101,75.6609,235.122,Above Sea Level,2020-11-09,22:42:54,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D2FzFwzcQZaq.json,D2,RREEPPLLAACCEE/D2/Fz/D2FzFwzcQZaq.mp4,RREEPPLLAACCEE/D2/Fz/D2FzFwzcQZaq_small.mp4
