Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
pierc,0,0,0,Unavailable,2020-10-05,06:12:57,BeFunky,Unavailable,Unavailable,Unavailable,pierc,pierc,pierc,meta-VDYdiuQzNDo8.json,VD,RREEPPLLAACCEE/VD/Yd/VDYdiuQzNDo8.mp4,RREEPPLLAACCEE/VD/Yd/VDYdiuQzNDo8_small.mp4
Raymond,0,0,0,Unavailable,2019-12-26,13:47:58,Unavailable,Unavailable,Unavailable,Unavailable,Raymond,Raymond,Raymond,meta-vDN0RqdRzUx1.json,vD,RREEPPLLAACCEE/vD/N0/vDN0RqdRzUx1.mp4,RREEPPLLAACCEE/vD/N0/vDN0RqdRzUx1_small.mp4
andre,0,0,0,Unavailable,2020-11-25,00:00:54,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-vDa5E6Gl1QJz.json,vD,RREEPPLLAACCEE/vD/a5/vDa5E6Gl1QJz.mp4,RREEPPLLAACCEE/vD/a5/vDa5E6Gl1QJz_small.mp4
Bear&Monkey,0,0,0,Unavailable,2020-12-07,00:56:58,Unavailable,Unavailable,Unavailable,Unavailable,Bear&Monkey,Bear&Monkey,Bear&Monkey,meta-vDtp4ARoiBGz.json,vD,RREEPPLLAACCEE/vD/tp/vDtp4ARoiBGz.mp4,RREEPPLLAACCEE/vD/tp/vDtp4ARoiBGz_small.mp4
glaub,0,0,0,Unavailable,2020-11-27,12:31:31,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-vdd56rJc0pHW.json,vd,RREEPPLLAACCEE/vd/d5/vdd56rJc0pHW.mp4,RREEPPLLAACCEE/vd/d5/vdd56rJc0pHW_small.mp4
Unavailable,33.4269,111.9392,356.607,Above Sea Level,2020-11-14,03:31:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VD3xEDLJq14N.json,VD,RREEPPLLAACCEE/VD/3x/VD3xEDLJq14N.mp4,RREEPPLLAACCEE/VD/3x/VD3xEDLJq14N_small.mp4
Unavailable,38.9011,77.0249,43.965,Above Sea Level,2021-01-06,03:56:40,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VD7kpNgyWEaK.json,VD,RREEPPLLAACCEE/VD/7k/VD7kpNgyWEaK.mp4,RREEPPLLAACCEE/VD/7k/VD7kpNgyWEaK_small.mp4
Unavailable,34.8824,82.0098,196.152,Above Sea Level,2020-01-01,20:49:33,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDGHIOdcHafc.json,VD,RREEPPLLAACCEE/VD/GH/VDGHIOdcHafc.mp4,RREEPPLLAACCEE/VD/GH/VDGHIOdcHafc_small.mp4
Unavailable,39.9922,86.2544,275.963,Above Sea Level,2020-11-04,08:00:53,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDLBYo56pKvh.json,VD,RREEPPLLAACCEE/VD/LB/VDLBYo56pKvh.mp4,RREEPPLLAACCEE/VD/LB/VDLBYo56pKvh_small.mp4
Unavailable,21.4147,157.9943,102.421,Above Sea Level,2020-06-26,21:40:05,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDMvaHgjkSnI.json,VD,RREEPPLLAACCEE/VD/Mv/VDMvaHgjkSnI.mp4,RREEPPLLAACCEE/VD/Mv/VDMvaHgjkSnI_small.mp4
Unavailable,30.6529,87.0865,48.524,Above Sea Level,2021-01-06,02:40:44,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDNUEFk005eN.json,VD,RREEPPLLAACCEE/VD/NU/VDNUEFk005eN.mp4,RREEPPLLAACCEE/VD/NU/VDNUEFk005eN_small.mp4
Unavailable,31.5631,97.1953,171.481,Above Sea Level,2020-11-15,06:22:28,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDOMiUIxv42A.json,VD,RREEPPLLAACCEE/VD/OM/VDOMiUIxv42A.mp4,RREEPPLLAACCEE/VD/OM/VDOMiUIxv42A_small.mp4
Unavailable,27.8957,82.6655,2.347,Above Sea Level,2020-07-01,18:59:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDPIEZEvZtze.json,VD,RREEPPLLAACCEE/VD/PI/VDPIEZEvZtze.mp4,RREEPPLLAACCEE/VD/PI/VDPIEZEvZtze_small.mp4
Unavailable,36.1528,95.9962,206.996,Above Sea Level,2020-06-21,01:54:07,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDXqjueaHZZf.json,VD,RREEPPLLAACCEE/VD/Xq/VDXqjueaHZZf.mp4,RREEPPLLAACCEE/VD/Xq/VDXqjueaHZZf_small.mp4
Unavailable,40.3334,111.7100,1451.268,Above Sea Level,2020-12-02,00:19:17,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDaoC8jWiOPu.json,VD,RREEPPLLAACCEE/VD/ao/VDaoC8jWiOPu.mp4,RREEPPLLAACCEE/VD/ao/VDaoC8jWiOPu_small.mp4
Unavailable,26.1177,127.6675,6.08,Above Sea Level,2018-12-30,09:51:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDeD4PMGXewn.json,VD,RREEPPLLAACCEE/VD/eD/VDeD4PMGXewn.mp4,RREEPPLLAACCEE/VD/eD/VDeD4PMGXewn_small.mp4
Unavailable,39.4378,123.3567,405.451,Above Sea Level,2020-12-08,10:04:08,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDgLT0lhfuOT.json,VD,RREEPPLLAACCEE/VD/gL/VDgLT0lhfuOT.mp4,RREEPPLLAACCEE/VD/gL/VDgLT0lhfuOT_small.mp4
Unavailable,35.6064,97.4991,350.007,Above Sea Level,2021-01-06,21:51:16,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDgpB7n6DyRh.json,VD,RREEPPLLAACCEE/VD/gp/VDgpB7n6DyRh.mp4,RREEPPLLAACCEE/VD/gp/VDgpB7n6DyRh_small.mp4
Unavailable,41.8429,88.0922,231.237,Above Sea Level,2020-12-02,12:57:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDlFfb0VCApX.json,VD,RREEPPLLAACCEE/VD/lF/VDlFfb0VCApX.mp4,RREEPPLLAACCEE/VD/lF/VDlFfb0VCApX_small.mp4
Unavailable,38.7240,90.2940,177.004,Above Sea Level,2020-11-13,15:46:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDmOF9959OFd.json,VD,RREEPPLLAACCEE/VD/mO/VDmOF9959OFd.mp4,RREEPPLLAACCEE/VD/mO/VDmOF9959OFd_small.mp4
Unavailable,37.6628,87.0205,129.577,Above Sea Level,2020-11-10,16:20:28,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDslObXnK7mI.json,VD,RREEPPLLAACCEE/VD/sl/VDslObXnK7mI.mp4,RREEPPLLAACCEE/VD/sl/VDslObXnK7mI_small.mp4
Unavailable,41.2179,98.4599,552.362,Above Sea Level,2020-12-06,13:16:32,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDu3PNPq0ynB.json,VD,RREEPPLLAACCEE/VD/u3/VDu3PNPq0ynB.mp4,RREEPPLLAACCEE/VD/u3/VDu3PNPq0ynB_small.mp4
Unavailable,38.8920,77.0370,3.634,Above Sea Level,2021-01-06,20:38:55,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDvVSLkluqQ7.json,VD,RREEPPLLAACCEE/VD/vV/VDvVSLkluqQ7.mp4,RREEPPLLAACCEE/VD/vV/VDvVSLkluqQ7_small.mp4
Unavailable,38.9341,94.8676,310.523,Above Sea Level,2020-11-08,02:04:11,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDxO0vWN0zkC.json,VD,RREEPPLLAACCEE/VD/xO/VDxO0vWN0zkC.mp4,RREEPPLLAACCEE/VD/xO/VDxO0vWN0zkC_small.mp4
Unavailable,42.0567,93.6980,304.594,Above Sea Level,2020-07-01,23:01:48,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VDzckXwvLmAr.json,VD,RREEPPLLAACCEE/VD/zc/VDzckXwvLmAr.mp4,RREEPPLLAACCEE/VD/zc/VDzckXwvLmAr_small.mp4
Unavailable,36.0964,115.1846,660.201,Above Sea Level,2019-04-29,14:49:11,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Vd60Yy5VOkEj.json,Vd,RREEPPLLAACCEE/Vd/60/Vd60Yy5VOkEj.mp4,RREEPPLLAACCEE/Vd/60/Vd60Yy5VOkEj_small.mp4
Unavailable,43.0354,85.6613,191.73,Above Sea Level,2020-12-22,14:12:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Vd91xsTjDVzO.json,Vd,RREEPPLLAACCEE/Vd/91/Vd91xsTjDVzO.mp4,RREEPPLLAACCEE/Vd/91/Vd91xsTjDVzO_small.mp4
Unavailable,36.3387,97.9067,0,Unavailable,2020-11-18,20:20:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VdE2EIhWytUi.json,Vd,RREEPPLLAACCEE/Vd/E2/VdE2EIhWytUi.mp4,RREEPPLLAACCEE/Vd/E2/VdE2EIhWytUi_small.mp4
Unavailable,38.9015,77.0344,0,Unavailable,2020-11-15,04:53:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VdK0EuTmGv1t.json,Vd,RREEPPLLAACCEE/Vd/K0/VdK0EuTmGv1t.mp4,RREEPPLLAACCEE/Vd/K0/VdK0EuTmGv1t_small.mp4
