Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
hanso,0,0,0,Unavailable,2020-12-29,20:31:01,Unavailable,,Unavailable,Unavailable,hanso,hanso,hanso,meta-4J6iu3NFz4F2.json,4J,RREEPPLLAACCEE/4J/6i/4J6iu3NFz4F2.mp4,RREEPPLLAACCEE/4J/6i/4J6iu3NFz4F2_small.mp4
Matheus,0,0,0,Unavailable,2020-07-10,18:02:35,Canon,,,,Matheus,Matheus,Matheus,meta-4JqiCzSpXK8j.json,4J,RREEPPLLAACCEE/4J/qi/4JqiCzSpXK8j.mp4,RREEPPLLAACCEE/4J/qi/4JqiCzSpXK8j_small.mp4
kodiakadams,0,0,0,Unavailable,2021-01-07,22:16:20,Unavailable,Unavailable,Unavailable,Unavailable,kodiakadams,kodiakadams,kodiakadams,meta-4jutEPchfwwp.json,4j,RREEPPLLAACCEE/4j/ut/4jutEPchfwwp.mp4,RREEPPLLAACCEE/4j/ut/4jutEPchfwwp_small.mp4
Jonathan,0,0,0,Unavailable,2020-12-16,03:57:44,Unavailable,Unavailable,Unavailable,Unavailable,Jonathan,Jonathan,Jonathan,meta-4jvzPXWbN802.json,4j,RREEPPLLAACCEE/4j/vz/4jvzPXWbN802.mp4,RREEPPLLAACCEE/4j/vz/4jvzPXWbN802_small.mp4
Unavailable,32.7442,97.5112,264.012,Above Sea Level,2020-12-02,19:10:48,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4J2TxLBN6lm1.json,4J,RREEPPLLAACCEE/4J/2T/4J2TxLBN6lm1.mp4,RREEPPLLAACCEE/4J/2T/4J2TxLBN6lm1_small.mp4
Unavailable,28.8748,82.0107,31.744,Above Sea Level,2020-12-03,15:20:01,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JJqptqnmM2F.json,4J,RREEPPLLAACCEE/4J/Jq/4JJqptqnmM2F.mp4,RREEPPLLAACCEE/4J/Jq/4JJqptqnmM2F_small.mp4
Unavailable,39.8228,75.0780,5.956,Above Sea Level,2020-07-25,14:37:16,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JKQQHk107H1.json,4J,RREEPPLLAACCEE/4J/KQ/4JKQQHk107H1.mp4,RREEPPLLAACCEE/4J/KQ/4JKQQHk107H1_small.mp4
Unavailable,33.8923,84.6878,301.645,Above Sea Level,2020-11-08,21:22:26,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JXrAR2sX07W.json,4J,RREEPPLLAACCEE/4J/Xr/4JXrAR2sX07W.mp4,RREEPPLLAACCEE/4J/Xr/4JXrAR2sX07W_small.mp4
Unavailable,35.6535,83.5824,661.609,Above Sea Level,2020-08-26,12:58:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JaZP43cDtmp.json,4J,RREEPPLLAACCEE/4J/aZ/4JaZP43cDtmp.mp4,RREEPPLLAACCEE/4J/aZ/4JaZP43cDtmp_small.mp4
Unavailable,36.8509,76.2966,4.659,Above Sea Level,2020-08-28,02:23:05,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JgBaxOomLFh.json,4J,RREEPPLLAACCEE/4J/gB/4JgBaxOomLFh.mp4,RREEPPLLAACCEE/4J/gB/4JgBaxOomLFh_small.mp4
Unavailable,40.4115,111.8909,1379.92,Above Sea Level,2020-12-08,02:43:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JgFttGa4XV5.json,4J,RREEPPLLAACCEE/4J/gF/4JgFttGa4XV5.mp4,RREEPPLLAACCEE/4J/gF/4JgFttGa4XV5_small.mp4
Unavailable,43.4506,113.5379,1751.464,Above Sea Level,2020-08-13,20:07:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4JnTZ4rvvWXp.json,4J,RREEPPLLAACCEE/4J/nT/4JnTZ4rvvWXp.mp4,RREEPPLLAACCEE/4J/nT/4JnTZ4rvvWXp_small.mp4
