Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Sherry Gale,0,0,0,Unavailable,2020-09-09,18:56:26,Unavailable,Unavailable,Unavailable,Unavailable,jgale,jgale,jgale,meta-4MPbMHpWkmeS.json,4M,RREEPPLLAACCEE/4M/Pb/4MPbMHpWkmeS.mp4,RREEPPLLAACCEE/4M/Pb/4MPbMHpWkmeS_small.mp4
pipehat,0,0,0,Unavailable,2020-12-05,02:36:48,Unavailable,Unavailable,Unavailable,Unavailable,pipehat,pipehat,pipehat,meta-4mtJQD67LV0A.json,4m,RREEPPLLAACCEE/4m/tJ/4mtJQD67LV0A.mp4,RREEPPLLAACCEE/4m/tJ/4mtJQD67LV0A_small.mp4
Unavailable,33.7607,111.9525,623.103,Above Sea Level,2020-10-02,20:28:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4M43g9N1dZ8v.json,4M,RREEPPLLAACCEE/4M/43/4M43g9N1dZ8v.mp4,RREEPPLLAACCEE/4M/43/4M43g9N1dZ8v_small.mp4
Unavailable,29.7617,90.0928,3.232,Above Sea Level,2020-07-15,23:26:17,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4M4tCtnce5GV.json,4M,RREEPPLLAACCEE/4M/4t/4M4tCtnce5GV.mp4,RREEPPLLAACCEE/4M/4t/4M4tCtnce5GV_small.mp4
Unavailable,30.3369,87.1164,1.988,Above Sea Level,2020-10-11,02:55:00,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MBI4IEdQfRB.json,4M,RREEPPLLAACCEE/4M/BI/4MBI4IEdQfRB.mp4,RREEPPLLAACCEE/4M/BI/4MBI4IEdQfRB_small.mp4
Unavailable,40.3196,79.9065,286,Above Sea Level,2020-07-14,16:05:40,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MEizmB77llU.json,4M,RREEPPLLAACCEE/4M/Ei/4MEizmB77llU.mp4,RREEPPLLAACCEE/4M/Ei/4MEizmB77llU_small.mp4
Unavailable,35.0566,84.3426,567.841,Above Sea Level,2020-11-14,22:47:28,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MGX0pcv1CR6.json,4M,RREEPPLLAACCEE/4M/GX/4MGX0pcv1CR6.mp4,RREEPPLLAACCEE/4M/GX/4MGX0pcv1CR6_small.mp4
Unavailable,33.5728,97.8515,349.41,Above Sea Level,2020-11-12,15:30:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MPizD2Ze1s5.json,4M,RREEPPLLAACCEE/4M/Pi/4MPizD2Ze1s5.mp4,RREEPPLLAACCEE/4M/Pi/4MPizD2Ze1s5_small.mp4
Unavailable,35.6742,135.2856,0,Unavailable,2020-11-22,07:21:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MQyoQUc8cjt.json,4M,RREEPPLLAACCEE/4M/Qy/4MQyoQUc8cjt.mp4,RREEPPLLAACCEE/4M/Qy/4MQyoQUc8cjt_small.mp4
Unavailable,28.2070,80.5958,2.699,Above Sea Level,2020-07-21,21:33:32,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4MUzbwkZEm0r.json,4M,RREEPPLLAACCEE/4M/Uz/4MUzbwkZEm0r.mp4,RREEPPLLAACCEE/4M/Uz/4MUzbwkZEm0r_small.mp4
