Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
zimmermann,0,0,0,Unavailable,2021-01-06,22:32:53,Unavailable,,Unavailable,Unavailable,zimmermann,zimmermann,zimmermann,meta-B2JZAJFaxJUq.json,B2,RREEPPLLAACCEE/B2/JZ/B2JZAJFaxJUq.mp4,RREEPPLLAACCEE/B2/JZ/B2JZAJFaxJUq_small.mp4
melinachan,0,0,0,Unavailable,2020-08-06,15:20:58,Canon,,,,katherinelee,katherinelee,katherinelee,meta-b2SRLXOYXXKv.json,b2,RREEPPLLAACCEE/b2/SR/b2SRLXOYXXKv.mp4,RREEPPLLAACCEE/b2/SR/b2SRLXOYXXKv_small.mp4
Oscar,0,0,0,Unavailable,2020-11-24,21:04:36,Unavailable,Unavailable,Unavailable,Unavailable,Oscar,Oscar,Oscar,meta-b2xPxgzHfbmN.json,b2,RREEPPLLAACCEE/b2/xP/b2xPxgzHfbmN.mp4,RREEPPLLAACCEE/b2/xP/b2xPxgzHfbmN_small.mp4
Unavailable,26.9410,82.3494,2.967,Above Sea Level,2020-10-30,14:40:46,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B2B7TRf0HNmD.json,B2,RREEPPLLAACCEE/B2/B7/B2B7TRf0HNmD.mp4,RREEPPLLAACCEE/B2/B7/B2B7TRf0HNmD_small.mp4
Unavailable,33.5366,111.9229,394.425,Above Sea Level,2020-11-09,00:05:55,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B2NvXU7baUYU.json,B2,RREEPPLLAACCEE/B2/Nv/B2NvXU7baUYU.mp4,RREEPPLLAACCEE/B2/Nv/B2NvXU7baUYU_small.mp4
Unavailable,39.4750,84.4749,0,Unavailable,2020-11-01,23:32:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B2XKKC3z8jCy.json,B2,RREEPPLLAACCEE/B2/XK/B2XKKC3z8jCy.mp4,RREEPPLLAACCEE/B2/XK/B2XKKC3z8jCy_small.mp4
Unavailable,37.9655,90.0526,133.135,Above Sea Level,2020-11-16,16:28:02,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B2suQTN79Jtw.json,B2,RREEPPLLAACCEE/B2/su/B2suQTN79Jtw.mp4,RREEPPLLAACCEE/B2/su/B2suQTN79Jtw_small.mp4
Unavailable,43.6666,116.4302,781.417,Above Sea Level,2020-12-28,21:38:02,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b227yLFSFPP6.json,b2,RREEPPLLAACCEE/b2/27/b227yLFSFPP6.mp4,RREEPPLLAACCEE/b2/27/b227yLFSFPP6_small.mp4
Unavailable,36.0559,86.8397,250.93,Above Sea Level,2020-09-16,00:21:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b239DVtFy57N.json,b2,RREEPPLLAACCEE/b2/39/b239DVtFy57N.mp4,RREEPPLLAACCEE/b2/39/b239DVtFy57N_small.mp4
Unavailable,34.7592,84.9347,230.15,Above Sea Level,2021-01-04,22:33:53,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b260GPLVZDXh.json,b2,RREEPPLLAACCEE/b2/60/b260GPLVZDXh.mp4,RREEPPLLAACCEE/b2/60/b260GPLVZDXh_small.mp4
