Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
tylermcdowell,0,0,0,Unavailable,2020-11-20,03:10:33,Unavailable,Unavailable,Unavailable,Unavailable,tylermcdowell,tylermcdowell,tylermcdowell,meta-KH2Ny1b7OnuQ.json,KH,RREEPPLLAACCEE/KH/2N/KH2Ny1b7OnuQ.mp4,RREEPPLLAACCEE/KH/2N/KH2Ny1b7OnuQ_small.mp4
jotac,0,0,0,Unavailable,2020-10-21,12:35:38,Unavailable,,Unavailable,Unavailable,jotac,jotac,jotac,meta-Kh9VHLeKMHuy.json,Kh,RREEPPLLAACCEE/Kh/9V/Kh9VHLeKMHuy.mp4,RREEPPLLAACCEE/Kh/9V/Kh9VHLeKMHuy_small.mp4
DK,0,0,0,Unavailable,2020-10-23,15:48:00,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-KhOEiPaYshWJ.json,Kh,RREEPPLLAACCEE/Kh/OE/KhOEiPaYshWJ.mp4,RREEPPLLAACCEE/Kh/OE/KhOEiPaYshWJ_small.mp4
alivingston,0,0,0,Unavailable,2020-07-21,10:03:06,Unavailable,Unavailable,Unavailable,Unavailable,alivingston,alivingston,alivingston,meta-KhT6gugDgCOx.json,Kh,RREEPPLLAACCEE/Kh/T6/KhT6gugDgCOx.mp4,RREEPPLLAACCEE/Kh/T6/KhT6gugDgCOx_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-01,18:36:40,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-KhUQSdYprkXe.json,Kh,RREEPPLLAACCEE/Kh/UQ/KhUQSdYprkXe.mp4,RREEPPLLAACCEE/Kh/UQ/KhUQSdYprkXe_small.mp4
markgrabianowski,0,0,0,Unavailable,2020-06-30,14:27:41,Unavailable,Unavailable,Unavailable,Unavailable,markgrabianowski,markgrabianowski,markgrabianowski,meta-KhVBZfaTpjBC.json,Kh,RREEPPLLAACCEE/Kh/VB/KhVBZfaTpjBC.mp4,RREEPPLLAACCEE/Kh/VB/KhVBZfaTpjBC_small.mp4
Miki,0,0,0,Unavailable,2020-10-24,17:49:45,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-Khh3f8q462GH.json,Kh,RREEPPLLAACCEE/Kh/h3/Khh3f8q462GH.mp4,RREEPPLLAACCEE/Kh/h3/Khh3f8q462GH_small.mp4
Unavailable,26.3667,80.1227,11.496,Above Sea Level,2020-12-05,03:23:11,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH0V9PHe5Qqj.json,KH,RREEPPLLAACCEE/KH/0V/KH0V9PHe5Qqj.mp4,RREEPPLLAACCEE/KH/0V/KH0V9PHe5Qqj_small.mp4
Unavailable,29.8645,95.6859,0,Unavailable,2020-11-12,00:08:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH2CJIDaD22Q.json,KH,RREEPPLLAACCEE/KH/2C/KH2CJIDaD22Q.mp4,RREEPPLLAACCEE/KH/2C/KH2CJIDaD22Q_small.mp4
Unavailable,40.6682,73.7051,6.926,Above Sea Level,2020-12-09,14:41:03,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH3RrYqFqGn8.json,KH,RREEPPLLAACCEE/KH/3R/KH3RrYqFqGn8.mp4,RREEPPLLAACCEE/KH/3R/KH3RrYqFqGn8_small.mp4
Unavailable,37.0223,121.9804,210.534,Above Sea Level,2020-12-31,01:15:19,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH46XtRvo9W7.json,KH,RREEPPLLAACCEE/KH/46/KH46XtRvo9W7.mp4,RREEPPLLAACCEE/KH/46/KH46XtRvo9W7_small.mp4
Unavailable,31.5630,97.1953,167.362,Above Sea Level,2020-11-27,23:04:13,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH48L9fDb2HN.json,KH,RREEPPLLAACCEE/KH/48/KH48L9fDb2HN.mp4,RREEPPLLAACCEE/KH/48/KH48L9fDb2HN_small.mp4
Unavailable,38.8956,77.0313,5.82,Above Sea Level,2020-11-14,16:07:38,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KH6L00zIn2ig.json,KH,RREEPPLLAACCEE/KH/6L/KH6L00zIn2ig.mp4,RREEPPLLAACCEE/KH/6L/KH6L00zIn2ig_small.mp4
Unavailable,38.0359,92.5759,276.684,Above Sea Level,2020-11-27,19:02:58,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KHJ8F4d7Ve9F.json,KH,RREEPPLLAACCEE/KH/J8/KHJ8F4d7Ve9F.mp4,RREEPPLLAACCEE/KH/J8/KHJ8F4d7Ve9F_small.mp4
Unavailable,36.9622,93.7291,421.864,Above Sea Level,2019-09-22,15:43:10,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KHKaqZbfcimX.json,KH,RREEPPLLAACCEE/KH/Ka/KHKaqZbfcimX.mp4,RREEPPLLAACCEE/KH/Ka/KHKaqZbfcimX_small.mp4
Unavailable,40.3197,79.9066,286,Above Sea Level,2020-06-30,21:35:23,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KHLMeYOSVaVl.json,KH,RREEPPLLAACCEE/KH/LM/KHLMeYOSVaVl.mp4,RREEPPLLAACCEE/KH/LM/KHLMeYOSVaVl_small.mp4
