Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
User,0,0,0,Unavailable,2020-10-09,17:42:14,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-hC5ECqJQS1Io.json,hC,RREEPPLLAACCEE/hC/5E/hC5ECqJQS1Io.mp4,RREEPPLLAACCEE/hC/5E/hC5ECqJQS1Io_small.mp4
Arelis,0,0,0,Unavailable,2020-12-02,22:30:13,Unavailable,Unavailable,Unavailable,Unavailable,aeda31,ddelgado,ddelgado,meta-hcFN2Uq9VMMH.json,hc,RREEPPLLAACCEE/hc/FN/hcFN2Uq9VMMH.mp4,RREEPPLLAACCEE/hc/FN/hcFN2Uq9VMMH_small.mp4
Unavailable,4.7365,55.5232,0,Unavailable,2020-12-29,12:16:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HC76sMRHzb1A.json,HC,RREEPPLLAACCEE/HC/76/HC76sMRHzb1A.mp4,RREEPPLLAACCEE/HC/76/HC76sMRHzb1A_small.mp4
Unavailable,46.8274,113.8094,1053.288,Above Sea Level,2020-12-10,23:45:40,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCAzmZ0Cuq1u.json,HC,RREEPPLLAACCEE/HC/Az/HCAzmZ0Cuq1u.mp4,RREEPPLLAACCEE/HC/Az/HCAzmZ0Cuq1u_small.mp4
Unavailable,26.2460,80.0939,2.234,Above Sea Level,2020-11-22,01:14:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCB005mLP1s3.json,HC,RREEPPLLAACCEE/HC/B0/HCB005mLP1s3.mp4,RREEPPLLAACCEE/HC/B0/HCB005mLP1s3_small.mp4
Unavailable,50.9331,102.8189,542.253,Above Sea Level,2020-05-27,06:08:43,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCBYvMlDutsv.json,HC,RREEPPLLAACCEE/HC/BY/HCBYvMlDutsv.mp4,RREEPPLLAACCEE/HC/BY/HCBYvMlDutsv_small.mp4
Unavailable,40.6427,74.0839,32.907,Above Sea Level,2020-11-16,16:25:35,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCNnqjgA7Wfr.json,HC,RREEPPLLAACCEE/HC/Nn/HCNnqjgA7Wfr.mp4,RREEPPLLAACCEE/HC/Nn/HCNnqjgA7Wfr_small.mp4
Unavailable,38.8897,77.0100,17.415,Above Sea Level,2021-01-06,20:10:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCPEQvbjh9gA.json,HC,RREEPPLLAACCEE/HC/PE/HCPEQvbjh9gA.mp4,RREEPPLLAACCEE/HC/PE/HCPEQvbjh9gA_small.mp4
Unavailable,33.5760,111.9555,408.511,Above Sea Level,2020-07-16,23:21:45,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCSEaBn4akWb.json,HC,RREEPPLLAACCEE/HC/SE/HCSEaBn4akWb.mp4,RREEPPLLAACCEE/HC/SE/HCSEaBn4akWb_small.mp4
Unavailable,26.2236,81.7211,5.31,Above Sea Level,2020-11-13,16:22:11,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HCUWNCxwqEit.json,HC,RREEPPLLAACCEE/HC/UW/HCUWNCxwqEit.mp4,RREEPPLLAACCEE/HC/UW/HCUWNCxwqEit_small.mp4
