Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
palmetto,0,0,0,Unavailable,2020-12-10,15:33:11,Unavailable,Unavailable,Unavailable,Unavailable,palmetto,palmetto,palmetto,meta-9GAZvRM2nY1o.json,9G,RREEPPLLAACCEE/9G/AZ/9GAZvRM2nY1o.mp4,RREEPPLLAACCEE/9G/AZ/9GAZvRM2nY1o_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-11,18:07:19,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-9GVdjuXjEPwC.json,9G,RREEPPLLAACCEE/9G/Vd/9GVdjuXjEPwC.mp4,RREEPPLLAACCEE/9G/Vd/9GVdjuXjEPwC_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-22,16:19:04,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-9g1gPX26Yfrd.json,9g,RREEPPLLAACCEE/9g/1g/9g1gPX26Yfrd.mp4,RREEPPLLAACCEE/9g/1g/9g1gPX26Yfrd_small.mp4
thede,0,0,0,Unavailable,2020-11-20,23:09:22,Unavailable,,Unavailable,Unavailable,thede,thede,thede,meta-9gN86oC91oFV.json,9g,RREEPPLLAACCEE/9g/N8/9gN86oC91oFV.mp4,RREEPPLLAACCEE/9g/N8/9gN86oC91oFV_small.mp4
Unavailable,35.5039,92.0464,136.515,Above Sea Level,2020-08-29,20:51:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9G0WCsi1ytKc.json,9G,RREEPPLLAACCEE/9G/0W/9G0WCsi1ytKc.mp4,RREEPPLLAACCEE/9G/0W/9G0WCsi1ytKc_small.mp4
Unavailable,30.1187,95.4511,37.908,Above Sea Level,2020-12-24,22:07:18,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9G1iaApZajWj.json,9G,RREEPPLLAACCEE/9G/1i/9G1iaApZajWj.mp4,RREEPPLLAACCEE/9G/1i/9G1iaApZajWj_small.mp4
Unavailable,39.9922,86.2544,276.327,Above Sea Level,2020-10-21,16:50:27,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9G3CN2dkGh3y.json,9G,RREEPPLLAACCEE/9G/3C/9G3CN2dkGh3y.mp4,RREEPPLLAACCEE/9G/3C/9G3CN2dkGh3y_small.mp4
Unavailable,30.2864,57.0299,0,Unavailable,2020-11-03,19:56:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9GBZ3IJyTMth.json,9G,RREEPPLLAACCEE/9G/BZ/9GBZ3IJyTMth.mp4,RREEPPLLAACCEE/9G/BZ/9GBZ3IJyTMth_small.mp4
Unavailable,34.7787,86.5018,205.47,Above Sea Level,2020-12-18,00:56:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9GJBDFOB0FBs.json,9G,RREEPPLLAACCEE/9G/JB/9GJBDFOB0FBs.mp4,RREEPPLLAACCEE/9G/JB/9GJBDFOB0FBs_small.mp4
Unavailable,26.5641,82.0296,4,Above Sea Level,2021-01-05,19:03:29,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9GTOaDK03H0S.json,9G,RREEPPLLAACCEE/9G/TO/9GTOaDK03H0S.mp4,RREEPPLLAACCEE/9G/TO/9GTOaDK03H0S_small.mp4
Unavailable,33.3846,111.9421,357.355,Above Sea Level,2020-11-17,05:42:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9GXVhOFFA5hf.json,9G,RREEPPLLAACCEE/9G/XV/9GXVhOFFA5hf.mp4,RREEPPLLAACCEE/9G/XV/9GXVhOFFA5hf_small.mp4
Unavailable,28.6171,81.4487,21.119,Above Sea Level,2020-12-04,10:24:13,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9GaRpqS3hWrb.json,9G,RREEPPLLAACCEE/9G/aR/9GaRpqS3hWrb.mp4,RREEPPLLAACCEE/9G/aR/9GaRpqS3hWrb_small.mp4
