Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
macbook,0,0,0,Unavailable,2020-09-10,00:42:17,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-NFBURTAi6OHK.json,NF,RREEPPLLAACCEE/NF/BU/NFBURTAi6OHK.mp4,RREEPPLLAACCEE/NF/BU/NFBURTAi6OHK_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-17,15:23:35,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-NFCh7WwBgkl3.json,NF,RREEPPLLAACCEE/NF/Ch/NFCh7WwBgkl3.mp4,RREEPPLLAACCEE/NF/Ch/NFCh7WwBgkl3_small.mp4
corinnemontoni 1,0,0,0,Unavailable,2021-01-09,20:49:47,Unavailable,Unavailable,Unavailable,Unavailable,corinnemontoni 1,corinnemontoni 1,corinnemontoni 1,meta-NFt79cWGCEvF.json,NF,RREEPPLLAACCEE/NF/t7/NFt79cWGCEvF.mp4,RREEPPLLAACCEE/NF/t7/NFt79cWGCEvF_small.mp4
Video Workstation,0,0,0,Unavailable,2020-12-10,15:47:22,Unavailable,Unavailable,Unavailable,Unavailable,Video Workstation,Video Workstation,Video Workstation,meta-Nf3gpg0v1qH6.json,Nf,RREEPPLLAACCEE/Nf/3g/Nf3gpg0v1qH6.mp4,RREEPPLLAACCEE/Nf/3g/Nf3gpg0v1qH6_small.mp4
Sem,0,0,0,Unavailable,2020-10-15,22:47:05,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-NfgiPBhlW7GN.json,Nf,RREEPPLLAACCEE/Nf/gi/NfgiPBhlW7GN.mp4,RREEPPLLAACCEE/Nf/gi/NfgiPBhlW7GN_small.mp4
Ali Uluisik,0,0,0,Unavailable,2020-11-11,14:41:56,Unavailable,Unavailable,Unavailable,Unavailable,Ali Uluisik,Ali Uluisik,Ali Uluisik,meta-nFWMJYzdsL9j.json,nF,RREEPPLLAACCEE/nF/WM/nFWMJYzdsL9j.mp4,RREEPPLLAACCEE/nF/WM/nFWMJYzdsL9j_small.mp4
Korbin,0,0,0,Unavailable,2020-07-19,17:25:37,Unavailable,Unavailable,Unavailable,Unavailable,Korbin,Korbin,Korbin,meta-nFfA8ZH75GOM.json,nF,RREEPPLLAACCEE/nF/fA/nFfA8ZH75GOM.mp4,RREEPPLLAACCEE/nF/fA/nFfA8ZH75GOM_small.mp4
Mark,0,0,0,Unavailable,2017-05-07,02:06:39,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-nfH8eNzMZLa5.json,nf,RREEPPLLAACCEE/nf/H8/nfH8eNzMZLa5.mp4,RREEPPLLAACCEE/nf/H8/nfH8eNzMZLa5_small.mp4
Unavailable,40.4462,75.3398,153.304,Above Sea Level,2020-11-05,15:35:24,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NF0fejY3pb4r.json,NF,RREEPPLLAACCEE/NF/0f/NF0fejY3pb4r.mp4,RREEPPLLAACCEE/NF/0f/NF0fejY3pb4r_small.mp4
Unavailable,39.7402,104.9811,1612.43,Above Sea Level,2020-06-01,03:37:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NF3y4Vz20PZN.json,NF,RREEPPLLAACCEE/NF/3y/NF3y4Vz20PZN.mp4,RREEPPLLAACCEE/NF/3y/NF3y4Vz20PZN_small.mp4
