Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
anthony072420,0,0,0,Unavailable,2020-12-18,14:32:18,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-SN4GCUk9CtUu.json,SN,RREEPPLLAACCEE/SN/4G/SN4GCUk9CtUu.mp4,RREEPPLLAACCEE/SN/4G/SN4GCUk9CtUu_small.mp4
Mark,0,0,0,Unavailable,2017-07-23,05:19:28,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-SNW6Hg5EUpx0.json,SN,RREEPPLLAACCEE/SN/W6/SNW6Hg5EUpx0.mp4,RREEPPLLAACCEE/SN/W6/SNW6Hg5EUpx0_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-15,13:28:22,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-SNWhPR8hM3Rj.json,SN,RREEPPLLAACCEE/SN/Wh/SNWhPR8hM3Rj.mp4,RREEPPLLAACCEE/SN/Wh/SNWhPR8hM3Rj_small.mp4
Ryan,0,0,0,Unavailable,2020-11-10,07:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Ryan,Ryan,Ryan,meta-SNryivSvE29w.json,SN,RREEPPLLAACCEE/SN/ry/SNryivSvE29w.mp4,RREEPPLLAACCEE/SN/ry/SNryivSvE29w_small.mp4
andre,0,0,0,Unavailable,2020-11-28,00:45:26,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-SnQShkm1mOdS.json,Sn,RREEPPLLAACCEE/Sn/QS/SnQShkm1mOdS.mp4,RREEPPLLAACCEE/Sn/QS/SnQShkm1mOdS_small.mp4
Sameer,0,0,0,Unavailable,2020-07-23,20:43:35,Unavailable,Unavailable,Unavailable,Unavailable,Sameer,Sameer,Sameer,meta-SnV4dyBq1E1D.json,Sn,RREEPPLLAACCEE/Sn/V4/SnV4dyBq1E1D.mp4,RREEPPLLAACCEE/Sn/V4/SnV4dyBq1E1D_small.mp4
ronald,0,0,0,Unavailable,2020-07-04,10:51:03,Unavailable,Unavailable,Unavailable,Unavailable,ronald,ronald,ronald,meta-sNFyuHQTCBAJ.json,sN,RREEPPLLAACCEE/sN/Fy/sNFyuHQTCBAJ.mp4,RREEPPLLAACCEE/sN/Fy/sNFyuHQTCBAJ_small.mp4
paulfisher,0,0,0,Unavailable,2020-06-16,16:05:55,Unavailable,Unavailable,Unavailable,Unavailable,paulfisher,paulfisher,paulfisher,meta-sNnAAyfnlQUb.json,sN,RREEPPLLAACCEE/sN/nA/sNnAAyfnlQUb.mp4,RREEPPLLAACCEE/sN/nA/sNnAAyfnlQUb_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-22,16:19:04,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-sncGLOKGO8w6.json,sn,RREEPPLLAACCEE/sn/cG/sncGLOKGO8w6.mp4,RREEPPLLAACCEE/sn/cG/sncGLOKGO8w6_small.mp4
Recardo,0,0,0,Unavailable,2021-01-04,18:04:00,Unavailable,Unavailable,Unavailable,Unavailable,Recardo,Recardo,Recardo,meta-snqcQKSyekls.json,sn,RREEPPLLAACCEE/sn/qc/snqcQKSyekls.mp4,RREEPPLLAACCEE/sn/qc/snqcQKSyekls_small.mp4
