Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
macbook,0,0,0,Unavailable,2020-09-03,20:53:32,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-KOtML60taegN.json,KO,RREEPPLLAACCEE/KO/tM/KOtML60taegN.mp4,RREEPPLLAACCEE/KO/tM/KOtML60taegN_small.mp4
james,0,0,0,Unavailable,2020-09-03,23:40:01,Unavailable,Unavailable,Unavailable,Unavailable,james,james,james,meta-KoD2ZCgvao2j.json,Ko,RREEPPLLAACCEE/Ko/D2/KoD2ZCgvao2j.mp4,RREEPPLLAACCEE/Ko/D2/KoD2ZCgvao2j_small.mp4
vince,0,0,0,Unavailable,2020-11-09,02:41:13,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-KooYzT65EeRb.json,Ko,RREEPPLLAACCEE/Ko/oY/KooYzT65EeRb.mp4,RREEPPLLAACCEE/Ko/oY/KooYzT65EeRb_small.mp4
bendoess,0,0,0,Unavailable,2020-12-26,18:11:39,Canon,,,Unavailable,bendoess,bendoess,bendoess,meta-kO5pLhFs28KK.json,kO,RREEPPLLAACCEE/kO/5p/kO5pLhFs28KK.mp4,RREEPPLLAACCEE/kO/5p/kO5pLhFs28KK_small.mp4
Deco,0,0,0,Unavailable,2020-10-27,19:53:40,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-kOD5YDf3PHQt.json,kO,RREEPPLLAACCEE/kO/D5/kOD5YDf3PHQt.mp4,RREEPPLLAACCEE/kO/D5/kOD5YDf3PHQt_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-09,16:07:00,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-koerBMKjCxEr.json,ko,RREEPPLLAACCEE/ko/er/koerBMKjCxEr.mp4,RREEPPLLAACCEE/ko/er/koerBMKjCxEr_small.mp4
rj_wilburn,0,0,0,Unavailable,2020-12-11,22:37:03,Unavailable,,Unavailable,Unavailable,rj_wilburn,rj_wilburn,rj_wilburn,meta-kolUzFBbr5r9.json,ko,RREEPPLLAACCEE/ko/lU/kolUzFBbr5r9.mp4,RREEPPLLAACCEE/ko/lU/kolUzFBbr5r9_small.mp4
home,0,0,0,Unavailable,2020-11-15,21:09:25,Unavailable,Unavailable,Unavailable,Unavailable,home,home,home,meta-kosAEY3wPzDu.json,ko,RREEPPLLAACCEE/ko/sA/kosAEY3wPzDu.mp4,RREEPPLLAACCEE/ko/sA/kosAEY3wPzDu_small.mp4
Unavailable,33.3770,112.0022,368.822,Above Sea Level,2020-11-09,04:05:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KO18bIH0KCgS.json,KO,RREEPPLLAACCEE/KO/18/KO18bIH0KCgS.mp4,RREEPPLLAACCEE/KO/18/KO18bIH0KCgS_small.mp4
Unavailable,40.7233,80.0339,331.935,Above Sea Level,2021-01-06,19:59:03,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KO6vvT8G80V3.json,KO,RREEPPLLAACCEE/KO/6v/KO6vvT8G80V3.mp4,RREEPPLLAACCEE/KO/6v/KO6vvT8G80V3_small.mp4
Unavailable,25.7452,80.1738,1.997,Above Sea Level,2021-01-01,19:33:15,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KO9hFJqpo4s1.json,KO,RREEPPLLAACCEE/KO/9h/KO9hFJqpo4s1.mp4,RREEPPLLAACCEE/KO/9h/KO9hFJqpo4s1_small.mp4
Unavailable,40.0250,74.1542,0,Unavailable,2020-10-15,01:31:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KOG90S0Yt1eA.json,KO,RREEPPLLAACCEE/KO/G9/KOG90S0Yt1eA.mp4,RREEPPLLAACCEE/KO/G9/KOG90S0Yt1eA_small.mp4
Unavailable,43.5723,111.9833,0,Unavailable,2020-11-14,19:29:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KON85niQ1zsq.json,KO,RREEPPLLAACCEE/KO/N8/KON85niQ1zsq.mp4,RREEPPLLAACCEE/KO/N8/KON85niQ1zsq_small.mp4
