Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Shane,0,0,0,Unavailable,2020-12-03,06:35:27,Unavailable,Unavailable,Unavailable,Unavailable,Shane,Shane,Shane,meta-YABiPpFO2gtm.json,YA,RREEPPLLAACCEE/YA/Bi/YABiPpFO2gtm.mp4,RREEPPLLAACCEE/YA/Bi/YABiPpFO2gtm_small.mp4
prudy,0,0,0,Unavailable,2020-10-30,17:01:36,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-YAVAGqrZBBaK.json,YA,RREEPPLLAACCEE/YA/VA/YAVAGqrZBBaK.mp4,RREEPPLLAACCEE/YA/VA/YAVAGqrZBBaK_small.mp4
jotac,0,0,0,Unavailable,2020-08-11,20:57:58,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-YaM7IcfOE5Ui.json,Ya,RREEPPLLAACCEE/Ya/M7/YaM7IcfOE5Ui.mp4,RREEPPLLAACCEE/Ya/M7/YaM7IcfOE5Ui_small.mp4
JP,0,0,0,Unavailable,2020-12-07,10:25:49,Unavailable,Unavailable,Unavailable,Unavailable,JP,JP,JP,meta-yAfrP6Sx0yNO.json,yA,RREEPPLLAACCEE/yA/fr/yAfrP6Sx0yNO.mp4,RREEPPLLAACCEE/yA/fr/yAfrP6Sx0yNO_small.mp4
Unavailable,33.2072,111.7715,387.426,Above Sea Level,2020-11-12,01:35:21,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YA1MAo4KZgr7.json,YA,RREEPPLLAACCEE/YA/1M/YA1MAo4KZgr7.mp4,RREEPPLLAACCEE/YA/1M/YA1MAo4KZgr7_small.mp4
Unavailable,44.8035,93.3852,257.592,Above Sea Level,2020-11-18,04:00:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YA4ZllmVJ9C5.json,YA,RREEPPLLAACCEE/YA/4Z/YA4ZllmVJ9C5.mp4,RREEPPLLAACCEE/YA/4Z/YA4ZllmVJ9C5_small.mp4
Unavailable,56.7289,111.3851,252.025,Above Sea Level,2020-10-21,06:35:16,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YA57i4iofQB2.json,YA,RREEPPLLAACCEE/YA/57/YA57i4iofQB2.mp4,RREEPPLLAACCEE/YA/57/YA57i4iofQB2_small.mp4
Unavailable,37.5299,121.9687,14.8,Above Sea Level,2020-03-19,01:49:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAXRFRNJwqke.json,YA,RREEPPLLAACCEE/YA/XR/YAXRFRNJwqke.mp4,RREEPPLLAACCEE/YA/XR/YAXRFRNJwqke_small.mp4
Unavailable,41.4592,86.1539,250.731,Above Sea Level,2020-11-11,19:39:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAahhgdqmo5Q.json,YA,RREEPPLLAACCEE/YA/ah/YAahhgdqmo5Q.mp4,RREEPPLLAACCEE/YA/ah/YAahhgdqmo5Q_small.mp4
Unavailable,32.3471,111.0327,0,Unavailable,2019-03-10,00:43:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAcC0B1jC6kX.json,YA,RREEPPLLAACCEE/YA/cC/YAcC0B1jC6kX.mp4,RREEPPLLAACCEE/YA/cC/YAcC0B1jC6kX_small.mp4
Unavailable,38.8960,77.0270,6.88,Above Sea Level,2020-12-13,06:40:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAdVqeiGtAAw.json,YA,RREEPPLLAACCEE/YA/dV/YAdVqeiGtAAw.mp4,RREEPPLLAACCEE/YA/dV/YAdVqeiGtAAw_small.mp4
Unavailable,41.7605,87.6144,185.424,Above Sea Level,2020-07-21,02:43:44,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAkBuSxKWszD.json,YA,RREEPPLLAACCEE/YA/kB/YAkBuSxKWszD.mp4,RREEPPLLAACCEE/YA/kB/YAkBuSxKWszD_small.mp4
Unavailable,51.9109,.1949,94.933,Above Sea Level,2020-06-23,16:23:03,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAoMMNCgcGrq.json,YA,RREEPPLLAACCEE/YA/oM/YAoMMNCgcGrq.mp4,RREEPPLLAACCEE/YA/oM/YAoMMNCgcGrq_small.mp4
Unavailable,31.3224,89.3678,72.083,Above Sea Level,2020-10-01,23:30:05,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YApr1Wo3xhyg.json,YA,RREEPPLLAACCEE/YA/pr/YApr1Wo3xhyg.mp4,RREEPPLLAACCEE/YA/pr/YApr1Wo3xhyg_small.mp4
Unavailable,38.8994,94.7036,315.833,Above Sea Level,2020-11-27,00:58:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAr891lSD1kV.json,YA,RREEPPLLAACCEE/YA/r8/YAr891lSD1kV.mp4,RREEPPLLAACCEE/YA/r8/YAr891lSD1kV_small.mp4
Unavailable,39.5409,119.6977,1360.292,Above Sea Level,2020-10-19,18:18:25,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YAtaBHyp18sd.json,YA,RREEPPLLAACCEE/YA/ta/YAtaBHyp18sd.mp4,RREEPPLLAACCEE/YA/ta/YAtaBHyp18sd_small.mp4
Unavailable,40.1187,75.0377,66.82,Above Sea Level,2020-07-22,23:34:32,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ya2fA5UiFA8C.json,Ya,RREEPPLLAACCEE/Ya/2f/Ya2fA5UiFA8C.mp4,RREEPPLLAACCEE/Ya/2f/Ya2fA5UiFA8C_small.mp4
Unavailable,40.4116,111.8910,1380.033,Above Sea Level,2020-12-06,04:59:55,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ya4D4KMIDxtS.json,Ya,RREEPPLLAACCEE/Ya/4D/Ya4D4KMIDxtS.mp4,RREEPPLLAACCEE/Ya/4D/Ya4D4KMIDxtS_small.mp4
Unavailable,45.2535,93.4820,267.794,Above Sea Level,2020-08-05,22:25:18,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ya9D1K12o661.json,Ya,RREEPPLLAACCEE/Ya/9D/Ya9D1K12o661.mp4,RREEPPLLAACCEE/Ya/9D/Ya9D1K12o661_small.mp4
Unavailable,40.6029,74.3149,35.386,Above Sea Level,2020-11-18,21:14:52,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaGjv9kVkUnB.json,Ya,RREEPPLLAACCEE/Ya/Gj/YaGjv9kVkUnB.mp4,RREEPPLLAACCEE/Ya/Gj/YaGjv9kVkUnB_small.mp4
Unavailable,35.2034,81.1619,255.834,Above Sea Level,2020-10-21,15:00:50,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaIXaPGt3tq4.json,Ya,RREEPPLLAACCEE/Ya/IX/YaIXaPGt3tq4.mp4,RREEPPLLAACCEE/Ya/IX/YaIXaPGt3tq4_small.mp4
Unavailable,42.2456,70.9882,11.335,Above Sea Level,2020-07-28,17:49:17,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaRZjy1pXARS.json,Ya,RREEPPLLAACCEE/Ya/RZ/YaRZjy1pXARS.mp4,RREEPPLLAACCEE/Ya/RZ/YaRZjy1pXARS_small.mp4
Unavailable,32.7215,97.3475,195.912,Above Sea Level,2019-10-31,02:10:58,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaSSdJhhgJCC.json,Ya,RREEPPLLAACCEE/Ya/SS/YaSSdJhhgJCC.mp4,RREEPPLLAACCEE/Ya/SS/YaSSdJhhgJCC_small.mp4
Unavailable,37.9312,145.0325,62.175,Above Sea Level,2020-09-22,07:55:29,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Yac2CvO8nRPO.json,Ya,RREEPPLLAACCEE/Ya/c2/Yac2CvO8nRPO.mp4,RREEPPLLAACCEE/Ya/c2/Yac2CvO8nRPO_small.mp4
Unavailable,29.7509,95.3635,63.962,Above Sea Level,2020-10-25,19:37:17,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YadrByqol1kN.json,Ya,RREEPPLLAACCEE/Ya/dr/YadrByqol1kN.mp4,RREEPPLLAACCEE/Ya/dr/YadrByqol1kN_small.mp4
Unavailable,37.0330,122.0279,197.179,Above Sea Level,2021-01-06,19:18:15,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Yafv9Apl3WcN.json,Ya,RREEPPLLAACCEE/Ya/fv/Yafv9Apl3WcN.mp4,RREEPPLLAACCEE/Ya/fv/Yafv9Apl3WcN_small.mp4
Unavailable,36.4120,81.4302,0,Unavailable,2020-09-12,11:52:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaiCasLiUwg2.json,Ya,RREEPPLLAACCEE/Ya/iC/YaiCasLiUwg2.mp4,RREEPPLLAACCEE/Ya/iC/YaiCasLiUwg2_small.mp4
Unavailable,42.3458,123.2946,369.513,Above Sea Level,2020-11-03,03:53:32,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YakIE9o7IAYK.json,Ya,RREEPPLLAACCEE/Ya/kI/YakIE9o7IAYK.mp4,RREEPPLLAACCEE/Ya/kI/YakIE9o7IAYK_small.mp4
Unavailable,42.5506,93.0488,332.223,Above Sea Level,2020-07-04,03:39:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YakJkApUVKKI.json,Ya,RREEPPLLAACCEE/Ya/kJ/YakJkApUVKKI.mp4,RREEPPLLAACCEE/Ya/kJ/YakJkApUVKKI_small.mp4
Unavailable,42.0129,71.5940,0,Unavailable,2020-11-29,15:49:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Yaq4p4JuQ1IA.json,Ya,RREEPPLLAACCEE/Ya/q4/Yaq4p4JuQ1IA.mp4,RREEPPLLAACCEE/Ya/q4/Yaq4p4JuQ1IA_small.mp4
Unavailable,45.4215,122.3022,217.87,Above Sea Level,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YaqyYupjV0xb.json,Ya,RREEPPLLAACCEE/Ya/qy/YaqyYupjV0xb.mp4,RREEPPLLAACCEE/Ya/qy/YaqyYupjV0xb_small.mp4
Unavailable,30.0870,94.1436,1.48,Above Sea Level,2020-05-27,22:44:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YasiRENDylKe.json,Ya,RREEPPLLAACCEE/Ya/si/YasiRENDylKe.mp4,RREEPPLLAACCEE/Ya/si/YasiRENDylKe_small.mp4
Unavailable,33.8139,117.5452,390.929,Above Sea Level,2020-11-09,11:05:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yA1Ovn3ToH7h.json,yA,RREEPPLLAACCEE/yA/1O/yA1Ovn3ToH7h.mp4,RREEPPLLAACCEE/yA/1O/yA1Ovn3ToH7h_small.mp4
Unavailable,39.7687,86.1620,216.307,Above Sea Level,2020-12-19,18:29:38,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAAWoAx44SbU.json,yA,RREEPPLLAACCEE/yA/AW/yAAWoAx44SbU.mp4,RREEPPLLAACCEE/yA/AW/yAAWoAx44SbU_small.mp4
Unavailable,37.1232,93.4409,384.846,Above Sea Level,2020-09-19,23:29:40,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAAdSwlku5pl.json,yA,RREEPPLLAACCEE/yA/Ad/yAAdSwlku5pl.mp4,RREEPPLLAACCEE/yA/Ad/yAAdSwlku5pl_small.mp4
Unavailable,40.7485,73.1679,11.274,Above Sea Level,2020-07-21,00:09:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yADP6mR6ysnP.json,yA,RREEPPLLAACCEE/yA/DP/yADP6mR6ysnP.mp4,RREEPPLLAACCEE/yA/DP/yADP6mR6ysnP_small.mp4
Unavailable,34.1425,117.9055,192.747,Above Sea Level,2020-08-02,19:13:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAHNw96opohD.json,yA,RREEPPLLAACCEE/yA/HN/yAHNw96opohD.mp4,RREEPPLLAACCEE/yA/HN/yAHNw96opohD_small.mp4
Unavailable,32.9229,96.5262,176.122,Above Sea Level,2020-12-10,20:49:30,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yARVXAoZ7VMq.json,yA,RREEPPLLAACCEE/yA/RV/yARVXAoZ7VMq.mp4,RREEPPLLAACCEE/yA/RV/yARVXAoZ7VMq_small.mp4
Unavailable,29.2190,81.0516,0,Unavailable,2020-12-30,02:37:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yATIMF3nuU5s.json,yA,RREEPPLLAACCEE/yA/TI/yATIMF3nuU5s.mp4,RREEPPLLAACCEE/yA/TI/yATIMF3nuU5s_small.mp4
Unavailable,40.6828,73.9967,16.884,Above Sea Level,2020-12-13,21:37:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAXEtL1Ja7yz.json,yA,RREEPPLLAACCEE/yA/XE/yAXEtL1Ja7yz.mp4,RREEPPLLAACCEE/yA/XE/yAXEtL1Ja7yz_small.mp4
Unavailable,34.4831,83.9829,410.47,Above Sea Level,2020-06-21,10:49:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAcfLMMtWzER.json,yA,RREEPPLLAACCEE/yA/cf/yAcfLMMtWzER.mp4,RREEPPLLAACCEE/yA/cf/yAcfLMMtWzER_small.mp4
Unavailable,25.3482,49.2981,0,Unavailable,2020-07-12,20:31:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAhrJ9cfXA3W.json,yA,RREEPPLLAACCEE/yA/hr/yAhrJ9cfXA3W.mp4,RREEPPLLAACCEE/yA/hr/yAhrJ9cfXA3W_small.mp4
Unavailable,28.7968,81.3161,15.269,Above Sea Level,2020-02-03,02:30:04,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAieAOZnrlVJ.json,yA,RREEPPLLAACCEE/yA/ie/yAieAOZnrlVJ.mp4,RREEPPLLAACCEE/yA/ie/yAieAOZnrlVJ_small.mp4
Unavailable,33.9122,117.4613,227.585,Above Sea Level,2020-09-21,00:45:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-yAniUyDdvzR7.json,yA,RREEPPLLAACCEE/yA/ni/yAniUyDdvzR7.mp4,RREEPPLLAACCEE/yA/ni/yAniUyDdvzR7_small.mp4
