Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
NEW,0,0,0,Unavailable,2020-12-14,11:25:33,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-METdaNvRvlYQ.json,ME,RREEPPLLAACCEE/ME/Td/METdaNvRvlYQ.mp4,RREEPPLLAACCEE/ME/Td/METdaNvRvlYQ_small.mp4
Johnson,0,0,0,Unavailable,2020-12-16,11:47:10,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-Me0BBiwS2mvW.json,Me,RREEPPLLAACCEE/Me/0B/Me0BBiwS2mvW.mp4,RREEPPLLAACCEE/Me/0B/Me0BBiwS2mvW_small.mp4
prudy,0,0,0,Unavailable,2020-10-30,17:23:15,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-Me791g8PNrDR.json,Me,RREEPPLLAACCEE/Me/79/Me791g8PNrDR.mp4,RREEPPLLAACCEE/Me/79/Me791g8PNrDR_small.mp4
Public,0,0,0,Unavailable,2020-12-18,15:18:10,Unavailable,Unavailable,Unavailable,Unavailable,zsr9c,zsr9c,zsr9c,meta-MeYbENz7RxcN.json,Me,RREEPPLLAACCEE/Me/Yb/MeYbENz7RxcN.mp4,RREEPPLLAACCEE/Me/Yb/MeYbENz7RxcN_small.mp4
admin,0,0,0,Unavailable,2020-03-31,18:46:15,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-MeZzOulIIKTK.json,Me,RREEPPLLAACCEE/Me/Zz/MeZzOulIIKTK.mp4,RREEPPLLAACCEE/Me/Zz/MeZzOulIIKTK_small.mp4
RFC Media,0,0,0,Unavailable,2019-10-09,18:15:12,Unavailable,Unavailable,Unavailable,Unavailable,RFC Media,RFC Media,RFC Media,meta-mez35YPzsUtm.json,me,RREEPPLLAACCEE/me/z3/mez35YPzsUtm.mp4,RREEPPLLAACCEE/me/z3/mez35YPzsUtm_small.mp4
Unavailable,40.7648,73.9594,17.739,Above Sea Level,2020-11-13,03:06:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ME4omTRenBJl.json,ME,RREEPPLLAACCEE/ME/4o/ME4omTRenBJl.mp4,RREEPPLLAACCEE/ME/4o/ME4omTRenBJl_small.mp4
Unavailable,40.7923,96.6236,395.16,Above Sea Level,2020-08-06,15:58:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ME9IoxuIbwAR.json,ME,RREEPPLLAACCEE/ME/9I/ME9IoxuIbwAR.mp4,RREEPPLLAACCEE/ME/9I/ME9IoxuIbwAR_small.mp4
Unavailable,40.3198,79.9068,284.121,Above Sea Level,2020-10-09,18:38:38,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MEB1YCqG6LE0.json,ME,RREEPPLLAACCEE/ME/B1/MEB1YCqG6LE0.mp4,RREEPPLLAACCEE/ME/B1/MEB1YCqG6LE0_small.mp4
Unavailable,28.8268,82.2784,16.498,Above Sea Level,2020-11-30,17:27:56,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MECSTGtIWnyN.json,ME,RREEPPLLAACCEE/ME/CS/MECSTGtIWnyN.mp4,RREEPPLLAACCEE/ME/CS/MECSTGtIWnyN_small.mp4
Unavailable,40.0637,105.0432,1550.145,Above Sea Level,2021-01-08,06:34:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MEKeMVknQgu4.json,ME,RREEPPLLAACCEE/ME/Ke/MEKeMVknQgu4.mp4,RREEPPLLAACCEE/ME/Ke/MEKeMVknQgu4_small.mp4
Unavailable,42.0509,88.0457,227.769,Above Sea Level,2020-11-22,20:21:27,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MEM1X2iXBTdR.json,ME,RREEPPLLAACCEE/ME/M1/MEM1X2iXBTdR.mp4,RREEPPLLAACCEE/ME/M1/MEM1X2iXBTdR_small.mp4
