Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jer,0,0,0,Unavailable,2020-12-24,15:25:16,Unavailable,Unavailable,Unavailable,Unavailable,jer,jer,jer,meta-LYOCnGgsMws7.json,LY,RREEPPLLAACCEE/LY/OC/LYOCnGgsMws7.mp4,RREEPPLLAACCEE/LY/OC/LYOCnGgsMws7_small.mp4
nagrelli_kv,0,0,0,Unavailable,2020-05-29,19:04:17,Unavailable,Unavailable,Unavailable,Unavailable,nagrelli_kv,nagrelli_kv,nagrelli_kv,meta-LYgdlJnFFTJW.json,LY,RREEPPLLAACCEE/LY/gd/LYgdlJnFFTJW.mp4,RREEPPLLAACCEE/LY/gd/LYgdlJnFFTJW_small.mp4
macbook,0,0,0,Unavailable,2020-08-20,12:11:05,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-lYQ1ipv89B9G.json,lY,RREEPPLLAACCEE/lY/Q1/lYQ1ipv89B9G.mp4,RREEPPLLAACCEE/lY/Q1/lYQ1ipv89B9G_small.mp4
paulg,0,0,0,Unavailable,2020-12-13,00:40:34,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-lyCi3fSB5tjP.json,ly,RREEPPLLAACCEE/ly/Ci/lyCi3fSB5tjP.mp4,RREEPPLLAACCEE/ly/Ci/lyCi3fSB5tjP_small.mp4
David Jorgensen,0,0,0,Unavailable,2018-02-02,01:38:43,PENTAX,,Unavailable,Unavailable,David Jorgensen,David Jorgensen,David Jorgensen,meta-lyaK3VIdevCR.json,ly,RREEPPLLAACCEE/ly/aK/lyaK3VIdevCR.mp4,RREEPPLLAACCEE/ly/aK/lyaK3VIdevCR_small.mp4
speed,0,0,0,Unavailable,2020-10-01,23:57:43,Unavailable,Unavailable,Unavailable,Unavailable,speed,speed,speed,meta-lynaUTaOt3pV.json,ly,RREEPPLLAACCEE/ly/na/lynaUTaOt3pV.mp4,RREEPPLLAACCEE/ly/na/lynaUTaOt3pV_small.mp4
Unavailable,38.8786,77.0181,10.394,Above Sea Level,2020-11-24,19:51:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LY04YlwJ3JQ1.json,LY,RREEPPLLAACCEE/LY/04/LY04YlwJ3JQ1.mp4,RREEPPLLAACCEE/LY/04/LY04YlwJ3JQ1_small.mp4
Unavailable,28.1453,81.6188,43.924,Above Sea Level,2020-09-18,04:09:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LY8L7B3sqwG2.json,LY,RREEPPLLAACCEE/LY/8L/LY8L7B3sqwG2.mp4,RREEPPLLAACCEE/LY/8L/LY8L7B3sqwG2_small.mp4
Unavailable,35.6338,78.4158,62.415,Above Sea Level,2020-12-12,22:24:25,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LYFlDk0ROVv1.json,LY,RREEPPLLAACCEE/LY/Fl/LYFlDk0ROVv1.mp4,RREEPPLLAACCEE/LY/Fl/LYFlDk0ROVv1_small.mp4
Unavailable,33.4523,111.7273,419.026,Above Sea Level,2020-10-11,03:58:51,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LYGrSdQh3mjo.json,LY,RREEPPLLAACCEE/LY/Gr/LYGrSdQh3mjo.mp4,RREEPPLLAACCEE/LY/Gr/LYGrSdQh3mjo_small.mp4
Unavailable,40.0250,74.1539,0,Unavailable,2020-12-24,01:00:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LYN3KBubuoAs.json,LY,RREEPPLLAACCEE/LY/N3/LYN3KBubuoAs.mp4,RREEPPLLAACCEE/LY/N3/LYN3KBubuoAs_small.mp4
