Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Burburinho News,0,0,0,Unavailable,2020-06-15,22:32:22,Unavailable,Unavailable,Unavailable,Unavailable,Burburinho News,Burburinho News,Burburinho News,meta-LAFTbkkcDpCZ.json,LA,RREEPPLLAACCEE/LA/FT/LAFTbkkcDpCZ.mp4,RREEPPLLAACCEE/LA/FT/LAFTbkkcDpCZ_small.mp4
Johnson,0,0,0,Unavailable,2020-11-29,22:13:47,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-LAvFJDJyQwUW.json,LA,RREEPPLLAACCEE/LA/vF/LAvFJDJyQwUW.mp4,RREEPPLLAACCEE/LA/vF/LAvFJDJyQwUW_small.mp4
marianitote,0,0,0,Unavailable,2020-08-12,19:34:55,NIKON CORPORATION,,Unavailable,Unavailable,marianitote,marianitote,marianitote,meta-LaLI7nJnBSKz.json,La,RREEPPLLAACCEE/La/LI/LaLI7nJnBSKz.mp4,RREEPPLLAACCEE/La/LI/LaLI7nJnBSKz_small.mp4
JONAS,0,0,0,Unavailable,2020-07-09,18:24:15,Unavailable,Unavailable,Unavailable,Unavailable,Master Lg,Master Lg,Master Lg,meta-lAxBTIPJkJoK.json,lA,RREEPPLLAACCEE/lA/xB/lAxBTIPJkJoK.mp4,RREEPPLLAACCEE/lA/xB/lAxBTIPJkJoK_small.mp4
Johnson,0,0,0,Unavailable,2020-11-12,00:46:08,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-la0LvriCspuZ.json,la,RREEPPLLAACCEE/la/0L/la0LvriCspuZ.mp4,RREEPPLLAACCEE/la/0L/la0LvriCspuZ_small.mp4
steffenwagener,0,0,0,Unavailable,2020-12-21,16:29:26,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-lavLqFMvRneQ.json,la,RREEPPLLAACCEE/la/vL/lavLqFMvRneQ.mp4,RREEPPLLAACCEE/la/vL/lavLqFMvRneQ_small.mp4
Unavailable,40.0511,77.5269,201.21,Above Sea Level,2020-11-12,22:25:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LA5aOOBoDBWC.json,LA,RREEPPLLAACCEE/LA/5a/LA5aOOBoDBWC.mp4,RREEPPLLAACCEE/LA/5a/LA5aOOBoDBWC_small.mp4
Unavailable,45.3176,93.5545,0,Unavailable,2020-11-27,01:39:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LA9O0rb0uaii.json,LA,RREEPPLLAACCEE/LA/9O/LA9O0rb0uaii.mp4,RREEPPLLAACCEE/LA/9O/LA9O0rb0uaii_small.mp4
Unavailable,59.3345,16.3185,38.015,Above Sea Level,2020-07-22,18:26:41,Apple,iPad mini 4,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LA9iVD1ML1Mc.json,LA,RREEPPLLAACCEE/LA/9i/LA9iVD1ML1Mc.mp4,RREEPPLLAACCEE/LA/9i/LA9iVD1ML1Mc_small.mp4
Unavailable,51.5081,.1330,0,Unavailable,2019-07-06,17:25:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LAAnPFSjBhSk.json,LA,RREEPPLLAACCEE/LA/An/LAAnPFSjBhSk.mp4,RREEPPLLAACCEE/LA/An/LAAnPFSjBhSk_small.mp4
