Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
trick,0,0,0,Unavailable,2020-05-11,17:25:18,Unavailable,Unavailable,Unavailable,Unavailable,trick,trick,trick,meta-QOj9AUMmmllr.json,QO,RREEPPLLAACCEE/QO/j9/QOj9AUMmmllr.mp4,RREEPPLLAACCEE/QO/j9/QOj9AUMmmllr_small.mp4
akirathedon,0,0,0,Unavailable,2020-10-30,14:39:57,Unavailable,Unavailable,Unavailable,Unavailable,akirathedon,akirathedon,akirathedon,meta-QOvLZOO1RieM.json,QO,RREEPPLLAACCEE/QO/vL/QOvLZOO1RieM.mp4,RREEPPLLAACCEE/QO/vL/QOvLZOO1RieM_small.mp4
liamnahill,0,0,0,Unavailable,2020-12-26,17:04:17,Unavailable,Unavailable,Unavailable,Unavailable,liamnahill,liamnahill,liamnahill,meta-qoNGUou6vy3z.json,qo,RREEPPLLAACCEE/qo/NG/qoNGUou6vy3z.mp4,RREEPPLLAACCEE/qo/NG/qoNGUou6vy3z_small.mp4
Unavailable,35.0685,106.7260,1551.057,Above Sea Level,2020-11-20,15:14:48,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QO35BHAnHP6t.json,QO,RREEPPLLAACCEE/QO/35/QO35BHAnHP6t.mp4,RREEPPLLAACCEE/QO/35/QO35BHAnHP6t_small.mp4
Unavailable,39.9922,86.2545,277.804,Above Sea Level,2020-07-20,01:41:53,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QO7j7u6y6DGt.json,QO,RREEPPLLAACCEE/QO/7j/QO7j7u6y6DGt.mp4,RREEPPLLAACCEE/QO/7j/QO7j7u6y6DGt_small.mp4
Unavailable,38.8903,77.0061,27.107,Above Sea Level,2020-11-14,17:58:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QO9YX20rTzj4.json,QO,RREEPPLLAACCEE/QO/9Y/QO9YX20rTzj4.mp4,RREEPPLLAACCEE/QO/9Y/QO9YX20rTzj4_small.mp4
Unavailable,45.6413,73.7712,0,Unavailable,2020-07-01,15:52:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOABsviiCXMi.json,QO,RREEPPLLAACCEE/QO/AB/QOABsviiCXMi.mp4,RREEPPLLAACCEE/QO/AB/QOABsviiCXMi_small.mp4
Unavailable,40.7054,74.0081,7.53,Above Sea Level,2020-05-29,01:52:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QODSxqpqyUdX.json,QO,RREEPPLLAACCEE/QO/DS/QODSxqpqyUdX.mp4,RREEPPLLAACCEE/QO/DS/QODSxqpqyUdX_small.mp4
Unavailable,34.0723,118.4027,82.196,Above Sea Level,2020-11-08,00:01:51,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QODlwljW3f9b.json,QO,RREEPPLLAACCEE/QO/Dl/QODlwljW3f9b.mp4,RREEPPLLAACCEE/QO/Dl/QODlwljW3f9b_small.mp4
Unavailable,55.8692,9.8836,0,Unavailable,2020-07-22,17:29:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOEFxjfwTYJ8.json,QO,RREEPPLLAACCEE/QO/EF/QOEFxjfwTYJ8.mp4,RREEPPLLAACCEE/QO/EF/QOEFxjfwTYJ8_small.mp4
Unavailable,33.3332,105.6852,2078.884,Above Sea Level,2020-11-14,17:26:22,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOEvZPOEZpd0.json,QO,RREEPPLLAACCEE/QO/Ev/QOEvZPOEZpd0.mp4,RREEPPLLAACCEE/QO/Ev/QOEvZPOEZpd0_small.mp4
Unavailable,41.0125,74.1130,80.562,Above Sea Level,2020-12-05,18:56:20,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOF4iQZ22nhs.json,QO,RREEPPLLAACCEE/QO/F4/QOF4iQZ22nhs.mp4,RREEPPLLAACCEE/QO/F4/QOF4iQZ22nhs_small.mp4
Unavailable,29.7325,99.0949,389.686,Above Sea Level,2020-11-11,20:30:00,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOHByG57y0GQ.json,QO,RREEPPLLAACCEE/QO/HB/QOHByG57y0GQ.mp4,RREEPPLLAACCEE/QO/HB/QOHByG57y0GQ_small.mp4
Unavailable,35.4247,78.0969,43.914,Above Sea Level,2020-10-22,12:50:22,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOLO7v1GcJA4.json,QO,RREEPPLLAACCEE/QO/LO/QOLO7v1GcJA4.mp4,RREEPPLLAACCEE/QO/LO/QOLO7v1GcJA4_small.mp4
Unavailable,38.7240,90.2941,177.015,Above Sea Level,2020-11-08,15:50:58,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOUeReKoa2yS.json,QO,RREEPPLLAACCEE/QO/Ue/QOUeReKoa2yS.mp4,RREEPPLLAACCEE/QO/Ue/QOUeReKoa2yS_small.mp4
Unavailable,38.9848,76.3553,2.142,Above Sea Level,2020-11-08,20:30:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOX32Qgq6jGp.json,QO,RREEPPLLAACCEE/QO/X3/QOX32Qgq6jGp.mp4,RREEPPLLAACCEE/QO/X3/QOX32Qgq6jGp_small.mp4
Unavailable,48.7309,122.5032,2.897,Above Sea Level,2020-12-01,22:33:25,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOcelEmsP9rT.json,QO,RREEPPLLAACCEE/QO/ce/QOcelEmsP9rT.mp4,RREEPPLLAACCEE/QO/ce/QOcelEmsP9rT_small.mp4
Unavailable,27.9289,82.7949,20.144,Above Sea Level,2020-12-02,15:49:52,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOgQUZLnDswP.json,QO,RREEPPLLAACCEE/QO/gQ/QOgQUZLnDswP.mp4,RREEPPLLAACCEE/QO/gQ/QOgQUZLnDswP_small.mp4
Unavailable,37.7608,121.0011,0,Unavailable,2020-12-08,19:00:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOhr8vTD3jY5.json,QO,RREEPPLLAACCEE/QO/hr/QOhr8vTD3jY5.mp4,RREEPPLLAACCEE/QO/hr/QOhr8vTD3jY5_small.mp4
Unavailable,36.7016,119.7272,86,Above Sea Level,2018-02-22,09:46:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOkZ30eTO9R3.json,QO,RREEPPLLAACCEE/QO/kZ/QOkZ30eTO9R3.mp4,RREEPPLLAACCEE/QO/kZ/QOkZ30eTO9R3_small.mp4
Unavailable,34.1628,118.8406,298.121,Above Sea Level,2021-01-04,21:26:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOmJIdQWN4LK.json,QO,RREEPPLLAACCEE/QO/mJ/QOmJIdQWN4LK.mp4,RREEPPLLAACCEE/QO/mJ/QOmJIdQWN4LK_small.mp4
Unavailable,46.7163,92.1058,0,Unavailable,2020-08-21,18:02:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QOn8j273XRyR.json,QO,RREEPPLLAACCEE/QO/n8/QOn8j273XRyR.mp4,RREEPPLLAACCEE/QO/n8/QOn8j273XRyR_small.mp4
