Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
marks,0,0,0,Unavailable,2020-11-07,01:57:26,Unavailable,Unavailable,Unavailable,Unavailable,markstout,marks,markstout,meta-6WCNKFvzeWkR.json,6W,RREEPPLLAACCEE/6W/CN/6WCNKFvzeWkR.mp4,RREEPPLLAACCEE/6W/CN/6WCNKFvzeWkR_small.mp4
NEW,0,0,0,Unavailable,2020-12-08,22:01:21,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-6WK0HCjqXUVl.json,6W,RREEPPLLAACCEE/6W/K0/6WK0HCjqXUVl.mp4,RREEPPLLAACCEE/6W/K0/6WK0HCjqXUVl_small.mp4
emilyjiao,0,0,0,Unavailable,2020-07-24,22:59:46,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-6WUNI5UgD5NP.json,6W,RREEPPLLAACCEE/6W/UN/6WUNI5UgD5NP.mp4,RREEPPLLAACCEE/6W/UN/6WUNI5UgD5NP_small.mp4
vatan,0,0,0,Unavailable,2020-08-06,04:14:38,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-6wfrRyeUg65Q.json,6w,RREEPPLLAACCEE/6w/fr/6wfrRyeUg65Q.mp4,RREEPPLLAACCEE/6w/fr/6wfrRyeUg65Q_small.mp4
Rumen,0,0,0,Unavailable,2020-09-01,21:14:31,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-6wuRxzwsyjMz.json,6w,RREEPPLLAACCEE/6w/uR/6wuRxzwsyjMz.mp4,RREEPPLLAACCEE/6w/uR/6wuRxzwsyjMz_small.mp4
Unavailable,34.5959,120.1519,144.091,Above Sea Level,2020-11-17,02:00:26,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6W5vol2STQwj.json,6W,RREEPPLLAACCEE/6W/5v/6W5vol2STQwj.mp4,RREEPPLLAACCEE/6W/5v/6W5vol2STQwj_small.mp4
Unavailable,38.5142,90.4348,137.183,Above Sea Level,2020-10-24,15:21:07,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6W9rnmrCo3Gu.json,6W,RREEPPLLAACCEE/6W/9r/6W9rnmrCo3Gu.mp4,RREEPPLLAACCEE/6W/9r/6W9rnmrCo3Gu_small.mp4
Unavailable,25.7636,80.1297,1.665,Above Sea Level,2020-10-15,12:30:51,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WBnbCShiB8N.json,6W,RREEPPLLAACCEE/6W/Bn/6WBnbCShiB8N.mp4,RREEPPLLAACCEE/6W/Bn/6WBnbCShiB8N_small.mp4
Unavailable,41.5283,86.8265,238.241,Above Sea Level,2020-11-26,13:41:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WLIF49mwMS5.json,6W,RREEPPLLAACCEE/6W/LI/6WLIF49mwMS5.mp4,RREEPPLLAACCEE/6W/LI/6WLIF49mwMS5_small.mp4
Unavailable,43.2861,76.8963,0,Unavailable,2020-12-12,17:07:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WLfnlfMgj4s.json,6W,RREEPPLLAACCEE/6W/Lf/6WLfnlfMgj4s.mp4,RREEPPLLAACCEE/6W/Lf/6WLfnlfMgj4s_small.mp4
Unavailable,33.9832,84.2535,283.105,Above Sea Level,2020-12-06,19:06:50,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WPahIEHK9LG.json,6W,RREEPPLLAACCEE/6W/Pa/6WPahIEHK9LG.mp4,RREEPPLLAACCEE/6W/Pa/6WPahIEHK9LG_small.mp4
Unavailable,33.9156,84.3550,290.247,Above Sea Level,2020-03-08,01:36:35,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WRVNXm6AaUe.json,6W,RREEPPLLAACCEE/6W/RV/6WRVNXm6AaUe.mp4,RREEPPLLAACCEE/6W/RV/6WRVNXm6AaUe_small.mp4
Unavailable,42.9240,76.5857,194.18,Above Sea Level,2020-11-18,12:32:47,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WTOPEYgWkMt.json,6W,RREEPPLLAACCEE/6W/TO/6WTOPEYgWkMt.mp4,RREEPPLLAACCEE/6W/TO/6WTOPEYgWkMt_small.mp4
Unavailable,37.3169,120.4718,54.124,Above Sea Level,2020-11-03,21:00:46,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WaUcmpI0Mvs.json,6W,RREEPPLLAACCEE/6W/aU/6WaUcmpI0Mvs.mp4,RREEPPLLAACCEE/6W/aU/6WaUcmpI0Mvs_small.mp4
Unavailable,30.2219,81.8801,25.743,Above Sea Level,2020-09-24,23:04:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WfIjAxjvlep.json,6W,RREEPPLLAACCEE/6W/fI/6WfIjAxjvlep.mp4,RREEPPLLAACCEE/6W/fI/6WfIjAxjvlep_small.mp4
Unavailable,40.0609,105.2114,1584.366,Above Sea Level,2020-11-09,18:50:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WkSoYMnUGK9.json,6W,RREEPPLLAACCEE/6W/kS/6WkSoYMnUGK9.mp4,RREEPPLLAACCEE/6W/kS/6WkSoYMnUGK9_small.mp4
Unavailable,32.7790,96.8020,138.413,Above Sea Level,2020-11-14,21:02:51,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WomdrWHnJxc.json,6W,RREEPPLLAACCEE/6W/om/6WomdrWHnJxc.mp4,RREEPPLLAACCEE/6W/om/6WomdrWHnJxc_small.mp4
Unavailable,26.4365,80.0789,4.596,Above Sea Level,2020-11-12,00:53:02,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WqpSzQalI8k.json,6W,RREEPPLLAACCEE/6W/qp/6WqpSzQalI8k.mp4,RREEPPLLAACCEE/6W/qp/6WqpSzQalI8k_small.mp4
Unavailable,34.7559,92.3924,111.868,Above Sea Level,2020-11-16,16:13:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6WrRAWonSXhq.json,6W,RREEPPLLAACCEE/6W/rR/6WrRAWonSXhq.mp4,RREEPPLLAACCEE/6W/rR/6WrRAWonSXhq_small.mp4
Unavailable,40.8992,72.7258,0,Unavailable,2020-11-14,19:21:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6w4M13DM2AL1.json,6w,RREEPPLLAACCEE/6w/4M/6w4M13DM2AL1.mp4,RREEPPLLAACCEE/6w/4M/6w4M13DM2AL1_small.mp4
Unavailable,41.2611,95.8822,299.133,Above Sea Level,2021-01-09,17:48:34,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6w5A6akomwBb.json,6w,RREEPPLLAACCEE/6w/5A/6w5A6akomwBb.mp4,RREEPPLLAACCEE/6w/5A/6w5A6akomwBb_small.mp4
Unavailable,38.9645,104.7491,0,Unavailable,2020-07-18,20:56:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6w5XmoCy2CAq.json,6w,RREEPPLLAACCEE/6w/5X/6w5XmoCy2CAq.mp4,RREEPPLLAACCEE/6w/5X/6w5XmoCy2CAq_small.mp4
Unavailable,37.7403,85.7551,253.382,Above Sea Level,2020-07-19,05:58:07,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6wCgICzrSWim.json,6w,RREEPPLLAACCEE/6w/Cg/6wCgICzrSWim.mp4,RREEPPLLAACCEE/6w/Cg/6wCgICzrSWim_small.mp4
Unavailable,51.5062,.1469,15.962,Above Sea Level,2020-11-15,21:56:34,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6wHVQYT2MxgS.json,6w,RREEPPLLAACCEE/6w/HV/6wHVQYT2MxgS.mp4,RREEPPLLAACCEE/6w/HV/6wHVQYT2MxgS_small.mp4
