Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
PREDATOR,0,0,0,Unavailable,2020-12-20,19:26:16,Unavailable,Unavailable,Unavailable,Unavailable,PREDATOR,PREDATOR,PREDATOR,meta-1AOeQwxzFcJ5.json,1A,RREEPPLLAACCEE/1A/Oe/1AOeQwxzFcJ5.mp4,RREEPPLLAACCEE/1A/Oe/1AOeQwxzFcJ5_small.mp4
automono,0,0,0,Unavailable,2020-06-14,16:58:16,Unavailable,Unavailable,Unavailable,Unavailable,mateo,mateo,mateo,meta-1apuAcSJzeTR.json,1a,RREEPPLLAACCEE/1a/pu/1apuAcSJzeTR.mp4,RREEPPLLAACCEE/1a/pu/1apuAcSJzeTR_small.mp4
Unavailable,33.0644,96.9169,168.909,Above Sea Level,2020-07-26,00:39:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1A3eF8l8jRc9.json,1A,RREEPPLLAACCEE/1A/3e/1A3eF8l8jRc9.mp4,RREEPPLLAACCEE/1A/3e/1A3eF8l8jRc9_small.mp4
Unavailable,37.1100,113.5502,903.483,Above Sea Level,2020-11-25,03:38:21,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1A9hW5YS53dp.json,1A,RREEPPLLAACCEE/1A/9h/1A9hW5YS53dp.mp4,RREEPPLLAACCEE/1A/9h/1A9hW5YS53dp_small.mp4
Unavailable,38.8304,82.1591,171.486,Above Sea Level,2020-12-23,18:23:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1ACKl9i0aKJt.json,1A,RREEPPLLAACCEE/1A/CK/1ACKl9i0aKJt.mp4,RREEPPLLAACCEE/1A/CK/1ACKl9i0aKJt_small.mp4
Unavailable,36.0506,115.0560,0,Unavailable,2020-11-26,02:34:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1ADVpA6i65iR.json,1A,RREEPPLLAACCEE/1A/DV/1ADVpA6i65iR.mp4,RREEPPLLAACCEE/1A/DV/1ADVpA6i65iR_small.mp4
Unavailable,39.0130,83.4835,287.75,Above Sea Level,2021-01-08,20:02:49,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1AJe1Yy3DyFf.json,1A,RREEPPLLAACCEE/1A/Je/1AJe1Yy3DyFf.mp4,RREEPPLLAACCEE/1A/Je/1AJe1Yy3DyFf_small.mp4
Unavailable,26.5098,82.0831,4.611,Above Sea Level,2020-12-13,19:14:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1ANuV0MKN5FG.json,1A,RREEPPLLAACCEE/1A/Nu/1ANuV0MKN5FG.mp4,RREEPPLLAACCEE/1A/Nu/1ANuV0MKN5FG_small.mp4
Unavailable,32.5861,97.1632,0,Unavailable,2020-09-30,16:57:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1AidiTsbccdn.json,1A,RREEPPLLAACCEE/1A/id/1AidiTsbccdn.mp4,RREEPPLLAACCEE/1A/id/1AidiTsbccdn_small.mp4
Unavailable,36.2996,115.2610,739.834,Above Sea Level,2020-11-11,00:35:06,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1AiwFnHTew36.json,1A,RREEPPLLAACCEE/1A/iw/1AiwFnHTew36.mp4,RREEPPLLAACCEE/1A/iw/1AiwFnHTew36_small.mp4
