Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jeanalawrence,0,0,0,Unavailable,2020-11-11,15:29:51,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-Ge2JWYiJtcsX.json,Ge,RREEPPLLAACCEE/Ge/2J/Ge2JWYiJtcsX.mp4,RREEPPLLAACCEE/Ge/2J/Ge2JWYiJtcsX_small.mp4
emilyjiao,0,0,0,Unavailable,2020-08-21,23:46:14,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-GeQVfG1YXeYL.json,Ge,RREEPPLLAACCEE/Ge/QV/GeQVfG1YXeYL.mp4,RREEPPLLAACCEE/Ge/QV/GeQVfG1YXeYL_small.mp4
alx,0,0,0,Unavailable,2020-11-16,23:08:32,Unavailable,Unavailable,Unavailable,Unavailable,alx,alx,alx,meta-getOPz1jLkEW.json,ge,RREEPPLLAACCEE/ge/tO/getOPz1jLkEW.mp4,RREEPPLLAACCEE/ge/tO/getOPz1jLkEW_small.mp4
Unavailable,39.4795,77.9481,155.578,Above Sea Level,2019-06-03,14:42:51,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GE1tL956vXvj.json,GE,RREEPPLLAACCEE/GE/1t/GE1tL956vXvj.mp4,RREEPPLLAACCEE/GE/1t/GE1tL956vXvj_small.mp4
Unavailable,29.2604,81.0524,2.259,Above Sea Level,2020-10-01,21:01:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GE375vZIKPLb.json,GE,RREEPPLLAACCEE/GE/37/GE375vZIKPLb.mp4,RREEPPLLAACCEE/GE/37/GE375vZIKPLb_small.mp4
Unavailable,29.1517,98.6294,209.376,Above Sea Level,2020-10-11,23:33:18,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GE3qkRCwLw1i.json,GE,RREEPPLLAACCEE/GE/3q/GE3qkRCwLw1i.mp4,RREEPPLLAACCEE/GE/3q/GE3qkRCwLw1i_small.mp4
Unavailable,41.6238,83.4969,0,Unavailable,2020-11-15,19:12:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GE4161jJjl7m.json,GE,RREEPPLLAACCEE/GE/41/GE4161jJjl7m.mp4,RREEPPLLAACCEE/GE/41/GE4161jJjl7m_small.mp4
Unavailable,40.1243,80.9414,329.828,Above Sea Level,2020-12-18,22:56:19,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GE4eqZhWSTRO.json,GE,RREEPPLLAACCEE/GE/4e/GE4eqZhWSTRO.mp4,RREEPPLLAACCEE/GE/4e/GE4eqZhWSTRO_small.mp4
Unavailable,28.6168,81.4491,21.458,Above Sea Level,2020-11-20,22:39:21,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GEAmI6S84GAf.json,GE,RREEPPLLAACCEE/GE/Am/GEAmI6S84GAf.mp4,RREEPPLLAACCEE/GE/Am/GEAmI6S84GAf_small.mp4
Unavailable,28.5202,81.4946,41.78,Above Sea Level,2020-06-18,14:47:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GEEmtopszOPp.json,GE,RREEPPLLAACCEE/GE/Em/GEEmtopszOPp.mp4,RREEPPLLAACCEE/GE/Em/GEEmtopszOPp_small.mp4
