Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jane,0,0,0,Unavailable,2020-08-19,19:43:07,Unavailable,Unavailable,Unavailable,Unavailable,Jane,Jane,Jane,meta-P4oH5qzHrlcI.json,P4,RREEPPLLAACCEE/P4/oH/P4oH5qzHrlcI.mp4,RREEPPLLAACCEE/P4/oH/P4oH5qzHrlcI_small.mp4
melinachan,0,0,0,Unavailable,2020-07-13,23:34:49,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-P4sDBWDUEk2R.json,P4,RREEPPLLAACCEE/P4/sD/P4sDBWDUEk2R.mp4,RREEPPLLAACCEE/P4/sD/P4sDBWDUEk2R_small.mp4
emilyjiao,0,0,0,Unavailable,2020-12-27,02:06:43,Unavailable,Unavailable,Unavailable,Unavailable,emilyjiao,emilyjiao,emilyjiao,meta-p4A3nZlxn3M1.json,p4,RREEPPLLAACCEE/p4/A3/p4A3nZlxn3M1.mp4,RREEPPLLAACCEE/p4/A3/p4A3nZlxn3M1_small.mp4
admin,0,0,0,Unavailable,2021-01-07,13:50:43,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-p4aC6eUnh1B4.json,p4,RREEPPLLAACCEE/p4/aC/p4aC6eUnh1B4.mp4,RREEPPLLAACCEE/p4/aC/p4aC6eUnh1B4_small.mp4
Unavailable,40.6650,74.0701,37.875,Above Sea Level,2019-06-15,15:51:15,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P41eRj0W7aDv.json,P4,RREEPPLLAACCEE/P4/1e/P41eRj0W7aDv.mp4,RREEPPLLAACCEE/P4/1e/P41eRj0W7aDv_small.mp4
Unavailable,26.3175,80.1488,4.304,Above Sea Level,2021-01-06,22:45:18,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P42VdO1IVLPo.json,P4,RREEPPLLAACCEE/P4/2V/P42VdO1IVLPo.mp4,RREEPPLLAACCEE/P4/2V/P42VdO1IVLPo_small.mp4
Unavailable,36.1250,86.4818,180.874,Above Sea Level,2020-11-28,18:26:57,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P42czHb4EK4Z.json,P4,RREEPPLLAACCEE/P4/2c/P42czHb4EK4Z.mp4,RREEPPLLAACCEE/P4/2c/P42czHb4EK4Z_small.mp4
Unavailable,30.2799,83.0015,0,Unavailable,2020-09-11,14:53:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P43Bhi4QQmeY.json,P4,RREEPPLLAACCEE/P4/3B/P43Bhi4QQmeY.mp4,RREEPPLLAACCEE/P4/3B/P43Bhi4QQmeY_small.mp4
Unavailable,35.8874,82.0697,803.14,Above Sea Level,2020-11-06,22:11:48,Apple,iPad Pro (10.5-inch),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P43V7M4MOb9Z.json,P4,RREEPPLLAACCEE/P4/3V/P43V7M4MOb9Z.mp4,RREEPPLLAACCEE/P4/3V/P43V7M4MOb9Z_small.mp4
Unavailable,33.9581,83.3750,0,Unavailable,2020-10-31,01:22:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P46CiVJoIcqF.json,P4,RREEPPLLAACCEE/P4/6C/P46CiVJoIcqF.mp4,RREEPPLLAACCEE/P4/6C/P46CiVJoIcqF_small.mp4
Unavailable,42.6338,70.9474,18.697,Above Sea Level,2020-11-16,22:08:17,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P47n8MsyqLoZ.json,P4,RREEPPLLAACCEE/P4/7n/P47n8MsyqLoZ.mp4,RREEPPLLAACCEE/P4/7n/P47n8MsyqLoZ_small.mp4
Unavailable,43.3960,124.2226,31.548,Above Sea Level,2020-11-15,05:55:15,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P48TzVIXenjf.json,P4,RREEPPLLAACCEE/P4/8T/P48TzVIXenjf.mp4,RREEPPLLAACCEE/P4/8T/P48TzVIXenjf_small.mp4
Unavailable,41.4183,75.6903,271.871,Above Sea Level,2020-10-09,22:07:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P498P5Np5eck.json,P4,RREEPPLLAACCEE/P4/98/P498P5Np5eck.mp4,RREEPPLLAACCEE/P4/98/P498P5Np5eck_small.mp4
Unavailable,38.5741,90.2527,144.533,Above Sea Level,2020-09-10,17:25:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4C7P6aZmpKN.json,P4,RREEPPLLAACCEE/P4/C7/P4C7P6aZmpKN.mp4,RREEPPLLAACCEE/P4/C7/P4C7P6aZmpKN_small.mp4
Unavailable,33.9122,84.4960,0,Unavailable,2020-09-25,20:38:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4D6n7UphYTb.json,P4,RREEPPLLAACCEE/P4/D6/P4D6n7UphYTb.mp4,RREEPPLLAACCEE/P4/D6/P4D6n7UphYTb_small.mp4
Unavailable,54.6069,5.5285,12.419,Above Sea Level,2020-06-28,22:11:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4FIRphYeIVT.json,P4,RREEPPLLAACCEE/P4/FI/P4FIRphYeIVT.mp4,RREEPPLLAACCEE/P4/FI/P4FIRphYeIVT_small.mp4
Unavailable,39.7244,90.4615,171.56,Above Sea Level,2020-08-21,16:22:16,Apple,iPad Air,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4Ofu1DAyHGf.json,P4,RREEPPLLAACCEE/P4/Of/P4Ofu1DAyHGf.mp4,RREEPPLLAACCEE/P4/Of/P4Ofu1DAyHGf_small.mp4
Unavailable,37.9523,78.1027,146.983,Above Sea Level,2020-07-22,16:33:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4Q899RrXyWz.json,P4,RREEPPLLAACCEE/P4/Q8/P4Q899RrXyWz.mp4,RREEPPLLAACCEE/P4/Q8/P4Q899RrXyWz_small.mp4
Unavailable,35.7332,81.6718,352.22,Above Sea Level,2020-07-20,14:26:55,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4S8mUVIeU8C.json,P4,RREEPPLLAACCEE/P4/S8/P4S8mUVIeU8C.mp4,RREEPPLLAACCEE/P4/S8/P4S8mUVIeU8C_small.mp4
Unavailable,34.4523,118.5277,435.882,Above Sea Level,2020-12-11,21:55:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4Sqa1Nn43fI.json,P4,RREEPPLLAACCEE/P4/Sq/P4Sqa1Nn43fI.mp4,RREEPPLLAACCEE/P4/Sq/P4Sqa1Nn43fI_small.mp4
Unavailable,51.5062,.1470,14.87,Above Sea Level,2020-11-12,02:44:18,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4Uq2TT0u3tF.json,P4,RREEPPLLAACCEE/P4/Uq/P4Uq2TT0u3tF.mp4,RREEPPLLAACCEE/P4/Uq/P4Uq2TT0u3tF_small.mp4
Unavailable,34.2253,118.2161,556.25,Above Sea Level,2020-11-16,14:17:40,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4Ve5DcVLf8E.json,P4,RREEPPLLAACCEE/P4/Ve/P4Ve5DcVLf8E.mp4,RREEPPLLAACCEE/P4/Ve/P4Ve5DcVLf8E_small.mp4
Unavailable,30.3816,86.4267,2.446,Above Sea Level,2020-12-21,23:08:29,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4WSQwPTj1YN.json,P4,RREEPPLLAACCEE/P4/WS/P4WSQwPTj1YN.mp4,RREEPPLLAACCEE/P4/WS/P4WSQwPTj1YN_small.mp4
Unavailable,28.5811,81.5116,41.292,Above Sea Level,2021-01-09,05:08:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4a3B6H2mV6l.json,P4,RREEPPLLAACCEE/P4/a3/P4a3B6H2mV6l.mp4,RREEPPLLAACCEE/P4/a3/P4a3B6H2mV6l_small.mp4
Unavailable,34.1413,84.5629,285.839,Above Sea Level,2020-11-27,00:28:15,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P4hSSoB8c0J6.json,P4,RREEPPLLAACCEE/P4/hS/P4hSSoB8c0J6.mp4,RREEPPLLAACCEE/P4/hS/P4hSSoB8c0J6_small.mp4
