Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
NEW,0,0,0,Unavailable,2020-12-03,12:53:47,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-BCuxIxcEgc16.json,BC,RREEPPLLAACCEE/BC/ux/BCuxIxcEgc16.mp4,RREEPPLLAACCEE/BC/ux/BCuxIxcEgc16_small.mp4
DELL,0,0,0,Unavailable,2020-07-12,19:54:49,Unavailable,Unavailable,Unavailable,Unavailable,DELL,DELL,DELL,meta-BcO4QQCEwE6i.json,Bc,RREEPPLLAACCEE/Bc/O4/BcO4QQCEwE6i.mp4,RREEPPLLAACCEE/Bc/O4/BcO4QQCEwE6i_small.mp4
seth,0,0,0,Unavailable,2021-01-04,19:28:11,Unavailable,Unavailable,Unavailable,Unavailable,seth,seth,seth,meta-BcP5TSQwIG20.json,Bc,RREEPPLLAACCEE/Bc/P5/BcP5TSQwIG20.mp4,RREEPPLLAACCEE/Bc/P5/BcP5TSQwIG20_small.mp4
HinesleyFamily,0,0,0,Unavailable,2018-02-06,23:34:59,Unavailable,Unavailable,Unavailable,Unavailable,HinesleyFamily,HinesleyFamily,HinesleyFamily,meta-Bccb1I1OrXJ6.json,Bc,RREEPPLLAACCEE/Bc/cb/Bccb1I1OrXJ6.mp4,RREEPPLLAACCEE/Bc/cb/Bccb1I1OrXJ6_small.mp4
JohnSireno,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,StephanieBaur,StephanieBaur,StephanieBaur,meta-bC9udKvQb7Rb.json,bC,RREEPPLLAACCEE/bC/9u/bC9udKvQb7Rb.mp4,RREEPPLLAACCEE/bC/9u/bC9udKvQb7Rb_small.mp4
samiraharger,0,0,0,Unavailable,2020-12-14,13:22:08,Unavailable,Unavailable,Unavailable,Unavailable,samiraharger,samiraharger,samiraharger,meta-bCcB16BvoRGH.json,bC,RREEPPLLAACCEE/bC/cB/bCcB16BvoRGH.mp4,RREEPPLLAACCEE/bC/cB/bCcB16BvoRGH_small.mp4
paulg,0,0,0,Unavailable,2020-06-30,21:53:35,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-bCjjpzEhhBlE.json,bC,RREEPPLLAACCEE/bC/jj/bCjjpzEhhBlE.mp4,RREEPPLLAACCEE/bC/jj/bCjjpzEhhBlE_small.mp4
Unavailable,53.3160,3.0942,44.536,Above Sea Level,2020-11-12,08:47:31,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BC37Ldl1TkE0.json,BC,RREEPPLLAACCEE/BC/37/BC37Ldl1TkE0.mp4,RREEPPLLAACCEE/BC/37/BC37Ldl1TkE0_small.mp4
Unavailable,39.8493,86.0847,243.178,Above Sea Level,2020-12-12,07:34:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BC76wx8H5kzX.json,BC,RREEPPLLAACCEE/BC/76/BC76wx8H5kzX.mp4,RREEPPLLAACCEE/BC/76/BC76wx8H5kzX_small.mp4
Unavailable,26.2337,80.1692,4.436,Above Sea Level,2020-11-14,19:24:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BC78VT9R1KmZ.json,BC,RREEPPLLAACCEE/BC/78/BC78VT9R1KmZ.mp4,RREEPPLLAACCEE/BC/78/BC78VT9R1KmZ_small.mp4
Unavailable,43.9676,78.3040,137.346,Above Sea Level,2020-12-01,18:06:52,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCGUrK7R2idr.json,BC,RREEPPLLAACCEE/BC/GU/BCGUrK7R2idr.mp4,RREEPPLLAACCEE/BC/GU/BCGUrK7R2idr_small.mp4
Unavailable,38.8959,77.0309,6.234,Above Sea Level,2020-11-14,16:02:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCIHJmtX6dUy.json,BC,RREEPPLLAACCEE/BC/IH/BCIHJmtX6dUy.mp4,RREEPPLLAACCEE/BC/IH/BCIHJmtX6dUy_small.mp4
Unavailable,40.6373,74.0280,22.579,Above Sea Level,2020-11-20,02:34:13,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCQCAJCVr3iJ.json,BC,RREEPPLLAACCEE/BC/QC/BCQCAJCVr3iJ.mp4,RREEPPLLAACCEE/BC/QC/BCQCAJCVr3iJ_small.mp4
Unavailable,51.5062,.1469,15.962,Above Sea Level,2020-11-15,21:56:34,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCQHYIXwsouW.json,BC,RREEPPLLAACCEE/BC/QH/BCQHYIXwsouW.mp4,RREEPPLLAACCEE/BC/QH/BCQHYIXwsouW_small.mp4
Unavailable,38.8958,77.0312,6.185,Above Sea Level,2020-12-12,16:52:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCUFZsHlGR6l.json,BC,RREEPPLLAACCEE/BC/UF/BCUFZsHlGR6l.mp4,RREEPPLLAACCEE/BC/UF/BCUFZsHlGR6l_small.mp4
Unavailable,30.0961,95.6248,0,Unavailable,2020-11-09,21:17:23,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCX8FQnIqPP8.json,BC,RREEPPLLAACCEE/BC/X8/BCX8FQnIqPP8.mp4,RREEPPLLAACCEE/BC/X8/BCX8FQnIqPP8_small.mp4
Unavailable,43.9727,123.0663,277.412,Above Sea Level,2020-11-20,03:56:53,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCfD63Grlo97.json,BC,RREEPPLLAACCEE/BC/fD/BCfD63Grlo97.mp4,RREEPPLLAACCEE/BC/fD/BCfD63Grlo97_small.mp4
Unavailable,39.0900,108.5870,1392.091,Above Sea Level,2020-11-20,14:41:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCh0TzSzE3Zf.json,BC,RREEPPLLAACCEE/BC/h0/BCh0TzSzE3Zf.mp4,RREEPPLLAACCEE/BC/h0/BCh0TzSzE3Zf_small.mp4
Unavailable,42.9654,78.4967,243.191,Above Sea Level,2020-11-30,22:33:12,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BCzYoCqBHj2L.json,BC,RREEPPLLAACCEE/BC/zY/BCzYoCqBHj2L.mp4,RREEPPLLAACCEE/BC/zY/BCzYoCqBHj2L_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-08-02,20:27:29,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Bc4OhUUsiDjG.json,Bc,RREEPPLLAACCEE/Bc/4O/Bc4OhUUsiDjG.mp4,RREEPPLLAACCEE/Bc/4O/Bc4OhUUsiDjG_small.mp4
Unavailable,32.7791,96.8087,131.217,Above Sea Level,2020-02-16,22:41:13,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Bc53UhT8tkmM.json,Bc,RREEPPLLAACCEE/Bc/53/Bc53UhT8tkmM.mp4,RREEPPLLAACCEE/Bc/53/Bc53UhT8tkmM_small.mp4
Unavailable,33.4198,111.7739,0,Unavailable,2020-11-10,01:29:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Bc6nvMdyPsp5.json,Bc,RREEPPLLAACCEE/Bc/6n/Bc6nvMdyPsp5.mp4,RREEPPLLAACCEE/Bc/6n/Bc6nvMdyPsp5_small.mp4
Unavailable,28.6171,81.4489,21.425,Above Sea Level,2020-12-19,06:50:21,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcBQQidS5fmL.json,Bc,RREEPPLLAACCEE/Bc/BQ/BcBQQidS5fmL.mp4,RREEPPLLAACCEE/Bc/BQ/BcBQQidS5fmL_small.mp4
Unavailable,50.4382,104.5804,580.122,Above Sea Level,2020-07-10,03:19:48,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcKMDoHNGeAC.json,Bc,RREEPPLLAACCEE/Bc/KM/BcKMDoHNGeAC.mp4,RREEPPLLAACCEE/Bc/KM/BcKMDoHNGeAC_small.mp4
Unavailable,32.7510,117.1968,9.714,Above Sea Level,2020-11-01,22:01:50,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcL6NcmrzTwE.json,Bc,RREEPPLLAACCEE/Bc/L6/BcL6NcmrzTwE.mp4,RREEPPLLAACCEE/Bc/L6/BcL6NcmrzTwE_small.mp4
Unavailable,25.8294,80.3351,0,Unavailable,2020-07-02,11:55:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcLImQXGShDG.json,Bc,RREEPPLLAACCEE/Bc/LI/BcLImQXGShDG.mp4,RREEPPLLAACCEE/Bc/LI/BcLImQXGShDG_small.mp4
Unavailable,42.3618,71.0805,5.138,Above Sea Level,2021-01-08,14:07:09,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcQR5GyKw0DM.json,Bc,RREEPPLLAACCEE/Bc/QR/BcQR5GyKw0DM.mp4,RREEPPLLAACCEE/Bc/QR/BcQR5GyKw0DM_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:54:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcVIKnSCm7oG.json,Bc,RREEPPLLAACCEE/Bc/VI/BcVIKnSCm7oG.mp4,RREEPPLLAACCEE/Bc/VI/BcVIKnSCm7oG_small.mp4
Unavailable,38.7056,77.2563,90.45,Above Sea Level,2020-11-26,12:49:21,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcaBBgkjDDRN.json,Bc,RREEPPLLAACCEE/Bc/aB/BcaBBgkjDDRN.mp4,RREEPPLLAACCEE/Bc/aB/BcaBBgkjDDRN_small.mp4
Unavailable,31.2549,81.8539,21.39,Above Sea Level,2020-05-30,16:51:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcbGfcIucAjb.json,Bc,RREEPPLLAACCEE/Bc/bG/BcbGfcIucAjb.mp4,RREEPPLLAACCEE/Bc/bG/BcbGfcIucAjb_small.mp4
Unavailable,21.4641,158.2125,4.437,Above Sea Level,2020-07-24,21:15:31,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcdELp0g4wbg.json,Bc,RREEPPLLAACCEE/Bc/dE/BcdELp0g4wbg.mp4,RREEPPLLAACCEE/Bc/dE/BcdELp0g4wbg_small.mp4
Unavailable,40.0250,74.1541,0,Unavailable,2020-11-27,19:10:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BceeMzFh2iXj.json,Bc,RREEPPLLAACCEE/Bc/ee/BceeMzFh2iXj.mp4,RREEPPLLAACCEE/Bc/ee/BceeMzFh2iXj_small.mp4
Unavailable,37.3287,122.0140,0,Unavailable,2020-10-19,20:24:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcltcdLPjrh1.json,Bc,RREEPPLLAACCEE/Bc/lt/BcltcdLPjrh1.mp4,RREEPPLLAACCEE/Bc/lt/BcltcdLPjrh1_small.mp4
Unavailable,38.8904,77.0057,28.2,Above Sea Level,2020-11-14,20:12:29,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcmSWf4rUGth.json,Bc,RREEPPLLAACCEE/Bc/mS/BcmSWf4rUGth.mp4,RREEPPLLAACCEE/Bc/mS/BcmSWf4rUGth_small.mp4
Unavailable,37.3684,120.6255,46.569,Above Sea Level,2020-11-05,22:33:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcvV0ejNGZyM.json,Bc,RREEPPLLAACCEE/Bc/vV/BcvV0ejNGZyM.mp4,RREEPPLLAACCEE/Bc/vV/BcvV0ejNGZyM_small.mp4
Unavailable,35.9845,115.2458,799.836,Above Sea Level,2020-11-01,02:32:42,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcvdIVkKHJTs.json,Bc,RREEPPLLAACCEE/Bc/vd/BcvdIVkKHJTs.mp4,RREEPPLLAACCEE/Bc/vd/BcvdIVkKHJTs_small.mp4
Unavailable,39.6225,104.8960,0,Unavailable,2020-11-18,18:03:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BcvwQ9bDD0gO.json,Bc,RREEPPLLAACCEE/Bc/vw/BcvwQ9bDD0gO.mp4,RREEPPLLAACCEE/Bc/vw/BcvwQ9bDD0gO_small.mp4
Unavailable,15.7977,47.8752,1079.066,Above Sea Level,2020-07-09,12:42:56,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BczecFhskxYO.json,Bc,RREEPPLLAACCEE/Bc/ze/BczecFhskxYO.mp4,RREEPPLLAACCEE/Bc/ze/BczecFhskxYO_small.mp4
Unavailable,34.7202,86.7212,259.043,Above Sea Level,2020-12-09,18:19:09,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-bC4tTAhtampr.json,bC,RREEPPLLAACCEE/bC/4t/bC4tTAhtampr.mp4,RREEPPLLAACCEE/bC/4t/bC4tTAhtampr_small.mp4
Unavailable,40.9803,121.6228,0,Unavailable,2020-11-27,20:37:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-bC57DFPvut5K.json,bC,RREEPPLLAACCEE/bC/57/bC57DFPvut5K.mp4,RREEPPLLAACCEE/bC/57/bC57DFPvut5K_small.mp4
Unavailable,28.6459,81.2759,17.817,Above Sea Level,2020-02-05,18:09:13,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-bC5GMD7afMne.json,bC,RREEPPLLAACCEE/bC/5G/bC5GMD7afMne.mp4,RREEPPLLAACCEE/bC/5G/bC5GMD7afMne_small.mp4
Unavailable,33.2204,96.6830,172,Above Sea Level,2021-01-05,23:48:19,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-bC8WoG75bfYs.json,bC,RREEPPLLAACCEE/bC/8W/bC8WoG75bfYs.mp4,RREEPPLLAACCEE/bC/8W/bC8WoG75bfYs_small.mp4
