Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
zimmermann,0,0,0,Unavailable,2021-01-06,22:32:53,Unavailable,,Unavailable,Unavailable,zimmermann,zimmermann,zimmermann,meta-m3nIoqqQyBHb.json,m3,RREEPPLLAACCEE/m3/nI/m3nIoqqQyBHb.mp4,RREEPPLLAACCEE/m3/nI/m3nIoqqQyBHb_small.mp4
Unavailable,20.2482,40.2688,0,Unavailable,2020-12-04,11:28:06,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M33nEkmbeDUP.json,M3,RREEPPLLAACCEE/M3/3n/M33nEkmbeDUP.mp4,RREEPPLLAACCEE/M3/3n/M33nEkmbeDUP_small.mp4
Unavailable,33.3817,96.7397,231.852,Above Sea Level,2021-01-09,22:12:13,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3DXXRCK1BkA.json,M3,RREEPPLLAACCEE/M3/DX/M3DXXRCK1BkA.mp4,RREEPPLLAACCEE/M3/DX/M3DXXRCK1BkA_small.mp4
Unavailable,45.4799,73.6200,85.565,Above Sea Level,2020-11-16,13:55:57,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3EWVmdBHDRP.json,M3,RREEPPLLAACCEE/M3/EW/M3EWVmdBHDRP.mp4,RREEPPLLAACCEE/M3/EW/M3EWVmdBHDRP_small.mp4
Unavailable,30.4003,87.3929,6.508,Above Sea Level,2020-11-11,19:22:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3FqKfOcolHQ.json,M3,RREEPPLLAACCEE/M3/Fq/M3FqKfOcolHQ.mp4,RREEPPLLAACCEE/M3/Fq/M3FqKfOcolHQ_small.mp4
Unavailable,36.5912,86.5624,244.747,Above Sea Level,2020-11-05,00:24:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3IFTzmWzumj.json,M3,RREEPPLLAACCEE/M3/IF/M3IFTzmWzumj.mp4,RREEPPLLAACCEE/M3/IF/M3IFTzmWzumj_small.mp4
Unavailable,43.4642,71.4703,0,Unavailable,2020-07-29,02:18:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3LLrqSrIv4R.json,M3,RREEPPLLAACCEE/M3/LL/M3LLrqSrIv4R.mp4,RREEPPLLAACCEE/M3/LL/M3LLrqSrIv4R_small.mp4
Unavailable,41.8616,87.6176,187.529,Above Sea Level,2020-11-11,16:10:23,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3QEHCnuJUvk.json,M3,RREEPPLLAACCEE/M3/QE/M3QEHCnuJUvk.mp4,RREEPPLLAACCEE/M3/QE/M3QEHCnuJUvk_small.mp4
Unavailable,28.5515,80.8222,8.926,Above Sea Level,2020-11-09,19:43:21,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3Qmz7WrXnBf.json,M3,RREEPPLLAACCEE/M3/Qm/M3Qmz7WrXnBf.mp4,RREEPPLLAACCEE/M3/Qm/M3Qmz7WrXnBf_small.mp4
Unavailable,39.2084,84.7581,225.579,Above Sea Level,2020-10-24,19:01:30,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M3S82wNJfcvQ.json,M3,RREEPPLLAACCEE/M3/S8/M3S82wNJfcvQ.mp4,RREEPPLLAACCEE/M3/S8/M3S82wNJfcvQ_small.mp4
