Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Sophie,0,0,0,Unavailable,2020-12-10,17:43:27,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-hMDU7Ncoiojr.json,hM,RREEPPLLAACCEE/hM/DU/hMDU7Ncoiojr.mp4,RREEPPLLAACCEE/hM/DU/hMDU7Ncoiojr_small.mp4
Unavailable,34.2052,77.9093,18.136,Above Sea Level,2020-11-14,01:14:17,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMJ6Ra8Ii4kh.json,HM,RREEPPLLAACCEE/HM/J6/HMJ6Ra8Ii4kh.mp4,RREEPPLLAACCEE/HM/J6/HMJ6Ra8Ii4kh_small.mp4
Unavailable,31.9150,110.9834,863.507,Above Sea Level,2020-10-30,00:43:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMQkwp25ti1b.json,HM,RREEPPLLAACCEE/HM/Qk/HMQkwp25ti1b.mp4,RREEPPLLAACCEE/HM/Qk/HMQkwp25ti1b_small.mp4
Unavailable,33.7273,112.2475,431.883,Above Sea Level,2020-12-08,00:44:17,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMd8nQmp8fU6.json,HM,RREEPPLLAACCEE/HM/d8/HMd8nQmp8fU6.mp4,RREEPPLLAACCEE/HM/d8/HMd8nQmp8fU6_small.mp4
Unavailable,41.1414,73.4938,87.256,Above Sea Level,2020-09-28,17:15:34,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMiXyu5VtLTh.json,HM,RREEPPLLAACCEE/HM/iX/HMiXyu5VtLTh.mp4,RREEPPLLAACCEE/HM/iX/HMiXyu5VtLTh_small.mp4
Unavailable,30.3408,95.8037,74.002,Above Sea Level,2020-11-14,23:23:07,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMnWq3qKohVM.json,HM,RREEPPLLAACCEE/HM/nW/HMnWq3qKohVM.mp4,RREEPPLLAACCEE/HM/nW/HMnWq3qKohVM_small.mp4
Unavailable,26.7878,80.3013,4.892,Above Sea Level,2020-12-11,13:36:51,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMomlS9HukQx.json,HM,RREEPPLLAACCEE/HM/om/HMomlS9HukQx.mp4,RREEPPLLAACCEE/HM/om/HMomlS9HukQx_small.mp4
Unavailable,40.7530,86.3826,0,Unavailable,2020-11-24,18:16:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMqKTIu6hdkU.json,HM,RREEPPLLAACCEE/HM/qK/HMqKTIu6hdkU.mp4,RREEPPLLAACCEE/HM/qK/HMqKTIu6hdkU_small.mp4
Unavailable,40.0109,74.1431,0,Unavailable,2020-10-11,00:22:56,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMuQwNb0OtUr.json,HM,RREEPPLLAACCEE/HM/uQ/HMuQwNb0OtUr.mp4,RREEPPLLAACCEE/HM/uQ/HMuQwNb0OtUr_small.mp4
Unavailable,36.4151,80.2686,0,Unavailable,2020-11-05,17:38:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HMyuWiA6tdUD.json,HM,RREEPPLLAACCEE/HM/yu/HMyuWiA6tdUD.mp4,RREEPPLLAACCEE/HM/yu/HMyuWiA6tdUD_small.mp4
Unavailable,35.8656,84.2187,295.562,Above Sea Level,2020-12-15,22:08:22,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Hm7N9XUApPGR.json,Hm,RREEPPLLAACCEE/Hm/7N/Hm7N9XUApPGR.mp4,RREEPPLLAACCEE/Hm/7N/Hm7N9XUApPGR_small.mp4
Unavailable,26.1100,80.1485,3.078,Above Sea Level,2019-02-04,03:38:27,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmBHIuPzKI6L.json,Hm,RREEPPLLAACCEE/Hm/BH/HmBHIuPzKI6L.mp4,RREEPPLLAACCEE/Hm/BH/HmBHIuPzKI6L_small.mp4
Unavailable,36.0355,115.0082,566.197,Above Sea Level,2020-09-14,01:39:07,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmDeBexISfr7.json,Hm,RREEPPLLAACCEE/Hm/De/HmDeBexISfr7.mp4,RREEPPLLAACCEE/Hm/De/HmDeBexISfr7_small.mp4
Unavailable,45.4542,122.6048,42.358,Above Sea Level,2020-11-13,22:49:55,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmFGA59Pya1V.json,Hm,RREEPPLLAACCEE/Hm/FG/HmFGA59Pya1V.mp4,RREEPPLLAACCEE/Hm/FG/HmFGA59Pya1V_small.mp4
Unavailable,40.7054,74.0081,7.38,Above Sea Level,2020-06-12,14:16:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmIhKJgrtKEj.json,Hm,RREEPPLLAACCEE/Hm/Ih/HmIhKJgrtKEj.mp4,RREEPPLLAACCEE/Hm/Ih/HmIhKJgrtKEj_small.mp4
Unavailable,35.2017,89.8361,91.527,Above Sea Level,2020-06-21,19:10:08,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmNvHXnvpznY.json,Hm,RREEPPLLAACCEE/Hm/Nv/HmNvHXnvpznY.mp4,RREEPPLLAACCEE/Hm/Nv/HmNvHXnvpznY_small.mp4
Unavailable,42.7858,78.8026,0,Unavailable,2020-12-11,10:38:15,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmOXnnIfLclG.json,Hm,RREEPPLLAACCEE/Hm/OX/HmOXnnIfLclG.mp4,RREEPPLLAACCEE/Hm/OX/HmOXnnIfLclG_small.mp4
Unavailable,32.4955,100.1263,573.029,Above Sea Level,2020-12-19,18:04:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmRZ7oZI9p8g.json,Hm,RREEPPLLAACCEE/Hm/RZ/HmRZ7oZI9p8g.mp4,RREEPPLLAACCEE/Hm/RZ/HmRZ7oZI9p8g_small.mp4
Unavailable,30.3365,98.0337,0,Unavailable,2020-11-20,22:35:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmUFN7wOn5TN.json,Hm,RREEPPLLAACCEE/Hm/UF/HmUFN7wOn5TN.mp4,RREEPPLLAACCEE/Hm/UF/HmUFN7wOn5TN_small.mp4
Unavailable,29.7975,81.9144,30,Above Sea Level,2020-03-14,22:13:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmWCMgVxfsyX.json,Hm,RREEPPLLAACCEE/Hm/WC/HmWCMgVxfsyX.mp4,RREEPPLLAACCEE/Hm/WC/HmWCMgVxfsyX_small.mp4
Unavailable,33.4905,117.6682,23.02,Above Sea Level,2020-07-04,16:14:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmaeCNGOKEBV.json,Hm,RREEPPLLAACCEE/Hm/ae/HmaeCNGOKEBV.mp4,RREEPPLLAACCEE/Hm/ae/HmaeCNGOKEBV_small.mp4
Unavailable,39.3795,84.5504,183.232,Above Sea Level,2020-11-09,03:55:30,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmbXh0PZYwnz.json,Hm,RREEPPLLAACCEE/Hm/bX/HmbXh0PZYwnz.mp4,RREEPPLLAACCEE/Hm/bX/HmbXh0PZYwnz_small.mp4
Unavailable,35.2145,106.7243,1643.17,Above Sea Level,2020-11-28,23:35:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmkGqFXhRFtR.json,Hm,RREEPPLLAACCEE/Hm/kG/HmkGqFXhRFtR.mp4,RREEPPLLAACCEE/Hm/kG/HmkGqFXhRFtR_small.mp4
Unavailable,39.5504,119.7951,1365.07,Above Sea Level,2018-09-08,01:24:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmqiKHRdbkFB.json,Hm,RREEPPLLAACCEE/Hm/qi/HmqiKHRdbkFB.mp4,RREEPPLLAACCEE/Hm/qi/HmqiKHRdbkFB_small.mp4
Unavailable,26.1415,80.1234,2.911,Above Sea Level,2020-11-13,14:05:40,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Hms1LzaVBEEX.json,Hm,RREEPPLLAACCEE/Hm/s1/Hms1LzaVBEEX.mp4,RREEPPLLAACCEE/Hm/s1/Hms1LzaVBEEX_small.mp4
Unavailable,39.5539,76.6660,109.986,Above Sea Level,2020-10-24,23:32:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmuQKiZa8f5b.json,Hm,RREEPPLLAACCEE/Hm/uQ/HmuQKiZa8f5b.mp4,RREEPPLLAACCEE/Hm/uQ/HmuQKiZa8f5b_small.mp4
Unavailable,29.9863,93.9640,0,Unavailable,2020-08-26,17:15:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HmudvA10GtJh.json,Hm,RREEPPLLAACCEE/Hm/ud/HmudvA10GtJh.mp4,RREEPPLLAACCEE/Hm/ud/HmudvA10GtJh_small.mp4
Unavailable,30.4358,91.1845,13.314,Above Sea Level,2020-07-23,09:01:57,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hM15r5Mp7O5s.json,hM,RREEPPLLAACCEE/hM/15/hM15r5Mp7O5s.mp4,RREEPPLLAACCEE/hM/15/hM15r5Mp7O5s_small.mp4
Unavailable,28.3408,80.7501,6.091,Above Sea Level,2020-12-30,20:39:08,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMB7lhmAUY6s.json,hM,RREEPPLLAACCEE/hM/B7/hMB7lhmAUY6s.mp4,RREEPPLLAACCEE/hM/B7/hMB7lhmAUY6s_small.mp4
Unavailable,30.0704,97.7461,205.291,Above Sea Level,2020-11-26,18:08:02,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMCzkCTFHP7R.json,hM,RREEPPLLAACCEE/hM/Cz/hMCzkCTFHP7R.mp4,RREEPPLLAACCEE/hM/Cz/hMCzkCTFHP7R_small.mp4
Unavailable,39.1228,86.4909,0,Unavailable,2020-12-02,00:47:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMD0TFf7rK5Q.json,hM,RREEPPLLAACCEE/hM/D0/hMD0TFf7rK5Q.mp4,RREEPPLLAACCEE/hM/D0/hMD0TFf7rK5Q_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-11-17,15:38:38,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMJHUgRZd2mQ.json,hM,RREEPPLLAACCEE/hM/JH/hMJHUgRZd2mQ.mp4,RREEPPLLAACCEE/hM/JH/hMJHUgRZd2mQ_small.mp4
Unavailable,34.6606,118.0628,0,Unavailable,2020-07-05,03:38:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMPOJeqvjChk.json,hM,RREEPPLLAACCEE/hM/PO/hMPOJeqvjChk.mp4,RREEPPLLAACCEE/hM/PO/hMPOJeqvjChk_small.mp4
Unavailable,41.1942,73.2421,58.479,Above Sea Level,2020-11-16,20:45:08,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMQz6KdhI4jK.json,hM,RREEPPLLAACCEE/hM/Qz/hMQz6KdhI4jK.mp4,RREEPPLLAACCEE/hM/Qz/hMQz6KdhI4jK_small.mp4
Unavailable,40.1749,122.2303,0,Unavailable,2020-12-13,14:22:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMSHltYUOPfa.json,hM,RREEPPLLAACCEE/hM/SH/hMSHltYUOPfa.mp4,RREEPPLLAACCEE/hM/SH/hMSHltYUOPfa_small.mp4
Unavailable,32.4630,86.1042,0,Unavailable,2020-11-13,22:34:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMTW3y4gW3XI.json,hM,RREEPPLLAACCEE/hM/TW/hMTW3y4gW3XI.mp4,RREEPPLLAACCEE/hM/TW/hMTW3y4gW3XI_small.mp4
Unavailable,29.8076,81.2679,2.802,Above Sea Level,2020-08-19,02:19:29,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMXs6UDsJl18.json,hM,RREEPPLLAACCEE/hM/Xs/hMXs6UDsJl18.mp4,RREEPPLLAACCEE/hM/Xs/hMXs6UDsJl18_small.mp4
Unavailable,12.9347,38.4425,66.469,Above Sea Level,2020-12-21,04:15:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMYm5fnY8RPN.json,hM,RREEPPLLAACCEE/hM/Ym/hMYm5fnY8RPN.mp4,RREEPPLLAACCEE/hM/Ym/hMYm5fnY8RPN_small.mp4
Unavailable,39.9668,75.1768,25.281,Above Sea Level,2020-11-15,06:07:19,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMZ0SRb6BJKs.json,hM,RREEPPLLAACCEE/hM/Z0/hMZ0SRb6BJKs.mp4,RREEPPLLAACCEE/hM/Z0/hMZ0SRb6BJKs_small.mp4
Unavailable,26.6489,80.1521,5.559,Above Sea Level,2020-07-09,00:39:24,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hMaCbKkCTkRJ.json,hM,RREEPPLLAACCEE/hM/aC/hMaCbKkCTkRJ.mp4,RREEPPLLAACCEE/hM/aC/hMaCbKkCTkRJ_small.mp4
