Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
AMD,0,0,0,Unavailable,2021-01-09,13:45:50,Unavailable,Unavailable,Unavailable,Unavailable,AMD,AMD,AMD,meta-Xy5MqKcGD69v.json,Xy,RREEPPLLAACCEE/Xy/5M/Xy5MqKcGD69v.mp4,RREEPPLLAACCEE/Xy/5M/Xy5MqKcGD69v_small.mp4
Johnson,0,0,0,Unavailable,2020-12-10,22:22:56,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-Xyhh66SG1Pls.json,Xy,RREEPPLLAACCEE/Xy/hh/Xyhh66SG1Pls.mp4,RREEPPLLAACCEE/Xy/hh/Xyhh66SG1Pls_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-19,16:57:32,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-xYEysoB5EghG.json,xY,RREEPPLLAACCEE/xY/Ey/xYEysoB5EghG.mp4,RREEPPLLAACCEE/xY/Ey/xYEysoB5EghG_small.mp4
veey,0,0,0,Unavailable,2020-10-13,13:05:55,Unavailable,,Unavailable,Unavailable,veey,veey,veey,meta-xYelXXKB0vma.json,xY,RREEPPLLAACCEE/xY/el/xYelXXKB0vma.mp4,RREEPPLLAACCEE/xY/el/xYelXXKB0vma_small.mp4
ethan,0,0,0,Unavailable,2020-07-06,16:45:56,Unavailable,Unavailable,Unavailable,Unavailable,ethan,ethan,ethan,meta-xyCx3xYF0XDw.json,xy,RREEPPLLAACCEE/xy/Cx/xyCx3xYF0XDw.mp4,RREEPPLLAACCEE/xy/Cx/xyCx3xYF0XDw_small.mp4
Unavailable,30.2439,89.7808,0,Unavailable,2020-11-13,21:17:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XY1H7cldjdYC.json,XY,RREEPPLLAACCEE/XY/1H/XY1H7cldjdYC.mp4,RREEPPLLAACCEE/XY/1H/XY1H7cldjdYC_small.mp4
Unavailable,33.4823,112.1647,335.669,Above Sea Level,2020-11-14,21:17:25,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XY2TPycQgABg.json,XY,RREEPPLLAACCEE/XY/2T/XY2TPycQgABg.mp4,RREEPPLLAACCEE/XY/2T/XY2TPycQgABg_small.mp4
Unavailable,39.5735,89.3850,0,Unavailable,2020-11-08,02:28:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XY2tPq2wQVop.json,XY,RREEPPLLAACCEE/XY/2t/XY2tPq2wQVop.mp4,RREEPPLLAACCEE/XY/2t/XY2tPq2wQVop_small.mp4
Unavailable,32.0066,102.1094,0,Unavailable,2020-09-03,13:47:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XY3oD15totX6.json,XY,RREEPPLLAACCEE/XY/3o/XY3oD15totX6.mp4,RREEPPLLAACCEE/XY/3o/XY3oD15totX6_small.mp4
Unavailable,39.4590,75.8872,19.395,Above Sea Level,2020-12-17,10:31:41,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XY3uS5ylLa48.json,XY,RREEPPLLAACCEE/XY/3u/XY3uS5ylLa48.mp4,RREEPPLLAACCEE/XY/3u/XY3uS5ylLa48_small.mp4
