Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jeremy,0,0,0,Unavailable,2020-09-03,15:35:14,Unavailable,Unavailable,Unavailable,Unavailable,Jeremy,Jeremy,Jeremy,meta-BN1kWZeL3J4G.json,BN,RREEPPLLAACCEE/BN/1k/BN1kWZeL3J4G.mp4,RREEPPLLAACCEE/BN/1k/BN1kWZeL3J4G_small.mp4
vladyslavstarozhylov,0,0,0,Unavailable,2020-10-03,07:19:30,Leaf,,,,tirsoluis,tirsoluis,tirsoluis,meta-BNijpX54KHsq.json,BN,RREEPPLLAACCEE/BN/ij/BNijpX54KHsq.mp4,RREEPPLLAACCEE/BN/ij/BNijpX54KHsq_small.mp4
ohner,0,0,0,Unavailable,2020-11-29,02:53:25,Unavailable,Unavailable,Unavailable,Unavailable,ohner,ohner,ohner,meta-BnnQ44bGD0CR.json,Bn,RREEPPLLAACCEE/Bn/nQ/BnnQ44bGD0CR.mp4,RREEPPLLAACCEE/Bn/nQ/BnnQ44bGD0CR_small.mp4
mvizcarra,0,0,0,Unavailable,2020-11-22,16:49:57,Unavailable,Unavailable,Unavailable,Unavailable,mvizcarra,mvizcarra,mvizcarra,meta-bNj58JNr3YgE.json,bN,RREEPPLLAACCEE/bN/j5/bNj58JNr3YgE.mp4,RREEPPLLAACCEE/bN/j5/bNj58JNr3YgE_small.mp4
keith,0,0,0,Unavailable,2020-10-06,20:11:12,Unavailable,Unavailable,Unavailable,Unavailable,keith,keith,keith,meta-bNojSD7BxPsi.json,bN,RREEPPLLAACCEE/bN/oj/bNojSD7BxPsi.mp4,RREEPPLLAACCEE/bN/oj/bNojSD7BxPsi_small.mp4
josephruiz,0,0,0,Unavailable,2020-11-19,01:30:03,Unavailable,Unavailable,Unavailable,Unavailable,josephruiz,josephruiz,josephruiz,meta-bnZmKnY0BfSj.json,bn,RREEPPLLAACCEE/bn/Zm/bnZmKnY0BfSj.mp4,RREEPPLLAACCEE/bn/Zm/bnZmKnY0BfSj_small.mp4
palmetto,0,0,0,Unavailable,2021-01-09,16:30:56,Unavailable,Unavailable,Unavailable,Unavailable,palmetto,palmetto,palmetto,meta-bndHKjw19pS0.json,bn,RREEPPLLAACCEE/bn/dH/bndHKjw19pS0.mp4,RREEPPLLAACCEE/bn/dH/bndHKjw19pS0_small.mp4
Admin,0,0,0,Unavailable,2020-12-08,16:18:23,Unavailable,Unavailable,Unavailable,Unavailable,jamforce2,jamforce2,jamforce2,meta-bniytEmG2bEH.json,bn,RREEPPLLAACCEE/bn/iy/bniytEmG2bEH.mp4,RREEPPLLAACCEE/bn/iy/bniytEmG2bEH_small.mp4
Unavailable,42.5045,83.1165,197.42,Above Sea Level,2020-07-22,14:14:34,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BN2YhwnMz2wl.json,BN,RREEPPLLAACCEE/BN/2Y/BN2YhwnMz2wl.mp4,RREEPPLLAACCEE/BN/2Y/BN2YhwnMz2wl_small.mp4
Unavailable,33.3686,111.7951,375.515,Above Sea Level,2020-07-22,19:29:47,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BN5e24J4vrMo.json,BN,RREEPPLLAACCEE/BN/5e/BN5e24J4vrMo.mp4,RREEPPLLAACCEE/BN/5e/BN5e24J4vrMo_small.mp4
