Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Opera News14,0,0,0,Unavailable,2019-09-11,10:54:51,Unavailable,Unavailable,Unavailable,Unavailable,Opera News14,Opera News14,Opera News14,meta-PPBkLo5gbaXW.json,PP,RREEPPLLAACCEE/PP/Bk/PPBkLo5gbaXW.mp4,RREEPPLLAACCEE/PP/Bk/PPBkLo5gbaXW_small.mp4
paulg,0,0,0,Unavailable,2020-10-09,22:14:26,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-PPU0uwHeBwX3.json,PP,RREEPPLLAACCEE/PP/U0/PPU0uwHeBwX3.mp4,RREEPPLLAACCEE/PP/U0/PPU0uwHeBwX3_small.mp4
Charles-Henri,0,0,0,Unavailable,2020-10-28,21:28:48,Unavailable,Unavailable,Unavailable,Unavailable,Charles-Henri,Charles-Henri,Charles-Henri,meta-PPat4GoEFujs.json,PP,RREEPPLLAACCEE/PP/at/PPat4GoEFujs.mp4,RREEPPLLAACCEE/PP/at/PPat4GoEFujs_small.mp4
user,0,0,0,Unavailable,2018-06-17,11:59:54,Unavailable,Unavailable,Unavailable,Unavailable,user,user,user,meta-PPqG7P2CTWns.json,PP,RREEPPLLAACCEE/PP/qG/PPqG7P2CTWns.mp4,RREEPPLLAACCEE/PP/qG/PPqG7P2CTWns_small.mp4
Example John,0,0,0,Unavailable,2020-11-10,20:46:44,Unavailable,Unavailable,Unavailable,Unavailable,Example John,Example John,Example John,meta-PpAoH0QLm8pP.json,Pp,RREEPPLLAACCEE/Pp/Ao/PpAoH0QLm8pP.mp4,RREEPPLLAACCEE/Pp/Ao/PpAoH0QLm8pP_small.mp4
clearshiftreception,0,0,0,Unavailable,2020-11-03,18:01:06,Unavailable,Unavailable,Unavailable,Unavailable,clearshiftreception,clearshiftreception,clearshiftreception,meta-PpIti00kEZc7.json,Pp,RREEPPLLAACCEE/Pp/It/PpIti00kEZc7.mp4,RREEPPLLAACCEE/Pp/It/PpIti00kEZc7_small.mp4
ayooj,0,0,0,Unavailable,2020-07-17,21:23:56,Unavailable,,Unavailable,Unavailable,cahun,cahun,cahun,meta-pPgOp5N3jcGS.json,pP,RREEPPLLAACCEE/pP/gO/pPgOp5N3jcGS.mp4,RREEPPLLAACCEE/pP/gO/pPgOp5N3jcGS_small.mp4
foucachon,0,0,0,Unavailable,2020-10-08,16:40:55,Unavailable,Unavailable,Unavailable,Unavailable,foucachon,foucachon,foucachon,meta-pp4G0Ii1wl1l.json,pp,RREEPPLLAACCEE/pp/4G/pp4G0Ii1wl1l.mp4,RREEPPLLAACCEE/pp/4G/pp4G0Ii1wl1l_small.mp4
Bgregg,0,0,0,Unavailable,2020-11-21,06:21:23,Unavailable,,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-ppLGU02dYIvn.json,pp,RREEPPLLAACCEE/pp/LG/ppLGU02dYIvn.mp4,RREEPPLLAACCEE/pp/LG/ppLGU02dYIvn_small.mp4
pearceoshea,0,0,0,Unavailable,2020-11-14,19:42:33,Unavailable,Unavailable,Unavailable,Unavailable,pearceoshea,pearceoshea,pearceoshea,meta-ppRTXGT6ykWs.json,pp,RREEPPLLAACCEE/pp/RT/ppRTXGT6ykWs.mp4,RREEPPLLAACCEE/pp/RT/ppRTXGT6ykWs_small.mp4
Magne,0,0,0,Unavailable,2020-11-18,21:50:31,Unavailable,Unavailable,Unavailable,Unavailable,Magne,Magne,Magne,meta-ppXlb5Nz76yY.json,pp,RREEPPLLAACCEE/pp/Xl/ppXlb5Nz76yY.mp4,RREEPPLLAACCEE/pp/Xl/ppXlb5Nz76yY_small.mp4
paulcutcliffe,0,0,0,Unavailable,2020-09-02,21:48:23,Unavailable,,Unavailable,Unavailable,paulcutcliffe,paulcutcliffe,paulcutcliffe,meta-ppdMOsUjaAbZ.json,pp,RREEPPLLAACCEE/pp/dM/ppdMOsUjaAbZ.mp4,RREEPPLLAACCEE/pp/dM/ppdMOsUjaAbZ_small.mp4
Unavailable,28.2722,82.6100,10.445,Above Sea Level,2021-01-07,18:32:54,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PP0H20iYJRfb.json,PP,RREEPPLLAACCEE/PP/0H/PP0H20iYJRfb.mp4,RREEPPLLAACCEE/PP/0H/PP0H20iYJRfb_small.mp4
Unavailable,36.2751,86.3681,0,Unavailable,2020-12-25,22:55:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PP4NR0odYVDy.json,PP,RREEPPLLAACCEE/PP/4N/PP4NR0odYVDy.mp4,RREEPPLLAACCEE/PP/4N/PP4NR0odYVDy_small.mp4
Unavailable,38.7919,85.7586,177.692,Above Sea Level,2020-06-17,22:56:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PP50FySgRsUo.json,PP,RREEPPLLAACCEE/PP/50/PP50FySgRsUo.mp4,RREEPPLLAACCEE/PP/50/PP50FySgRsUo_small.mp4
Unavailable,33.7900,84.3732,0,Unavailable,2020-11-16,01:42:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PP6KrftuxDSa.json,PP,RREEPPLLAACCEE/PP/6K/PP6KrftuxDSa.mp4,RREEPPLLAACCEE/PP/6K/PP6KrftuxDSa_small.mp4
Unavailable,40.7809,74.4639,87.619,Above Sea Level,2020-11-22,16:37:42,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPDDacbVXzgW.json,PP,RREEPPLLAACCEE/PP/DD/PPDDacbVXzgW.mp4,RREEPPLLAACCEE/PP/DD/PPDDacbVXzgW_small.mp4
Unavailable,32.9222,111.2836,603.744,Above Sea Level,2020-11-14,17:13:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPGrBivR81hy.json,PP,RREEPPLLAACCEE/PP/Gr/PPGrBivR81hy.mp4,RREEPPLLAACCEE/PP/Gr/PPGrBivR81hy_small.mp4
Unavailable,33.7328,116.2722,16.787,Above Sea Level,2020-12-24,15:01:55,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPHIOsuKZR1Z.json,PP,RREEPPLLAACCEE/PP/HI/PPHIOsuKZR1Z.mp4,RREEPPLLAACCEE/PP/HI/PPHIOsuKZR1Z_small.mp4
Unavailable,20.6765,156.4435,5.103,Above Sea Level,2020-11-20,03:03:49,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPLZ4Qnw58Ar.json,PP,RREEPPLLAACCEE/PP/LZ/PPLZ4Qnw58Ar.mp4,RREEPPLLAACCEE/PP/LZ/PPLZ4Qnw58Ar_small.mp4
Unavailable,38.1468,121.2845,14.114,Above Sea Level,2020-11-12,21:15:28,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPOh9wFuj7fy.json,PP,RREEPPLLAACCEE/PP/Oh/PPOh9wFuj7fy.mp4,RREEPPLLAACCEE/PP/Oh/PPOh9wFuj7fy_small.mp4
Unavailable,41.1441,73.4955,89.15,Above Sea Level,2020-06-12,02:02:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPZAPqwXYoVM.json,PP,RREEPPLLAACCEE/PP/ZA/PPZAPqwXYoVM.mp4,RREEPPLLAACCEE/PP/ZA/PPZAPqwXYoVM_small.mp4
Unavailable,30.3331,90.9097,0,Unavailable,2020-04-06,20:31:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPj9nyFarmI3.json,PP,RREEPPLLAACCEE/PP/j9/PPj9nyFarmI3.mp4,RREEPPLLAACCEE/PP/j9/PPj9nyFarmI3_small.mp4
Unavailable,41.9420,71.1340,24.342,Above Sea Level,2020-11-23,23:28:30,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPnXXFaVnmaX.json,PP,RREEPPLLAACCEE/PP/nX/PPnXXFaVnmaX.mp4,RREEPPLLAACCEE/PP/nX/PPnXXFaVnmaX_small.mp4
Unavailable,33.1938,117.3852,1.885,Above Sea Level,2020-11-20,23:06:20,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPp90iePbeXK.json,PP,RREEPPLLAACCEE/PP/p9/PPp90iePbeXK.mp4,RREEPPLLAACCEE/PP/p9/PPp90iePbeXK_small.mp4
Unavailable,37.0204,88.5915,102.644,Above Sea Level,2020-11-20,12:51:25,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPt4fCRlWgKk.json,PP,RREEPPLLAACCEE/PP/t4/PPt4fCRlWgKk.mp4,RREEPPLLAACCEE/PP/t4/PPt4fCRlWgKk_small.mp4
Unavailable,33.3106,111.8210,368.982,Above Sea Level,2020-07-02,01:47:08,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PPxnSCLYYvPd.json,PP,RREEPPLLAACCEE/PP/xn/PPxnSCLYYvPd.mp4,RREEPPLLAACCEE/PP/xn/PPxnSCLYYvPd_small.mp4
