Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Shared,0,0,0,Unavailable,2020-07-22,21:01:02,Unavailable,Unavailable,Unavailable,Unavailable,Shared,Shared,Shared,meta-5YRPh1sx0dA5.json,5Y,RREEPPLLAACCEE/5Y/RP/5YRPh1sx0dA5.mp4,RREEPPLLAACCEE/5Y/RP/5YRPh1sx0dA5_small.mp4
Unavailable,38.3517,86.0235,235.426,Above Sea Level,2020-12-10,05:21:31,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y1EtBF6H3a9.json,5Y,RREEPPLLAACCEE/5Y/1E/5Y1EtBF6H3a9.mp4,RREEPPLLAACCEE/5Y/1E/5Y1EtBF6H3a9_small.mp4
Unavailable,39.9536,77.7032,0,Unavailable,2020-11-20,02:13:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y1WwM4kfUG1.json,5Y,RREEPPLLAACCEE/5Y/1W/5Y1WwM4kfUG1.mp4,RREEPPLLAACCEE/5Y/1W/5Y1WwM4kfUG1_small.mp4
Unavailable,47.6831,122.1655,122.133,Above Sea Level,2020-12-05,19:46:08,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y40xGvDrunM.json,5Y,RREEPPLLAACCEE/5Y/40/5Y40xGvDrunM.mp4,RREEPPLLAACCEE/5Y/40/5Y40xGvDrunM_small.mp4
Unavailable,36.3491,119.2872,103.698,Above Sea Level,2020-07-24,06:43:42,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y7G8p0X7aGU.json,5Y,RREEPPLLAACCEE/5Y/7G/5Y7G8p0X7aGU.mp4,RREEPPLLAACCEE/5Y/7G/5Y7G8p0X7aGU_small.mp4
Unavailable,33.5337,81.9433,137.075,Above Sea Level,2020-10-08,20:29:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y8WWLmJ4dM6.json,5Y,RREEPPLLAACCEE/5Y/8W/5Y8WWLmJ4dM6.mp4,RREEPPLLAACCEE/5Y/8W/5Y8WWLmJ4dM6_small.mp4
Unavailable,41.8973,71.3859,18.902,Above Sea Level,2021-01-09,22:54:59,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Y8YympbJB0c.json,5Y,RREEPPLLAACCEE/5Y/8Y/5Y8YympbJB0c.mp4,RREEPPLLAACCEE/5Y/8Y/5Y8YympbJB0c_small.mp4
Unavailable,47.4784,122.3264,0,Unavailable,2020-10-08,16:24:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5YDPFWd6Bmlz.json,5Y,RREEPPLLAACCEE/5Y/DP/5YDPFWd6Bmlz.mp4,RREEPPLLAACCEE/5Y/DP/5YDPFWd6Bmlz_small.mp4
Unavailable,35.2123,97.4140,357.73,Above Sea Level,2021-01-06,00:45:21,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5YKQV5CmTph1.json,5Y,RREEPPLLAACCEE/5Y/KQ/5YKQV5CmTph1.mp4,RREEPPLLAACCEE/5Y/KQ/5YKQV5CmTph1_small.mp4
Unavailable,21.4147,157.9943,105.292,Above Sea Level,2020-09-23,21:55:35,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5YREavQDhAqt.json,5Y,RREEPPLLAACCEE/5Y/RE/5YREavQDhAqt.mp4,RREEPPLLAACCEE/5Y/RE/5YREavQDhAqt_small.mp4
