Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
marianitote,0,0,0,Unavailable,2020-08-12,19:34:55,NIKON CORPORATION,,Unavailable,Unavailable,marianitote,marianitote,marianitote,meta-HRmfgM4yJB6v.json,HR,RREEPPLLAACCEE/HR/mf/HRmfgM4yJB6v.mp4,RREEPPLLAACCEE/HR/mf/HRmfgM4yJB6v_small.mp4
ecavanaugh,0,0,0,Unavailable,2020-07-01,22:02:03,Unavailable,Unavailable,Unavailable,Unavailable,ecavanaugh,ecavanaugh,ecavanaugh,meta-HrDurUKBHwrN.json,Hr,RREEPPLLAACCEE/Hr/Du/HrDurUKBHwrN.mp4,RREEPPLLAACCEE/Hr/Du/HrDurUKBHwrN_small.mp4
melinachan,0,0,0,Unavailable,2020-08-27,15:11:00,Unavailable,,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-HrMRHDE9sO6g.json,Hr,RREEPPLLAACCEE/Hr/MR/HrMRHDE9sO6g.mp4,RREEPPLLAACCEE/Hr/MR/HrMRHDE9sO6g_small.mp4
apple,0,0,0,Unavailable,2021-01-10,02:41:08,Unavailable,Unavailable,Unavailable,Unavailable,apple,apple,apple,meta-hR5BGXh5jNqB.json,hR,RREEPPLLAACCEE/hR/5B/hR5BGXh5jNqB.mp4,RREEPPLLAACCEE/hR/5B/hR5BGXh5jNqB_small.mp4
Laura,0,0,0,Unavailable,2018-06-07,23:44:52,Unavailable,,Unavailable,Unavailable,Laura,Laura,Laura,meta-hRXJaFxkWwqb.json,hR,RREEPPLLAACCEE/hR/XJ/hRXJaFxkWwqb.mp4,RREEPPLLAACCEE/hR/XJ/hRXJaFxkWwqb_small.mp4
Unavailable,34.1786,84.0299,332.438,Above Sea Level,2020-12-30,02:11:04,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HR04oP9QE0Rp.json,HR,RREEPPLLAACCEE/HR/04/HR04oP9QE0Rp.mp4,RREEPPLLAACCEE/HR/04/HR04oP9QE0Rp_small.mp4
Unavailable,22.9843,43.3000,50.54,Above Sea Level,2020-09-20,14:53:23,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HR74twOmEQw4.json,HR,RREEPPLLAACCEE/HR/74/HR74twOmEQw4.mp4,RREEPPLLAACCEE/HR/74/HR74twOmEQw4_small.mp4
Unavailable,47.6649,122.2502,7.368,Above Sea Level,2020-07-20,20:20:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HR8CPKkpN9Mw.json,HR,RREEPPLLAACCEE/HR/8C/HR8CPKkpN9Mw.mp4,RREEPPLLAACCEE/HR/8C/HR8CPKkpN9Mw_small.mp4
Unavailable,32.9332,96.7539,174.591,Above Sea Level,2020-11-11,20:24:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HRBNwJhDyqru.json,HR,RREEPPLLAACCEE/HR/BN/HRBNwJhDyqru.mp4,RREEPPLLAACCEE/HR/BN/HRBNwJhDyqru_small.mp4
Unavailable,44.8244,20.4577,102.52,Above Sea Level,2019-11-28,01:21:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HRFUI5aolbRW.json,HR,RREEPPLLAACCEE/HR/FU/HRFUI5aolbRW.mp4,RREEPPLLAACCEE/HR/FU/HRFUI5aolbRW_small.mp4
Unavailable,40.3196,79.9065,286,Above Sea Level,2020-09-01,17:37:23,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HRJl5onsPPpF.json,HR,RREEPPLLAACCEE/HR/Jl/HRJl5onsPPpF.mp4,RREEPPLLAACCEE/HR/Jl/HRJl5onsPPpF_small.mp4
Unavailable,38.8356,104.8212,1834.257,Above Sea Level,2020-11-07,20:09:26,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HRMQMOBw3m3p.json,HR,RREEPPLLAACCEE/HR/MQ/HRMQMOBw3m3p.mp4,RREEPPLLAACCEE/HR/MQ/HRMQMOBw3m3p_small.mp4
Unavailable,39.5059,119.8077,1365.537,Above Sea Level,2020-11-25,18:54:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HRNQ0KfMWWjQ.json,HR,RREEPPLLAACCEE/HR/NQ/HRNQ0KfMWWjQ.mp4,RREEPPLLAACCEE/HR/NQ/HRNQ0KfMWWjQ_small.mp4
