Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
l33tu,0,0,0,Unavailable,2020-11-12,22:31:02,Unavailable,Unavailable,Unavailable,Unavailable,l33tu,l33tu,l33tu,meta-QVMALLNx8gGK.json,QV,RREEPPLLAACCEE/QV/MA/QVMALLNx8gGK.mp4,RREEPPLLAACCEE/QV/MA/QVMALLNx8gGK_small.mp4
Adam,0,0,0,Unavailable,2019-05-31,23:32:49,Unavailable,,Unavailable,Unavailable,Adam,Adam,Adam,meta-qVv8etuobjN1.json,qV,RREEPPLLAACCEE/qV/v8/qVv8etuobjN1.mp4,RREEPPLLAACCEE/qV/v8/qVv8etuobjN1_small.mp4
mikes,0,0,0,Unavailable,2020-07-09,17:37:26,Unavailable,Unavailable,Unavailable,Unavailable,mikes,mikes,mikes,meta-qvfPCsahdfRT.json,qv,RREEPPLLAACCEE/qv/fP/qvfPCsahdfRT.mp4,RREEPPLLAACCEE/qv/fP/qvfPCsahdfRT_small.mp4
marks,0,0,0,Unavailable,2020-04-24,17:42:30,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-qvuZYJ4XY1l9.json,qv,RREEPPLLAACCEE/qv/uZ/qvuZYJ4XY1l9.mp4,RREEPPLLAACCEE/qv/uZ/qvuZYJ4XY1l9_small.mp4
Unavailable,33.5846,112.1517,376.184,Above Sea Level,2020-11-26,23:13:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV0pckoY08ot.json,QV,RREEPPLLAACCEE/QV/0p/QV0pckoY08ot.mp4,RREEPPLLAACCEE/QV/0p/QV0pckoY08ot_small.mp4
Unavailable,40.8611,78.7982,493.3,Above Sea Level,2020-09-27,15:17:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV4I96Ry95ky.json,QV,RREEPPLLAACCEE/QV/4I/QV4I96Ry95ky.mp4,RREEPPLLAACCEE/QV/4I/QV4I96Ry95ky_small.mp4
Unavailable,47.6070,122.1888,4.226,Above Sea Level,2020-12-20,19:27:45,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV6nx9GBgwxN.json,QV,RREEPPLLAACCEE/QV/6n/QV6nx9GBgwxN.mp4,RREEPPLLAACCEE/QV/6n/QV6nx9GBgwxN_small.mp4
Unavailable,26.4796,80.1400,7.28,Above Sea Level,2020-11-16,14:51:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV9E4TBWAdSt.json,QV,RREEPPLLAACCEE/QV/9E/QV9E4TBWAdSt.mp4,RREEPPLLAACCEE/QV/9E/QV9E4TBWAdSt_small.mp4
Unavailable,40.5095,75.3960,157.141,Above Sea Level,2020-09-26,14:00:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV9NpUF66ns2.json,QV,RREEPPLLAACCEE/QV/9N/QV9NpUF66ns2.mp4,RREEPPLLAACCEE/QV/9N/QV9NpUF66ns2_small.mp4
Unavailable,42.0224,88.0423,223.08,Above Sea Level,2020-11-02,02:02:38,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QV9lKjTWgX9O.json,QV,RREEPPLLAACCEE/QV/9l/QV9lKjTWgX9O.mp4,RREEPPLLAACCEE/QV/9l/QV9lKjTWgX9O_small.mp4
Unavailable,32.7780,96.8319,81.208,Above Sea Level,2020-12-31,01:09:57,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QVDE2XgB2WA3.json,QV,RREEPPLLAACCEE/QV/DE/QVDE2XgB2WA3.mp4,RREEPPLLAACCEE/QV/DE/QVDE2XgB2WA3_small.mp4
Unavailable,34.0544,118.2431,98.05,Above Sea Level,2020-06-06,02:40:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QVLiCkeGTGyE.json,QV,RREEPPLLAACCEE/QV/Li/QVLiCkeGTGyE.mp4,RREEPPLLAACCEE/QV/Li/QVLiCkeGTGyE_small.mp4
Unavailable,33.8140,117.5450,382.811,Above Sea Level,2020-10-30,13:48:23,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QVQHNEn7x4rp.json,QV,RREEPPLLAACCEE/QV/QH/QVQHNEn7x4rp.mp4,RREEPPLLAACCEE/QV/QH/QVQHNEn7x4rp_small.mp4
Unavailable,26.2460,80.0940,2.22,Above Sea Level,2020-11-24,13:33:57,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QVRNO21fgUKC.json,QV,RREEPPLLAACCEE/QV/RN/QVRNO21fgUKC.mp4,RREEPPLLAACCEE/QV/RN/QVRNO21fgUKC_small.mp4
