Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
augustomartinez,0,0,0,Unavailable,2020-12-10,15:54:51,Apple,,Unavailable,Unavailable,augustomartinez,augustomartinez,augustomartinez,meta-XJ0Y01RFh7FZ.json,XJ,RREEPPLLAACCEE/XJ/0Y/XJ0Y01RFh7FZ.mp4,RREEPPLLAACCEE/XJ/0Y/XJ0Y01RFh7FZ_small.mp4
Charles-Henri,0,0,0,Unavailable,2020-10-08,12:57:37,Unavailable,Unavailable,Unavailable,Unavailable,Charles-Henri,Charles-Henri,Charles-Henri,meta-Xj0rt3jCt1XT.json,Xj,RREEPPLLAACCEE/Xj/0r/Xj0rt3jCt1XT.mp4,RREEPPLLAACCEE/Xj/0r/Xj0rt3jCt1XT_small.mp4
Mark,0,0,0,Unavailable,2017-08-28,03:55:03,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-Xjqb8FYE7rWH.json,Xj,RREEPPLLAACCEE/Xj/qb/Xjqb8FYE7rWH.mp4,RREEPPLLAACCEE/Xj/qb/Xjqb8FYE7rWH_small.mp4
trist,0,0,0,Unavailable,2020-08-10,21:28:17,Unavailable,Unavailable,Unavailable,Unavailable,trist,trist,trist,meta-XjxR10NWa0Cl.json,Xj,RREEPPLLAACCEE/Xj/xR/XjxR10NWa0Cl.mp4,RREEPPLLAACCEE/Xj/xR/XjxR10NWa0Cl_small.mp4
pipehat,0,0,0,Unavailable,2020-11-21,21:05:09,Unavailable,Unavailable,Unavailable,Unavailable,pipehat,pipehat,pipehat,meta-xJClNho8FoNE.json,xJ,RREEPPLLAACCEE/xJ/Cl/xJClNho8FoNE.mp4,RREEPPLLAACCEE/xJ/Cl/xJClNho8FoNE_small.mp4
danie,0,0,0,Unavailable,2021-01-08,22:31:35,Unavailable,Unavailable,Unavailable,Unavailable,danie,danie,danie,meta-xJO7CteN0XEa.json,xJ,RREEPPLLAACCEE/xJ/O7/xJO7CteN0XEa.mp4,RREEPPLLAACCEE/xJ/O7/xJO7CteN0XEa_small.mp4
arobinson,0,0,0,Unavailable,2020-12-23,17:18:10,Unavailable,Unavailable,Unavailable,Unavailable,arobinson,arobinson,arobinson,meta-xj1eadOiq2L2.json,xj,RREEPPLLAACCEE/xj/1e/xj1eadOiq2L2.mp4,RREEPPLLAACCEE/xj/1e/xj1eadOiq2L2_small.mp4
Unavailable,42.2266,83.2898,191.037,Above Sea Level,2020-07-31,05:42:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJ0GuSWlkS9l.json,XJ,RREEPPLLAACCEE/XJ/0G/XJ0GuSWlkS9l.mp4,RREEPPLLAACCEE/XJ/0G/XJ0GuSWlkS9l_small.mp4
Unavailable,41.0608,111.9717,0,Unavailable,2021-01-04,22:09:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJ42h8VBHBZo.json,XJ,RREEPPLLAACCEE/XJ/42/XJ42h8VBHBZo.mp4,RREEPPLLAACCEE/XJ/42/XJ42h8VBHBZo_small.mp4
Unavailable,32.9194,97.0774,198.646,Above Sea Level,2020-11-15,21:52:54,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJ53u9iqftGK.json,XJ,RREEPPLLAACCEE/XJ/53/XJ53u9iqftGK.mp4,RREEPPLLAACCEE/XJ/53/XJ53u9iqftGK_small.mp4
Unavailable,40.5417,74.2160,35.323,Above Sea Level,2020-11-12,00:02:24,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJ7nlcJaF7Zb.json,XJ,RREEPPLLAACCEE/XJ/7n/XJ7nlcJaF7Zb.mp4,RREEPPLLAACCEE/XJ/7n/XJ7nlcJaF7Zb_small.mp4
Unavailable,38.9599,84.0829,0,Unavailable,2020-11-22,19:35:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJCHZdpcxtyV.json,XJ,RREEPPLLAACCEE/XJ/CH/XJCHZdpcxtyV.mp4,RREEPPLLAACCEE/XJ/CH/XJCHZdpcxtyV_small.mp4
Unavailable,39.7371,104.9822,1613.3,Above Sea Level,2020-09-10,21:18:30,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJGcFVyafE9C.json,XJ,RREEPPLLAACCEE/XJ/Gc/XJGcFVyafE9C.mp4,RREEPPLLAACCEE/XJ/Gc/XJGcFVyafE9C_small.mp4
Unavailable,36.0167,114.7421,418.156,Above Sea Level,2020-12-16,20:14:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJKT2yUNuscc.json,XJ,RREEPPLLAACCEE/XJ/KT/XJKT2yUNuscc.mp4,RREEPPLLAACCEE/XJ/KT/XJKT2yUNuscc_small.mp4
Unavailable,32.4799,84.9936,0,Unavailable,2020-11-18,15:46:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJPo1ndve45L.json,XJ,RREEPPLLAACCEE/XJ/Po/XJPo1ndve45L.mp4,RREEPPLLAACCEE/XJ/Po/XJPo1ndve45L_small.mp4
Unavailable,26.2462,80.0939,2.806,Above Sea Level,2020-12-05,01:03:58,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJfTJS3No2Wr.json,XJ,RREEPPLLAACCEE/XJ/fT/XJfTJS3No2Wr.mp4,RREEPPLLAACCEE/XJ/fT/XJfTJS3No2Wr_small.mp4
Unavailable,59.3847,17.0405,15.93,Above Sea Level,2020-11-24,17:58:39,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJm6W2eYpYYV.json,XJ,RREEPPLLAACCEE/XJ/m6/XJm6W2eYpYYV.mp4,RREEPPLLAACCEE/XJ/m6/XJm6W2eYpYYV_small.mp4
Unavailable,25.4133,49.3564,0,Unavailable,2020-08-06,01:13:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XJq7wlGJwLmX.json,XJ,RREEPPLLAACCEE/XJ/q7/XJq7wlGJwLmX.mp4,RREEPPLLAACCEE/XJ/q7/XJq7wlGJwLmX_small.mp4
