Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jessicaweiner,0,0,0,Unavailable,2020-10-26,19:14:03,Unavailable,Unavailable,Unavailable,Unavailable,jessicaweiner,jessicaweiner,jessicaweiner,meta-TGNcpb4RTTjt.json,TG,RREEPPLLAACCEE/TG/Nc/TGNcpb4RTTjt.mp4,RREEPPLLAACCEE/TG/Nc/TGNcpb4RTTjt_small.mp4
RDH,0,0,0,Unavailable,2020-08-03,04:58:20,Unavailable,Unavailable,Unavailable,Unavailable,RDH,RDH,RDH,meta-TGTv3MUnK54C.json,TG,RREEPPLLAACCEE/TG/Tv/TGTv3MUnK54C.mp4,RREEPPLLAACCEE/TG/Tv/TGTv3MUnK54C_small.mp4
marks,0,0,0,Unavailable,2020-11-07,01:36:52,Unavailable,Unavailable,Unavailable,Unavailable,markstout,marks,markstout,meta-TGUbqcNXF2yg.json,TG,RREEPPLLAACCEE/TG/Ub/TGUbqcNXF2yg.mp4,RREEPPLLAACCEE/TG/Ub/TGUbqcNXF2yg_small.mp4
a_rad,0,0,0,Unavailable,2020-05-01,14:53:47,Unavailable,Unavailable,Unavailable,Unavailable,a_rad,a_rad,a_rad,meta-TGYokhTzuVNZ.json,TG,RREEPPLLAACCEE/TG/Yo/TGYokhTzuVNZ.mp4,RREEPPLLAACCEE/TG/Yo/TGYokhTzuVNZ_small.mp4
lmbra,0,0,0,Unavailable,2020-09-26,22:44:53,Unavailable,Unavailable,Unavailable,Unavailable,lmbra,lmbra,lmbra,meta-tgWtwPgcnQjM.json,tg,RREEPPLLAACCEE/tg/Wt/tgWtwPgcnQjM.mp4,RREEPPLLAACCEE/tg/Wt/tgWtwPgcnQjM_small.mp4
Unavailable,26.4595,80.1398,7.711,Above Sea Level,2020-12-09,16:24:57,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TGBjXuXNbo9b.json,TG,RREEPPLLAACCEE/TG/Bj/TGBjXuXNbo9b.mp4,RREEPPLLAACCEE/TG/Bj/TGBjXuXNbo9b_small.mp4
Unavailable,35.5558,139.4296,0,Unavailable,2020-12-28,17:49:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TGQwxocyPuQP.json,TG,RREEPPLLAACCEE/TG/Qw/TGQwxocyPuQP.mp4,RREEPPLLAACCEE/TG/Qw/TGQwxocyPuQP_small.mp4
Unavailable,38.8921,77.0165,6.503,Above Sea Level,2021-01-06,02:53:30,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TGXd7vJdtAzO.json,TG,RREEPPLLAACCEE/TG/Xd/TGXd7vJdtAzO.mp4,RREEPPLLAACCEE/TG/Xd/TGXd7vJdtAzO_small.mp4
Unavailable,28.5212,81.4942,44.34,Above Sea Level,2020-06-18,14:54:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TGbwdUlpLOTs.json,TG,RREEPPLLAACCEE/TG/bw/TGbwdUlpLOTs.mp4,RREEPPLLAACCEE/TG/bw/TGbwdUlpLOTs_small.mp4
Unavailable,47.1812,122.1758,0,Unavailable,2020-07-28,23:10:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TGhkKT3g2nvX.json,TG,RREEPPLLAACCEE/TG/hk/TGhkKT3g2nvX.mp4,RREEPPLLAACCEE/TG/hk/TGhkKT3g2nvX_small.mp4
