Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Tim,0,0,0,Unavailable,2020-12-10,15:26:33,Unavailable,Unavailable,Unavailable,Unavailable,Tim,Tim,Tim,meta-u4CWhoDLbgYZ.json,u4,RREEPPLLAACCEE/u4/CW/u4CWhoDLbgYZ.mp4,RREEPPLLAACCEE/u4/CW/u4CWhoDLbgYZ_small.mp4
andrewlankes,0,0,0,Unavailable,2020-10-27,23:02:20,SONY,,Unavailable,Unavailable,andrewlankes,andrewlankes,andrewlankes,meta-u4HZ043X4rh4.json,u4,RREEPPLLAACCEE/u4/HZ/u4HZ043X4rh4.mp4,RREEPPLLAACCEE/u4/HZ/u4HZ043X4rh4_small.mp4
Admin,0,0,0,Unavailable,2020-12-11,17:58:12,Unavailable,,Unavailable,Unavailable,Admin,Admin,Admin,meta-u4gnwhn8nRLC.json,u4,RREEPPLLAACCEE/u4/gn/u4gnwhn8nRLC.mp4,RREEPPLLAACCEE/u4/gn/u4gnwhn8nRLC_small.mp4
emilyjiao,0,0,0,Unavailable,2020-12-24,00:18:27,Unavailable,Unavailable,Unavailable,Unavailable,emilyjiao,emilyjiao,emilyjiao,meta-u4lnHBT1odX9.json,u4,RREEPPLLAACCEE/u4/ln/u4lnHBT1odX9.mp4,RREEPPLLAACCEE/u4/ln/u4lnHBT1odX9_small.mp4
t.hamersky,0,0,0,Unavailable,2020-12-08,13:43:21,Unavailable,Unavailable,Unavailable,Unavailable,t.hamersky,t.hamersky,t.hamersky,meta-u4zQGTuSDjmm.json,u4,RREEPPLLAACCEE/u4/zQ/u4zQGTuSDjmm.mp4,RREEPPLLAACCEE/u4/zQ/u4zQGTuSDjmm_small.mp4
Unavailable,35.8742,79.9295,232.899,Above Sea Level,2021-01-04,01:50:07,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U46fGuYXiptq.json,U4,RREEPPLLAACCEE/U4/6f/U46fGuYXiptq.mp4,RREEPPLLAACCEE/U4/6f/U46fGuYXiptq_small.mp4
Unavailable,48.6284,112.3301,0,Unavailable,2020-08-21,13:56:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U4DKZMouwLg8.json,U4,RREEPPLLAACCEE/U4/DK/U4DKZMouwLg8.mp4,RREEPPLLAACCEE/U4/DK/U4DKZMouwLg8_small.mp4
Unavailable,29.5103,95.1788,8.072,Above Sea Level,2020-11-14,22:24:37,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U4DwEvP8QZrY.json,U4,RREEPPLLAACCEE/U4/Dw/U4DwEvP8QZrY.mp4,RREEPPLLAACCEE/U4/Dw/U4DwEvP8QZrY_small.mp4
Unavailable,33.4906,117.6682,22.922,Above Sea Level,2020-07-16,01:52:54,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U4Fh24q9oviC.json,U4,RREEPPLLAACCEE/U4/Fh/U4Fh24q9oviC.mp4,RREEPPLLAACCEE/U4/Fh/U4Fh24q9oviC_small.mp4
Unavailable,45.0436,93.2674,0,Unavailable,2020-11-03,17:30:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U4Fq4pOZW1k4.json,U4,RREEPPLLAACCEE/U4/Fq/U4Fq4pOZW1k4.mp4,RREEPPLLAACCEE/U4/Fq/U4Fq4pOZW1k4_small.mp4
