Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Tatiana,0,0,0,Unavailable,2020-12-04,04:16:34,Unavailable,,Unavailable,Unavailable,Tatiana,Tatiana,Tatiana,meta-HQ26YQe3yAqu.json,HQ,RREEPPLLAACCEE/HQ/26/HQ26YQe3yAqu.mp4,RREEPPLLAACCEE/HQ/26/HQ26YQe3yAqu_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-15,13:52:37,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-HQ83EMiVT6ip.json,HQ,RREEPPLLAACCEE/HQ/83/HQ83EMiVT6ip.mp4,RREEPPLLAACCEE/HQ/83/HQ83EMiVT6ip_small.mp4
NEW,0,0,0,Unavailable,2020-12-14,11:15:02,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-hQe0NkSkZI4W.json,hQ,RREEPPLLAACCEE/hQ/e0/hQe0NkSkZI4W.mp4,RREEPPLLAACCEE/hQ/e0/hQe0NkSkZI4W_small.mp4
Mello-Gabinete,0,0,0,Unavailable,2020-09-01,22:15:54,Unavailable,,Unavailable,Unavailable,Mello-Gabinete,Mello-Gabinete,Mello-Gabinete,meta-hQtixhk1erCY.json,hQ,RREEPPLLAACCEE/hQ/ti/hQtixhk1erCY.mp4,RREEPPLLAACCEE/hQ/ti/hQtixhk1erCY_small.mp4
Unavailable,45.8536,122.7068,77.249,Above Sea Level,2020-09-05,10:40:02,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQ0Sv0iXjUhu.json,HQ,RREEPPLLAACCEE/HQ/0S/HQ0Sv0iXjUhu.mp4,RREEPPLLAACCEE/HQ/0S/HQ0Sv0iXjUhu_small.mp4
Unavailable,35.8957,84.1569,298.796,Above Sea Level,2020-12-23,00:17:14,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQ1jzMhLz8S5.json,HQ,RREEPPLLAACCEE/HQ/1j/HQ1jzMhLz8S5.mp4,RREEPPLLAACCEE/HQ/1j/HQ1jzMhLz8S5_small.mp4
Unavailable,42.8396,76.9692,155.625,Above Sea Level,2020-11-08,00:02:41,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQ3a48NRmZKL.json,HQ,RREEPPLLAACCEE/HQ/3a/HQ3a48NRmZKL.mp4,RREEPPLLAACCEE/HQ/3a/HQ3a48NRmZKL_small.mp4
Unavailable,40.7427,72.8687,3.018,Above Sea Level,2020-11-14,21:25:24,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQ4CT6jnzASz.json,HQ,RREEPPLLAACCEE/HQ/4C/HQ4CT6jnzASz.mp4,RREEPPLLAACCEE/HQ/4C/HQ4CT6jnzASz_small.mp4
Unavailable,40.7452,73.2587,14.7,Above Sea Level,2020-07-30,23:57:43,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQ6Eil42Q6Vi.json,HQ,RREEPPLLAACCEE/HQ/6E/HQ6Eil42Q6Vi.mp4,RREEPPLLAACCEE/HQ/6E/HQ6Eil42Q6Vi_small.mp4
Unavailable,42.8300,78.7488,195.31,Above Sea Level,2021-01-07,23:54:52,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQAJIcXqVgnK.json,HQ,RREEPPLLAACCEE/HQ/AJ/HQAJIcXqVgnK.mp4,RREEPPLLAACCEE/HQ/AJ/HQAJIcXqVgnK_small.mp4
Unavailable,59.3845,17.0404,3.03,Above Sea Level,2020-11-20,08:18:46,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQCcM9ohxaCf.json,HQ,RREEPPLLAACCEE/HQ/Cc/HQCcM9ohxaCf.mp4,RREEPPLLAACCEE/HQ/Cc/HQCcM9ohxaCf_small.mp4
Unavailable,30.5994,87.1800,20.149,Above Sea Level,2020-12-09,16:39:00,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQDj3yiH2oEJ.json,HQ,RREEPPLLAACCEE/HQ/Dj/HQDj3yiH2oEJ.mp4,RREEPPLLAACCEE/HQ/Dj/HQDj3yiH2oEJ_small.mp4
Unavailable,40.4384,104.9653,1535.501,Above Sea Level,2020-11-14,13:53:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQGGSqAuHxKI.json,HQ,RREEPPLLAACCEE/HQ/GG/HQGGSqAuHxKI.mp4,RREEPPLLAACCEE/HQ/GG/HQGGSqAuHxKI_small.mp4
Unavailable,40.6891,112.2630,0,Unavailable,2020-05-29,14:45:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQHeJlhs8Z7v.json,HQ,RREEPPLLAACCEE/HQ/He/HQHeJlhs8Z7v.mp4,RREEPPLLAACCEE/HQ/He/HQHeJlhs8Z7v_small.mp4
Unavailable,41.1778,81.4324,345.19,Above Sea Level,2020-06-25,04:00:36,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQHhWnMsfYDH.json,HQ,RREEPPLLAACCEE/HQ/Hh/HQHhWnMsfYDH.mp4,RREEPPLLAACCEE/HQ/Hh/HQHhWnMsfYDH_small.mp4
Unavailable,39.1032,75.5145,10.72,Above Sea Level,2020-06-21,22:34:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQJCVoZQxfwD.json,HQ,RREEPPLLAACCEE/HQ/JC/HQJCVoZQxfwD.mp4,RREEPPLLAACCEE/HQ/JC/HQJCVoZQxfwD_small.mp4
Unavailable,28.6105,81.4295,27.672,Above Sea Level,2020-11-20,22:42:43,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQJOx67o5T3H.json,HQ,RREEPPLLAACCEE/HQ/JO/HQJOx67o5T3H.mp4,RREEPPLLAACCEE/HQ/JO/HQJOx67o5T3H_small.mp4
Unavailable,44.6446,123.0437,70.343,Above Sea Level,2020-09-18,19:27:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HQKEYmIwH2da.json,HQ,RREEPPLLAACCEE/HQ/KE/HQKEYmIwH2da.mp4,RREEPPLLAACCEE/HQ/KE/HQKEYmIwH2da_small.mp4
