Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
santo,0,0,0,Unavailable,2020-07-16,12:14:33,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-WSDwakFhZBUP.json,WS,RREEPPLLAACCEE/WS/Dw/WSDwakFhZBUP.mp4,RREEPPLLAACCEE/WS/Dw/WSDwakFhZBUP_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-10,21:07:54,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-WSF4piEnr3N8.json,WS,RREEPPLLAACCEE/WS/F4/WSF4piEnr3N8.mp4,RREEPPLLAACCEE/WS/F4/WSF4piEnr3N8_small.mp4
melinachan,0,0,0,Unavailable,2020-09-16,22:30:02,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-WscX8Jrou4Rt.json,Ws,RREEPPLLAACCEE/Ws/cX/WscX8Jrou4Rt.mp4,RREEPPLLAACCEE/Ws/cX/WscX8Jrou4Rt_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-01,03:53:00,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-Wsg7Kw0AhtOo.json,Ws,RREEPPLLAACCEE/Ws/g7/Wsg7Kw0AhtOo.mp4,RREEPPLLAACCEE/Ws/g7/Wsg7Kw0AhtOo_small.mp4
stone,0,0,0,Unavailable,2020-12-09,20:58:44,Unavailable,Unavailable,Unavailable,Unavailable,stone,stone,stone,meta-WsxHPiFFHHS7.json,Ws,RREEPPLLAACCEE/Ws/xH/WsxHPiFFHHS7.mp4,RREEPPLLAACCEE/Ws/xH/WsxHPiFFHHS7_small.mp4
Tyler,0,0,0,Unavailable,2020-09-13,00:09:36,Unavailable,Unavailable,Unavailable,Unavailable,Tyler,Tyler,Tyler,meta-wSq9ACQ5Gj6m.json,wS,RREEPPLLAACCEE/wS/q9/wSq9ACQ5Gj6m.mp4,RREEPPLLAACCEE/wS/q9/wSq9ACQ5Gj6m_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-11,18:07:19,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-wsSslKDVKo1o.json,ws,RREEPPLLAACCEE/ws/Ss/wsSslKDVKo1o.mp4,RREEPPLLAACCEE/ws/Ss/wsSslKDVKo1o_small.mp4
Unavailable,33.7640,118.3147,70.988,Above Sea Level,2020-11-20,21:40:05,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WS1YO9mN0Tth.json,WS,RREEPPLLAACCEE/WS/1Y/WS1YO9mN0Tth.mp4,RREEPPLLAACCEE/WS/1Y/WS1YO9mN0Tth_small.mp4
Unavailable,30.2086,81.5463,14.315,Above Sea Level,2020-11-11,03:52:47,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WS3DZmFLv6k0.json,WS,RREEPPLLAACCEE/WS/3D/WS3DZmFLv6k0.mp4,RREEPPLLAACCEE/WS/3D/WS3DZmFLv6k0_small.mp4
Unavailable,33.5810,117.6759,114.977,Above Sea Level,2020-11-29,15:38:32,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WS7uDYX8N5et.json,WS,RREEPPLLAACCEE/WS/7u/WS7uDYX8N5et.mp4,RREEPPLLAACCEE/WS/7u/WS7uDYX8N5et_small.mp4
