Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jane,0,0,0,Unavailable,2020-07-24,19:13:04,Unavailable,Unavailable,Unavailable,Unavailable,Jane,Jane,Jane,meta-7kDeTiblS6Y7.json,7k,RREEPPLLAACCEE/7k/De/7kDeTiblS6Y7.mp4,RREEPPLLAACCEE/7k/De/7kDeTiblS6Y7_small.mp4
user,0,0,0,Unavailable,2020-12-09,23:52:23,Canon,,,,user,user,user,meta-7kIK5bIRqkFN.json,7k,RREEPPLLAACCEE/7k/IK/7kIK5bIRqkFN.mp4,RREEPPLLAACCEE/7k/IK/7kIK5bIRqkFN_small.mp4
Chopper Sosa,0,0,0,Unavailable,2020-11-30,19:35:02,Unavailable,Unavailable,Unavailable,Unavailable,Chopper Sosa,Chopper Sosa,Chopper Sosa,meta-7kiFO4T1SIXf.json,7k,RREEPPLLAACCEE/7k/iF/7kiFO4T1SIXf.mp4,RREEPPLLAACCEE/7k/iF/7kiFO4T1SIXf_small.mp4
Unavailable,37.2835,79.8900,0,Unavailable,2020-12-12,21:39:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7K1ew09yOKWq.json,7K,RREEPPLLAACCEE/7K/1e/7K1ew09yOKWq.mp4,RREEPPLLAACCEE/7K/1e/7K1ew09yOKWq_small.mp4
Unavailable,42.4299,92.2925,274.5,Above Sea Level,2020-11-14,15:57:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7KK8j0JRGRvb.json,7K,RREEPPLLAACCEE/7K/K8/7KK8j0JRGRvb.mp4,RREEPPLLAACCEE/7K/K8/7KK8j0JRGRvb_small.mp4
Unavailable,34.1600,118.4397,198.878,Above Sea Level,2020-09-28,05:53:06,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7KReJF0kF7fL.json,7K,RREEPPLLAACCEE/7K/Re/7KReJF0kF7fL.mp4,RREEPPLLAACCEE/7K/Re/7KReJF0kF7fL_small.mp4
Unavailable,33.7959,118.0733,20.117,Above Sea Level,2020-11-22,19:33:03,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7KbpfKwm7p60.json,7K,RREEPPLLAACCEE/7K/bp/7KbpfKwm7p60.mp4,RREEPPLLAACCEE/7K/bp/7KbpfKwm7p60_small.mp4
Unavailable,42.6401,83.0188,194.709,Above Sea Level,2020-12-16,19:56:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7Kg8U4JIBP51.json,7K,RREEPPLLAACCEE/7K/g8/7Kg8U4JIBP51.mp4,RREEPPLLAACCEE/7K/g8/7Kg8U4JIBP51_small.mp4
Unavailable,33.2008,111.6774,0,Unavailable,2020-11-11,04:07:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7Khf2cUADmsR.json,7K,RREEPPLLAACCEE/7K/hf/7Khf2cUADmsR.mp4,RREEPPLLAACCEE/7K/hf/7Khf2cUADmsR_small.mp4
Unavailable,44.0113,88.5427,233.37,Above Sea Level,2020-11-22,15:15:57,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7KirlWIoNsiJ.json,7K,RREEPPLLAACCEE/7K/ir/7KirlWIoNsiJ.mp4,RREEPPLLAACCEE/7K/ir/7KirlWIoNsiJ_small.mp4
