Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vatan,0,0,0,Unavailable,2020-08-07,05:07:10,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-0L6T0shICt1u.json,0L,RREEPPLLAACCEE/0L/6T/0L6T0shICt1u.mp4,RREEPPLLAACCEE/0L/6T/0L6T0shICt1u_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-12-03,19:17:24,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-0lD8ZfOJlVE0.json,0l,RREEPPLLAACCEE/0l/D8/0lD8ZfOJlVE0.mp4,RREEPPLLAACCEE/0l/D8/0lD8ZfOJlVE0_small.mp4
Johnson,0,0,0,Unavailable,2020-11-14,10:56:52,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-0lSKVjGOyD2V.json,0l,RREEPPLLAACCEE/0l/SK/0lSKVjGOyD2V.mp4,RREEPPLLAACCEE/0l/SK/0lSKVjGOyD2V_small.mp4
Unavailable,44.9659,92.6829,288.106,Above Sea Level,2020-12-26,22:08:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0L75lZgFa23I.json,0L,RREEPPLLAACCEE/0L/75/0L75lZgFa23I.mp4,RREEPPLLAACCEE/0L/75/0L75lZgFa23I_small.mp4
Unavailable,42.1393,76.9368,275.697,Above Sea Level,2020-11-16,20:46:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0L7kOqYTorgN.json,0L,RREEPPLLAACCEE/0L/7k/0L7kOqYTorgN.mp4,RREEPPLLAACCEE/0L/7k/0L7kOqYTorgN_small.mp4
Unavailable,40.0637,105.0432,1550.145,Above Sea Level,2021-01-08,06:34:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0LFyyrInNJys.json,0L,RREEPPLLAACCEE/0L/Fy/0LFyyrInNJys.mp4,RREEPPLLAACCEE/0L/Fy/0LFyyrInNJys_small.mp4
Unavailable,37.2148,112.9771,1223.479,Above Sea Level,2020-08-06,22:39:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0LPjA7ZJ5Z3A.json,0L,RREEPPLLAACCEE/0L/Pj/0LPjA7ZJ5Z3A.mp4,RREEPPLLAACCEE/0L/Pj/0LPjA7ZJ5Z3A_small.mp4
Unavailable,48.5457,121.9920,115.002,Above Sea Level,2021-01-09,18:34:24,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0LREv3HCbLVT.json,0L,RREEPPLLAACCEE/0L/RE/0LREv3HCbLVT.mp4,RREEPPLLAACCEE/0L/RE/0LREv3HCbLVT_small.mp4
Unavailable,22.8760,42.0454,0,Unavailable,2021-01-07,14:42:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0LVbewgRPv72.json,0L,RREEPPLLAACCEE/0L/Vb/0LVbewgRPv72.mp4,RREEPPLLAACCEE/0L/Vb/0LVbewgRPv72_small.mp4
Unavailable,30.1870,95.5459,55.521,Above Sea Level,2020-10-24,00:15:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0Ldm4TuLWoFE.json,0L,RREEPPLLAACCEE/0L/dm/0Ldm4TuLWoFE.mp4,RREEPPLLAACCEE/0L/dm/0Ldm4TuLWoFE_small.mp4
