Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
User,0,0,0,Unavailable,2020-10-09,17:42:14,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-PITh9sfJMU42.json,PI,RREEPPLLAACCEE/PI/Th/PITh9sfJMU42.mp4,RREEPPLLAACCEE/PI/Th/PITh9sfJMU42_small.mp4
benja,0,0,0,Unavailable,2021-01-09,15:51:58,Panasonic,,Unavailable,Unavailable,benja,benja,benja,meta-PInVGAd4ofLA.json,PI,RREEPPLLAACCEE/PI/nV/PInVGAd4ofLA.mp4,RREEPPLLAACCEE/PI/nV/PInVGAd4ofLA_small.mp4
jeffmocini,0,0,0,Unavailable,2020-07-22,12:00:28,Unavailable,Unavailable,Unavailable,Unavailable,jeffmocini,jeffmocini,jeffmocini,meta-PiVxodyMSzDQ.json,Pi,RREEPPLLAACCEE/Pi/Vx/PiVxodyMSzDQ.mp4,RREEPPLLAACCEE/Pi/Vx/PiVxodyMSzDQ_small.mp4
macstoddard,0,0,0,Unavailable,2020-10-25,04:29:09,Unavailable,Unavailable,Unavailable,Unavailable,macstoddard,macstoddard,macstoddard,meta-pI1fuofV3qnc.json,pI,RREEPPLLAACCEE/pI/1f/pI1fuofV3qnc.mp4,RREEPPLLAACCEE/pI/1f/pI1fuofV3qnc_small.mp4
brandonsudia,0,0,0,Unavailable,2020-12-27,21:45:50,Unavailable,Unavailable,Unavailable,Unavailable,brandonsudia,brandonsudia,brandonsudia,meta-pICGDImmfe7W.json,pI,RREEPPLLAACCEE/pI/CG/pICGDImmfe7W.mp4,RREEPPLLAACCEE/pI/CG/pICGDImmfe7W_small.mp4
Mello-Gabinete,0,0,0,Unavailable,2020-09-29,23:31:42,Unavailable,Unavailable,Unavailable,Unavailable,Mello-Gabinete,Mello-Gabinete,Mello-Gabinete,meta-pIJgw5ikSYet.json,pI,RREEPPLLAACCEE/pI/Jg/pIJgw5ikSYet.mp4,RREEPPLLAACCEE/pI/Jg/pIJgw5ikSYet_small.mp4
pault,0,0,0,Unavailable,2020-12-24,03:28:30,Unavailable,Unavailable,Unavailable,Unavailable,pault,pault,pault,meta-pItIV4wPMI1m.json,pI,RREEPPLLAACCEE/pI/tI/pItIV4wPMI1m.mp4,RREEPPLLAACCEE/pI/tI/pItIV4wPMI1m_small.mp4
Mark,0,0,0,Unavailable,2017-05-01,19:48:45,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-pigtxQekC4UL.json,pi,RREEPPLLAACCEE/pi/gt/pigtxQekC4UL.mp4,RREEPPLLAACCEE/pi/gt/pigtxQekC4UL_small.mp4
andre,0,0,0,Unavailable,2020-12-15,01:52:29,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-pikL8dfsrlJr.json,pi,RREEPPLLAACCEE/pi/kL/pikL8dfsrlJr.mp4,RREEPPLLAACCEE/pi/kL/pikL8dfsrlJr_small.mp4
Unavailable,38.8897,77.0130,4.6,Above Sea Level,2021-01-06,19:34:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PI503wb3YSoh.json,PI,RREEPPLLAACCEE/PI/50/PI503wb3YSoh.mp4,RREEPPLLAACCEE/PI/50/PI503wb3YSoh_small.mp4
Unavailable,39.7089,90.2237,0,Unavailable,2020-11-13,22:46:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PI8brD6B0jAF.json,PI,RREEPPLLAACCEE/PI/8b/PI8brD6B0jAF.mp4,RREEPPLLAACCEE/PI/8b/PI8brD6B0jAF_small.mp4
Unavailable,29.5971,95.7336,25.368,Above Sea Level,2019-11-06,22:20:24,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PIAq8XjBVPWH.json,PI,RREEPPLLAACCEE/PI/Aq/PIAq8XjBVPWH.mp4,RREEPPLLAACCEE/PI/Aq/PIAq8XjBVPWH_small.mp4
Unavailable,49.5441,5.9294,309.572,Above Sea Level,2020-11-22,22:13:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PIBta2r52gG1.json,PI,RREEPPLLAACCEE/PI/Bt/PIBta2r52gG1.mp4,RREEPPLLAACCEE/PI/Bt/PIBta2r52gG1_small.mp4
Unavailable,35.9960,95.7310,209.541,Above Sea Level,2020-10-13,20:42:18,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PIDZQqU0Jgzl.json,PI,RREEPPLLAACCEE/PI/DZ/PIDZQqU0Jgzl.mp4,RREEPPLLAACCEE/PI/DZ/PIDZQqU0Jgzl_small.mp4
