Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Heather,0,0,0,Unavailable,2018-11-10,02:47:30,Unavailable,Unavailable,Unavailable,Unavailable,Heather,Heather,Heather,meta-JJRKGyHPMTNG.json,JJ,RREEPPLLAACCEE/JJ/RK/JJRKGyHPMTNG.mp4,RREEPPLLAACCEE/JJ/RK/JJRKGyHPMTNG_small.mp4
justin,0,0,0,Unavailable,2020-10-03,19:58:02,Unavailable,Unavailable,Unavailable,Unavailable,justin,justin,justin,meta-JjghTdXx5GY7.json,Jj,RREEPPLLAACCEE/Jj/gh/JjghTdXx5GY7.mp4,RREEPPLLAACCEE/Jj/gh/JjghTdXx5GY7_small.mp4
CorteseMAC,0,0,0,Unavailable,2020-01-21,12:07:27,Unavailable,Unavailable,Unavailable,Unavailable,CorteseMAC,CorteseMAC,CorteseMAC,meta-jJnlykpNd75e.json,jJ,RREEPPLLAACCEE/jJ/nl/jJnlykpNd75e.mp4,RREEPPLLAACCEE/jJ/nl/jJnlykpNd75e_small.mp4
Mr.Shades,0,0,0,Unavailable,2021-01-09,12:14:50,Unavailable,Unavailable,Unavailable,Unavailable,Mr.Shades,Mr.Shades,Mr.Shades,meta-jj4HEG3a2Dgk.json,jj,RREEPPLLAACCEE/jj/4H/jj4HEG3a2Dgk.mp4,RREEPPLLAACCEE/jj/4H/jj4HEG3a2Dgk_small.mp4
yxemac203,0,0,0,Unavailable,2020-02-21,21:20:39,Unavailable,Unavailable,Unavailable,Unavailable,yxemac203,yxemac203,yxemac203,meta-jjdQvsSBuAbC.json,jj,RREEPPLLAACCEE/jj/dQ/jjdQvsSBuAbC.mp4,RREEPPLLAACCEE/jj/dQ/jjdQvsSBuAbC_small.mp4
Unavailable,43.7203,116.2550,889.415,Above Sea Level,2021-01-06,02:38:34,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JJ2geUcXHwqm.json,JJ,RREEPPLLAACCEE/JJ/2g/JJ2geUcXHwqm.mp4,RREEPPLLAACCEE/JJ/2g/JJ2geUcXHwqm_small.mp4
Unavailable,41.4839,81.8125,210.543,Above Sea Level,2020-11-08,23:56:01,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JJ3s6rIPb3OI.json,JJ,RREEPPLLAACCEE/JJ/3s/JJ3s6rIPb3OI.mp4,RREEPPLLAACCEE/JJ/3s/JJ3s6rIPb3OI_small.mp4
Unavailable,33.8751,78.7103,9.606,Above Sea Level,2021-01-07,02:18:43,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JJ8z4Fln00ur.json,JJ,RREEPPLLAACCEE/JJ/8z/JJ8z4Fln00ur.mp4,RREEPPLLAACCEE/JJ/8z/JJ8z4Fln00ur_small.mp4
Unavailable,39.7814,86.4040,261.074,Above Sea Level,2020-08-19,22:59:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JJDw9Muqfzx1.json,JJ,RREEPPLLAACCEE/JJ/Dw/JJDw9Muqfzx1.mp4,RREEPPLLAACCEE/JJ/Dw/JJDw9Muqfzx1_small.mp4
Unavailable,39.6407,86.1535,231.139,Above Sea Level,2019-04-05,04:24:40,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JJGwaobZRGYx.json,JJ,RREEPPLLAACCEE/JJ/Gw/JJGwaobZRGYx.mp4,RREEPPLLAACCEE/JJ/Gw/JJGwaobZRGYx_small.mp4
