Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Pablo Cruz,0,0,0,Unavailable,2021-01-05,19:54:56,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-OC8a68yiChJs.json,OC,RREEPPLLAACCEE/OC/8a/OC8a68yiChJs.mp4,RREEPPLLAACCEE/OC/8a/OC8a68yiChJs_small.mp4
dlesley,0,0,0,Unavailable,2020-10-30,18:19:41,Unavailable,Unavailable,Unavailable,Unavailable,dlesley,dlesley,dlesley,meta-OcssYMzxcPFo.json,Oc,RREEPPLLAACCEE/Oc/ss/OcssYMzxcPFo.mp4,RREEPPLLAACCEE/Oc/ss/OcssYMzxcPFo_small.mp4
shanemccoy,0,0,0,Unavailable,2020-09-29,13:04:06,Unavailable,,Unavailable,Unavailable,shanemccoy,shanemccoy,shanemccoy,meta-oC3iSw6KKj8u.json,oC,RREEPPLLAACCEE/oC/3i/oC3iSw6KKj8u.mp4,RREEPPLLAACCEE/oC/3i/oC3iSw6KKj8u_small.mp4
AVUser1,0,0,0,Unavailable,2020-11-09,10:59:09,Unavailable,Unavailable,Unavailable,Unavailable,AVUser1,AVUser1,AVUser1,meta-oCBYTOngdypg.json,oC,RREEPPLLAACCEE/oC/BY/oCBYTOngdypg.mp4,RREEPPLLAACCEE/oC/BY/oCBYTOngdypg_small.mp4
Unavailable,28.9310,81.9997,24.776,Above Sea Level,2020-08-01,19:20:21,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OC1yoWxbgTrB.json,OC,RREEPPLLAACCEE/OC/1y/OC1yoWxbgTrB.mp4,RREEPPLLAACCEE/OC/1y/OC1yoWxbgTrB_small.mp4
Unavailable,37.8021,86.0036,215.386,Above Sea Level,2020-12-09,21:03:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OC72NU8XkDye.json,OC,RREEPPLLAACCEE/OC/72/OC72NU8XkDye.mp4,RREEPPLLAACCEE/OC/72/OC72NU8XkDye_small.mp4
Unavailable,35.9197,90.5741,85.976,Above Sea Level,2020-11-19,13:18:38,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OCFPEjyUQ6oR.json,OC,RREEPPLLAACCEE/OC/FP/OCFPEjyUQ6oR.mp4,RREEPPLLAACCEE/OC/FP/OCFPEjyUQ6oR_small.mp4
Unavailable,53.5400,2.7018,91.51,Above Sea Level,2020-06-20,17:45:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OCFqQzHbmKIE.json,OC,RREEPPLLAACCEE/OC/Fq/OCFqQzHbmKIE.mp4,RREEPPLLAACCEE/OC/Fq/OCFqQzHbmKIE_small.mp4
Unavailable,38.8900,77.0061,26.599,Above Sea Level,2020-11-14,18:33:13,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OCJgmPofV5PZ.json,OC,RREEPPLLAACCEE/OC/Jg/OCJgmPofV5PZ.mp4,RREEPPLLAACCEE/OC/Jg/OCJgmPofV5PZ_small.mp4
Unavailable,36.0354,115.0069,0,Unavailable,2020-09-14,02:10:32,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OCL9eFSdc9qf.json,OC,RREEPPLLAACCEE/OC/L9/OCL9eFSdc9qf.mp4,RREEPPLLAACCEE/OC/L9/OCL9eFSdc9qf_small.mp4
