Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
hanso,0,0,0,Unavailable,2020-12-17,22:54:39,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-ABzobqef3N70.json,AB,RREEPPLLAACCEE/AB/zo/ABzobqef3N70.mp4,RREEPPLLAACCEE/AB/zo/ABzobqef3N70_small.mp4
paulg,0,0,0,Unavailable,2020-09-08,03:22:13,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-Ab7GrCB4jnt6.json,Ab,RREEPPLLAACCEE/Ab/7G/Ab7GrCB4jnt6.mp4,RREEPPLLAACCEE/Ab/7G/Ab7GrCB4jnt6_small.mp4
mccleary,0,0,0,Unavailable,2019-10-30,17:10:43,Unavailable,Unavailable,Unavailable,Unavailable,mccleary,mccleary,mccleary,meta-AbCD22TCgx1y.json,Ab,RREEPPLLAACCEE/Ab/CD/AbCD22TCgx1y.mp4,RREEPPLLAACCEE/Ab/CD/AbCD22TCgx1y_small.mp4
macstoddard,0,0,0,Unavailable,2020-07-06,16:33:27,Unavailable,Unavailable,Unavailable,Unavailable,macstoddard,macstoddard,macstoddard,meta-AbJNjQLCIraC.json,Ab,RREEPPLLAACCEE/Ab/JN/AbJNjQLCIraC.mp4,RREEPPLLAACCEE/Ab/JN/AbJNjQLCIraC_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-10-14,17:55:32,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-aBvs3y1414kj.json,aB,RREEPPLLAACCEE/aB/vs/aBvs3y1414kj.mp4,RREEPPLLAACCEE/aB/vs/aBvs3y1414kj_small.mp4
Deco,0,0,0,Unavailable,2020-11-01,00:08:55,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-abJvPTO603b0.json,ab,RREEPPLLAACCEE/ab/Jv/abJvPTO603b0.mp4,RREEPPLLAACCEE/ab/Jv/abJvPTO603b0_small.mp4
Jerry,0,0,0,Unavailable,2020-12-02,02:22:54,Unavailable,Unavailable,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-abeAtwyex8eh.json,ab,RREEPPLLAACCEE/ab/eA/abeAtwyex8eh.mp4,RREEPPLLAACCEE/ab/eA/abeAtwyex8eh_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-03,19:14:12,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-abfi4RqGIauf.json,ab,RREEPPLLAACCEE/ab/fi/abfi4RqGIauf.mp4,RREEPPLLAACCEE/ab/fi/abfi4RqGIauf_small.mp4
Unavailable,26.3341,80.2948,6.577,Above Sea Level,2020-09-01,18:02:05,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AB46fWMTnx0E.json,AB,RREEPPLLAACCEE/AB/46/AB46fWMTnx0E.mp4,RREEPPLLAACCEE/AB/46/AB46fWMTnx0E_small.mp4
Unavailable,40.1263,76.2336,100.761,Above Sea Level,2020-12-16,17:03:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AB77XnvQ4DL7.json,AB,RREEPPLLAACCEE/AB/77/AB77XnvQ4DL7.mp4,RREEPPLLAACCEE/AB/77/AB77XnvQ4DL7_small.mp4
Unavailable,33.6980,117.9084,11.259,Above Sea Level,2020-12-23,20:04:36,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AB8YaU7Czmcu.json,AB,RREEPPLLAACCEE/AB/8Y/AB8YaU7Czmcu.mp4,RREEPPLLAACCEE/AB/8Y/AB8YaU7Czmcu_small.mp4
Unavailable,40.3706,74.3740,9.407,Above Sea Level,2020-11-12,16:17:23,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AB8ZePi3o11x.json,AB,RREEPPLLAACCEE/AB/8Z/AB8ZePi3o11x.mp4,RREEPPLLAACCEE/AB/8Z/AB8ZePi3o11x_small.mp4
Unavailable,42.6068,83.0470,193.808,Above Sea Level,2020-11-01,16:54:54,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABDsixvyXBZl.json,AB,RREEPPLLAACCEE/AB/Ds/ABDsixvyXBZl.mp4,RREEPPLLAACCEE/AB/Ds/ABDsixvyXBZl_small.mp4
Unavailable,42.3967,96.3630,334.549,Above Sea Level,2020-11-18,21:13:46,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABIGl0SBmX2R.json,AB,RREEPPLLAACCEE/AB/IG/ABIGl0SBmX2R.mp4,RREEPPLLAACCEE/AB/IG/ABIGl0SBmX2R_small.mp4
Unavailable,34.6047,98.3984,0,Unavailable,2020-10-15,20:27:13,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABTSvWGNxZNz.json,AB,RREEPPLLAACCEE/AB/TS/ABTSvWGNxZNz.mp4,RREEPPLLAACCEE/AB/TS/ABTSvWGNxZNz_small.mp4
Unavailable,47.9719,117.5376,660.138,Above Sea Level,2020-11-16,20:30:02,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABYOFSAJ1tnL.json,AB,RREEPPLLAACCEE/AB/YO/ABYOFSAJ1tnL.mp4,RREEPPLLAACCEE/AB/YO/ABYOFSAJ1tnL_small.mp4
Unavailable,30.0793,95.1103,23.6,Above Sea Level,2020-06-26,23:21:05,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABYvyshzjfZr.json,AB,RREEPPLLAACCEE/AB/Yv/ABYvyshzjfZr.mp4,RREEPPLLAACCEE/AB/Yv/ABYvyshzjfZr_small.mp4
Unavailable,29.9396,92.6274,2.117,Above Sea Level,2020-04-24,00:45:13,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABgVnZLnHaLb.json,AB,RREEPPLLAACCEE/AB/gV/ABgVnZLnHaLb.mp4,RREEPPLLAACCEE/AB/gV/ABgVnZLnHaLb_small.mp4
Unavailable,33.9181,118.3788,27.885,Above Sea Level,2020-10-08,15:20:42,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABnPGyPZs9HC.json,AB,RREEPPLLAACCEE/AB/nP/ABnPGyPZs9HC.mp4,RREEPPLLAACCEE/AB/nP/ABnPGyPZs9HC_small.mp4
Unavailable,41.0706,71.9386,2.156,Above Sea Level,2020-12-24,19:36:44,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABnVdkut7o8b.json,AB,RREEPPLLAACCEE/AB/nV/ABnVdkut7o8b.mp4,RREEPPLLAACCEE/AB/nV/ABnVdkut7o8b_small.mp4
Unavailable,40.1212,75.0051,0,Unavailable,2021-01-02,16:30:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABuJWDX1OX9u.json,AB,RREEPPLLAACCEE/AB/uJ/ABuJWDX1OX9u.mp4,RREEPPLLAACCEE/AB/uJ/ABuJWDX1OX9u_small.mp4
Unavailable,59.3847,17.0401,7.351,Above Sea Level,2020-11-27,19:05:56,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ABwmudyswAQ7.json,AB,RREEPPLLAACCEE/AB/wm/ABwmudyswAQ7.mp4,RREEPPLLAACCEE/AB/wm/ABwmudyswAQ7_small.mp4
Unavailable,40.6723,73.9697,44.925,Above Sea Level,2020-12-06,20:52:09,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ab20mhIauAMo.json,Ab,RREEPPLLAACCEE/Ab/20/Ab20mhIauAMo.mp4,RREEPPLLAACCEE/Ab/20/Ab20mhIauAMo_small.mp4
Unavailable,40.5851,124.1572,14.354,Above Sea Level,2020-11-16,06:56:42,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ab45Z1RCPWzy.json,Ab,RREEPPLLAACCEE/Ab/45/Ab45Z1RCPWzy.mp4,RREEPPLLAACCEE/Ab/45/Ab45Z1RCPWzy_small.mp4
