Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
kclements,0,0,0,Unavailable,2021-01-09,13:14:45,Unavailable,Unavailable,Unavailable,Unavailable,kclements,kclements,kclements,meta-6i3Qd4pUR0p7.json,6i,RREEPPLLAACCEE/6i/3Q/6i3Qd4pUR0p7.mp4,RREEPPLLAACCEE/6i/3Q/6i3Qd4pUR0p7_small.mp4
Unavailable,30.0124,90.2250,0.727,Above Sea Level,2020-12-01,04:12:38,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1Gezo1ltUC.json,6I,RREEPPLLAACCEE/6I/1G/6I1Gezo1ltUC.mp4,RREEPPLLAACCEE/6I/1G/6I1Gezo1ltUC_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:54:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I3Le5OFw7Rs.json,6I,RREEPPLLAACCEE/6I/3L/6I3Le5OFw7Rs.mp4,RREEPPLLAACCEE/6I/3L/6I3Le5OFw7Rs_small.mp4
Unavailable,37.1440,79.4272,263.464,Above Sea Level,2020-11-17,22:05:36,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I78PJeYwjgc.json,6I,RREEPPLLAACCEE/6I/78/6I78PJeYwjgc.mp4,RREEPPLLAACCEE/6I/78/6I78PJeYwjgc_small.mp4
Unavailable,44.8508,20.3810,0,Unavailable,2020-12-21,21:41:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6II1EasLIptB.json,6I,RREEPPLLAACCEE/6I/I1/6II1EasLIptB.mp4,RREEPPLLAACCEE/6I/I1/6II1EasLIptB_small.mp4
Unavailable,41.6432,70.2038,0,Unavailable,2020-11-07,14:08:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6INELkiv1PVO.json,6I,RREEPPLLAACCEE/6I/NE/6INELkiv1PVO.mp4,RREEPPLLAACCEE/6I/NE/6INELkiv1PVO_small.mp4
Unavailable,33.4477,112.0953,327.19,Above Sea Level,2020-12-20,03:35:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6IOM1ghKKZPv.json,6I,RREEPPLLAACCEE/6I/OM/6IOM1ghKKZPv.mp4,RREEPPLLAACCEE/6I/OM/6IOM1ghKKZPv_small.mp4
Unavailable,33.4480,112.0963,328.451,Above Sea Level,2020-11-07,19:35:11,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6IWrcpmcf0ul.json,6I,RREEPPLLAACCEE/6I/Wr/6IWrcpmcf0ul.mp4,RREEPPLLAACCEE/6I/Wr/6IWrcpmcf0ul_small.mp4
Unavailable,39.0174,75.5703,19.161,Above Sea Level,2020-11-16,01:34:30,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6IZaEpY0Wape.json,6I,RREEPPLLAACCEE/6I/Za/6IZaEpY0Wape.mp4,RREEPPLLAACCEE/6I/Za/6IZaEpY0Wape_small.mp4
Unavailable,41.1968,96.0615,361.796,Above Sea Level,2020-12-12,20:09:48,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6Idp4ChOFoXC.json,6I,RREEPPLLAACCEE/6I/dp/6Idp4ChOFoXC.mp4,RREEPPLLAACCEE/6I/dp/6Idp4ChOFoXC_small.mp4
Unavailable,30.1162,97.3330,104,Above Sea Level,2014-03-27,12:54:54,Apple,iPhone 4,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6Ig4nFkwXBGI.json,6I,RREEPPLLAACCEE/6I/g4/6Ig4nFkwXBGI.mp4,RREEPPLLAACCEE/6I/g4/6Ig4nFkwXBGI_small.mp4
Unavailable,34.9559,79.0341,40.93,Above Sea Level,2020-12-07,03:47:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6IxQYn26Nmy7.json,6I,RREEPPLLAACCEE/6I/xQ/6IxQYn26Nmy7.mp4,RREEPPLLAACCEE/6I/xQ/6IxQYn26Nmy7_small.mp4
Unavailable,27.9219,82.4933,6.351,Above Sea Level,2020-11-09,12:24:41,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6i2w1DPaWl45.json,6i,RREEPPLLAACCEE/6i/2w/6i2w1DPaWl45.mp4,RREEPPLLAACCEE/6i/2w/6i2w1DPaWl45_small.mp4
Unavailable,36.7167,76.2428,1.939,Above Sea Level,2020-11-17,19:09:19,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6i6nYkNMLqHl.json,6i,RREEPPLLAACCEE/6i/6n/6i6nYkNMLqHl.mp4,RREEPPLLAACCEE/6i/6n/6i6nYkNMLqHl_small.mp4
Unavailable,45.6409,84.4596,0,Unavailable,2020-09-08,19:20:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iCV3MjI6F7A.json,6i,RREEPPLLAACCEE/6i/CV/6iCV3MjI6F7A.mp4,RREEPPLLAACCEE/6i/CV/6iCV3MjI6F7A_small.mp4
Unavailable,37.8421,82.4082,200.808,Above Sea Level,2020-12-19,17:34:34,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iLqi5SrzKH2.json,6i,RREEPPLLAACCEE/6i/Lq/6iLqi5SrzKH2.mp4,RREEPPLLAACCEE/6i/Lq/6iLqi5SrzKH2_small.mp4
Unavailable,39.1863,78.1152,198.778,Above Sea Level,2020-11-11,04:28:25,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iQ6TJr4lAcg.json,6i,RREEPPLLAACCEE/6i/Q6/6iQ6TJr4lAcg.mp4,RREEPPLLAACCEE/6i/Q6/6iQ6TJr4lAcg_small.mp4
Unavailable,42.5192,94.1748,335.999,Above Sea Level,2020-09-21,01:27:28,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iRzR9rVKRYu.json,6i,RREEPPLLAACCEE/6i/Rz/6iRzR9rVKRYu.mp4,RREEPPLLAACCEE/6i/Rz/6iRzR9rVKRYu_small.mp4
Unavailable,40.0095,123.7902,137.377,Above Sea Level,2020-11-17,09:01:09,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iSGs4JnI1on.json,6i,RREEPPLLAACCEE/6i/SG/6iSGs4JnI1on.mp4,RREEPPLLAACCEE/6i/SG/6iSGs4JnI1on_small.mp4
Unavailable,30.0164,51.1827,32.765,Above Sea Level,2020-11-04,14:48:11,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iUIA60lI9Og.json,6i,RREEPPLLAACCEE/6i/UI/6iUIA60lI9Og.mp4,RREEPPLLAACCEE/6i/UI/6iUIA60lI9Og_small.mp4
Unavailable,33.7157,118.2670,1.729,Above Sea Level,2020-11-11,19:00:07,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iV5ytJnfgLo.json,6i,RREEPPLLAACCEE/6i/V5/6iV5ytJnfgLo.mp4,RREEPPLLAACCEE/6i/V5/6iV5ytJnfgLo_small.mp4
Unavailable,33.0519,96.7873,208.888,Above Sea Level,2020-11-28,03:02:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iZC3j3Z1z4c.json,6i,RREEPPLLAACCEE/6i/ZC/6iZC3j3Z1z4c.mp4,RREEPPLLAACCEE/6i/ZC/6iZC3j3Z1z4c_small.mp4
Unavailable,38.6487,121.1178,119.221,Above Sea Level,2020-11-29,00:19:50,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6iZwA5m6ztTz.json,6i,RREEPPLLAACCEE/6i/Zw/6iZwA5m6ztTz.mp4,RREEPPLLAACCEE/6i/Zw/6iZwA5m6ztTz_small.mp4
Unavailable,35.3559,80.6809,208.251,Above Sea Level,2020-12-14,01:04:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6ihF11v33Ty1.json,6i,RREEPPLLAACCEE/6i/hF/6ihF11v33Ty1.mp4,RREEPPLLAACCEE/6i/hF/6ihF11v33Ty1_small.mp4
Unavailable,40.6028,74.3150,29.349,Above Sea Level,2020-10-01,15:53:51,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6ikiAlLkP8Ii.json,6i,RREEPPLLAACCEE/6i/ki/6ikiAlLkP8Ii.mp4,RREEPPLLAACCEE/6i/ki/6ikiAlLkP8Ii_small.mp4
Unavailable,38.8615,77.0530,0,Unavailable,2020-11-14,13:37:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6ikjfZqv0qea.json,6i,RREEPPLLAACCEE/6i/kj/6ikjfZqv0qea.mp4,RREEPPLLAACCEE/6i/kj/6ikjfZqv0qea_small.mp4
Unavailable,33.9189,117.9916,0,Unavailable,2020-11-09,23:36:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6ism4pKONv3O.json,6i,RREEPPLLAACCEE/6i/sm/6ism4pKONv3O.mp4,RREEPPLLAACCEE/6i/sm/6ism4pKONv3O_small.mp4
Unavailable,33.4929,84.3686,265.589,Above Sea Level,2020-04-10,03:52:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6its638ajNww.json,6i,RREEPPLLAACCEE/6i/ts/6its638ajNww.mp4,RREEPPLLAACCEE/6i/ts/6its638ajNww_small.mp4
Unavailable,27.5673,99.5005,131.354,Above Sea Level,2020-09-12,17:34:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6izKUS4G1oxO.json,6i,RREEPPLLAACCEE/6i/zK/6izKUS4G1oxO.mp4,RREEPPLLAACCEE/6i/zK/6izKUS4G1oxO_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I05FowZjR7P.json,6I,RREEPPLLAACCEE/6I/05/6I05FowZjR7P.mp4,RREEPPLLAACCEE/6I/05/6I05FowZjR7P_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1VCyoSGucK.json,6I,RREEPPLLAACCEE/6I/1V/6I1VCyoSGucK.mp4,RREEPPLLAACCEE/6I/1V/6I1VCyoSGucK_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-12,00:35:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1WOIoUTfIp.json,6I,RREEPPLLAACCEE/6I/1W/6I1WOIoUTfIp.mp4,RREEPPLLAACCEE/6I/1W/6I1WOIoUTfIp_small.mp4
Unavailable,0,0,0,Unavailable,2019-02-07,22:32:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1i4yRWuL50.json,6I,RREEPPLLAACCEE/6I/1i/6I1i4yRWuL50.mp4,RREEPPLLAACCEE/6I/1i/6I1i4yRWuL50_small.mp4
Unavailable,0,0,0,Unavailable,2020-07-19,13:39:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1iMsGEE4nw.json,6I,RREEPPLLAACCEE/6I/1i/6I1iMsGEE4nw.mp4,RREEPPLLAACCEE/6I/1i/6I1iMsGEE4nw_small.mp4
Unavailable,0,0,0,Unavailable,2020-10-24,04:14:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I1im7NCVDOr.json,6I,RREEPPLLAACCEE/6I/1i/6I1im7NCVDOr.mp4,RREEPPLLAACCEE/6I/1i/6I1im7NCVDOr_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6I2E7uYBGIMy.json,6I,RREEPPLLAACCEE/6I/2E/6I2E7uYBGIMy.mp4,RREEPPLLAACCEE/6I/2E/6I2E7uYBGIMy_small.mp4
