Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
brentpella,0,0,0,Unavailable,2020-11-20,08:56:19,Unavailable,Unavailable,Unavailable,Unavailable,brentpella,brentpella,brentpella,meta-SC0EUUSHQ5aT.json,SC,RREEPPLLAACCEE/SC/0E/SC0EUUSHQ5aT.mp4,RREEPPLLAACCEE/SC/0E/SC0EUUSHQ5aT_small.mp4
User,0,0,0,Unavailable,2020-12-31,09:17:31,,,Unavailable,Unavailable,User,User,User,meta-SCSQ39KWq0lo.json,SC,RREEPPLLAACCEE/SC/SQ/SCSQ39KWq0lo.mp4,RREEPPLLAACCEE/SC/SQ/SCSQ39KWq0lo_small.mp4
Vakars,0,0,0,Unavailable,2020-07-31,09:35:14,Unavailable,Unavailable,Unavailable,Unavailable,Vakars,Vakars,Vakars,meta-SCjdKCgwnit5.json,SC,RREEPPLLAACCEE/SC/jd/SCjdKCgwnit5.mp4,RREEPPLLAACCEE/SC/jd/SCjdKCgwnit5_small.mp4
lyubovshteyn,0,0,0,Unavailable,2020-08-11,21:30:04,Unavailable,Unavailable,Unavailable,Unavailable,lyubovshteyn,lyubovshteyn,lyubovshteyn,meta-sC0azDJCBjNC.json,sC,RREEPPLLAACCEE/sC/0a/sC0azDJCBjNC.mp4,RREEPPLLAACCEE/sC/0a/sC0azDJCBjNC_small.mp4
Josiah,0,0,0,Unavailable,2020-09-29,02:28:52,Unavailable,Unavailable,Unavailable,Unavailable,Josiah,Josiah,Josiah,meta-sC5ZO2LN61Yb.json,sC,RREEPPLLAACCEE/sC/5Z/sC5ZO2LN61Yb.mp4,RREEPPLLAACCEE/sC/5Z/sC5ZO2LN61Yb_small.mp4
wmiller,0,0,0,Unavailable,2020-11-15,17:14:02,Unavailable,,Unavailable,Unavailable,wmiller,wmiller,wmiller,meta-sCoD5nIuVavz.json,sC,RREEPPLLAACCEE/sC/oD/sCoD5nIuVavz.mp4,RREEPPLLAACCEE/sC/oD/sCoD5nIuVavz_small.mp4
--,0,0,0,Unavailable,2020-11-15,00:28:26,Unavailable,Unavailable,Unavailable,Unavailable,--,--,--,meta-sCtKNpvXqx31.json,sC,RREEPPLLAACCEE/sC/tK/sCtKNpvXqx31.mp4,RREEPPLLAACCEE/sC/tK/sCtKNpvXqx31_small.mp4
matteo,0,0,0,Unavailable,2020-02-14,01:34:59,Unavailable,Unavailable,Unavailable,Unavailable,matteo,matteo,matteo,meta-scH2sCAk3YVd.json,sc,RREEPPLLAACCEE/sc/H2/scH2sCAk3YVd.mp4,RREEPPLLAACCEE/sc/H2/scH2sCAk3YVd_small.mp4
julian,0,0,0,Unavailable,2020-02-18,22:30:33,Unavailable,Unavailable,Unavailable,Unavailable,juliangamez,juliangamez,juliangamez,meta-scLXCG5smxQn.json,sc,RREEPPLLAACCEE/sc/LX/scLXCG5smxQn.mp4,RREEPPLLAACCEE/sc/LX/scLXCG5smxQn_small.mp4
janaekinne,0,0,0,Unavailable,2020-06-29,21:30:17,Unavailable,Unavailable,Unavailable,Unavailable,janaekinne,janaekinne,janaekinne,meta-scazWdPlphmV.json,sc,RREEPPLLAACCEE/sc/az/scazWdPlphmV.mp4,RREEPPLLAACCEE/sc/az/scazWdPlphmV_small.mp4
Unavailable,42.7538,71.2260,0,Unavailable,2020-12-02,01:53:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SC0NKymrMEQH.json,SC,RREEPPLLAACCEE/SC/0N/SC0NKymrMEQH.mp4,RREEPPLLAACCEE/SC/0N/SC0NKymrMEQH_small.mp4
Unavailable,36.8748,75.9805,1.946,Above Sea Level,2020-07-12,09:12:23,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SC0nfd61fDWC.json,SC,RREEPPLLAACCEE/SC/0n/SC0nfd61fDWC.mp4,RREEPPLLAACCEE/SC/0n/SC0nfd61fDWC_small.mp4
Unavailable,47.3862,122.6141,85.241,Above Sea Level,2021-01-06,02:47:18,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SC4wVPlv46NG.json,SC,RREEPPLLAACCEE/SC/4w/SC4wVPlv46NG.mp4,RREEPPLLAACCEE/SC/4w/SC4wVPlv46NG_small.mp4
Unavailable,33.1491,97.6461,0,Unavailable,2017-07-21,15:17:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SC5H41CweJNz.json,SC,RREEPPLLAACCEE/SC/5H/SC5H41CweJNz.mp4,RREEPPLLAACCEE/SC/5H/SC5H41CweJNz_small.mp4
Unavailable,28.3410,80.7501,5.411,Above Sea Level,2020-10-08,03:07:35,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SC75XbzI5Up7.json,SC,RREEPPLLAACCEE/SC/75/SC75XbzI5Up7.mp4,RREEPPLLAACCEE/SC/75/SC75XbzI5Up7_small.mp4
Unavailable,36.0321,115.0618,613.79,Above Sea Level,2020-06-06,03:02:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCDiiUiHHQuf.json,SC,RREEPPLLAACCEE/SC/Di/SCDiiUiHHQuf.mp4,RREEPPLLAACCEE/SC/Di/SCDiiUiHHQuf_small.mp4
Unavailable,33.5257,101.8434,977.568,Above Sea Level,2020-09-27,23:28:50,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCfXroHxUOk0.json,SC,RREEPPLLAACCEE/SC/fX/SCfXroHxUOk0.mp4,RREEPPLLAACCEE/SC/fX/SCfXroHxUOk0_small.mp4
Unavailable,40.2531,77.1784,150.085,Above Sea Level,2021-01-06,19:33:55,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCiLr6W7Rv2R.json,SC,RREEPPLLAACCEE/SC/iL/SCiLr6W7Rv2R.mp4,RREEPPLLAACCEE/SC/iL/SCiLr6W7Rv2R_small.mp4
Unavailable,38.4169,82.1136,201.88,Above Sea Level,2020-08-28,15:11:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCiQ03CiZCIo.json,SC,RREEPPLLAACCEE/SC/iQ/SCiQ03CiZCIo.mp4,RREEPPLLAACCEE/SC/iQ/SCiQ03CiZCIo_small.mp4
Unavailable,36.1152,86.0497,223.164,Above Sea Level,2020-11-06,00:59:48,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCk10QBKg2Hh.json,SC,RREEPPLLAACCEE/SC/k1/SCk10QBKg2Hh.mp4,RREEPPLLAACCEE/SC/k1/SCk10QBKg2Hh_small.mp4
Unavailable,30.1440,95.4160,37.851,Above Sea Level,2020-12-02,03:06:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCmY1WioEBvX.json,SC,RREEPPLLAACCEE/SC/mY/SCmY1WioEBvX.mp4,RREEPPLLAACCEE/SC/mY/SCmY1WioEBvX_small.mp4
Unavailable,35.8071,81.2413,0,Unavailable,2020-07-06,18:33:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCsAivUMayZc.json,SC,RREEPPLLAACCEE/SC/sA/SCsAivUMayZc.mp4,RREEPPLLAACCEE/SC/sA/SCsAivUMayZc_small.mp4
Unavailable,35.6093,84.4774,0,Unavailable,2020-11-08,19:21:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCslPuwE1hDa.json,SC,RREEPPLLAACCEE/SC/sl/SCslPuwE1hDa.mp4,RREEPPLLAACCEE/SC/sl/SCslPuwE1hDa_small.mp4
Unavailable,42.5290,98.9710,0,Unavailable,2020-12-29,16:08:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCueB9pMyu3A.json,SC,RREEPPLLAACCEE/SC/ue/SCueB9pMyu3A.mp4,RREEPPLLAACCEE/SC/ue/SCueB9pMyu3A_small.mp4
Unavailable,44.5505,100.4874,0,Unavailable,2021-01-01,20:14:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCzIN2RkGB9H.json,SC,RREEPPLLAACCEE/SC/zI/SCzIN2RkGB9H.mp4,RREEPPLLAACCEE/SC/zI/SCzIN2RkGB9H_small.mp4
Unavailable,42.9242,76.5858,193.78,Above Sea Level,2020-05-28,21:19:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCzQWZgxpJmn.json,SC,RREEPPLLAACCEE/SC/zQ/SCzQWZgxpJmn.mp4,RREEPPLLAACCEE/SC/zQ/SCzQWZgxpJmn_small.mp4
Unavailable,35.4389,77.9790,40.225,Above Sea Level,2020-07-23,23:12:02,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCzVFJm1hpzi.json,SC,RREEPPLLAACCEE/SC/zV/SCzVFJm1hpzi.mp4,RREEPPLLAACCEE/SC/zV/SCzVFJm1hpzi_small.mp4
Unavailable,39.3845,84.3314,252.19,Above Sea Level,2020-10-19,23:07:20,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SCzpFxvyEdzU.json,SC,RREEPPLLAACCEE/SC/zp/SCzpFxvyEdzU.mp4,RREEPPLLAACCEE/SC/zp/SCzpFxvyEdzU_small.mp4
Unavailable,37.0981,84.6227,287.822,Above Sea Level,2020-12-04,17:36:17,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Sc8i5fd5b1Q8.json,Sc,RREEPPLLAACCEE/Sc/8i/Sc8i5fd5b1Q8.mp4,RREEPPLLAACCEE/Sc/8i/Sc8i5fd5b1Q8_small.mp4
Unavailable,27.8467,82.8346,3.962,Above Sea Level,2020-08-25,12:55:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScMaaE7ctkaq.json,Sc,RREEPPLLAACCEE/Sc/Ma/ScMaaE7ctkaq.mp4,RREEPPLLAACCEE/Sc/Ma/ScMaaE7ctkaq_small.mp4
Unavailable,44.6827,103.8547,936.416,Above Sea Level,2020-09-23,01:21:06,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScN6UVAGjLhm.json,Sc,RREEPPLLAACCEE/Sc/N6/ScN6UVAGjLhm.mp4,RREEPPLLAACCEE/Sc/N6/ScN6UVAGjLhm_small.mp4
Unavailable,47.1739,116.9639,778.457,Above Sea Level,2020-03-26,20:50:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScPmGgwt7Abx.json,Sc,RREEPPLLAACCEE/Sc/Pm/ScPmGgwt7Abx.mp4,RREEPPLLAACCEE/Sc/Pm/ScPmGgwt7Abx_small.mp4
Unavailable,40.6363,75.4120,109.769,Above Sea Level,2020-11-14,02:39:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScQd53o51Wfj.json,Sc,RREEPPLLAACCEE/Sc/Qd/ScQd53o51Wfj.mp4,RREEPPLLAACCEE/Sc/Qd/ScQd53o51Wfj_small.mp4
Unavailable,38.9057,77.0265,32.875,Above Sea Level,2020-10-30,21:58:07,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScRM5PVSLc0b.json,Sc,RREEPPLLAACCEE/Sc/RM/ScRM5PVSLc0b.mp4,RREEPPLLAACCEE/Sc/RM/ScRM5PVSLc0b_small.mp4
Unavailable,28.3447,81.4363,0,Unavailable,2020-11-16,00:29:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScSFcKro5Hx1.json,Sc,RREEPPLLAACCEE/Sc/SF/ScSFcKro5Hx1.mp4,RREEPPLLAACCEE/Sc/SF/ScSFcKro5Hx1_small.mp4
Unavailable,26.2460,80.0939,2.265,Above Sea Level,2020-12-04,01:29:43,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScSGD0YbwhKp.json,Sc,RREEPPLLAACCEE/Sc/SG/ScSGD0YbwhKp.mp4,RREEPPLLAACCEE/Sc/SG/ScSGD0YbwhKp_small.mp4
Unavailable,38.8899,77.0103,18.015,Above Sea Level,2021-01-06,18:19:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScT8XU9t70YC.json,Sc,RREEPPLLAACCEE/Sc/T8/ScT8XU9t70YC.mp4,RREEPPLLAACCEE/Sc/T8/ScT8XU9t70YC_small.mp4
Unavailable,41.2073,73.7436,0,Unavailable,2020-12-06,19:41:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScYd9ZcVZWB2.json,Sc,RREEPPLLAACCEE/Sc/Yd/ScYd9ZcVZWB2.mp4,RREEPPLLAACCEE/Sc/Yd/ScYd9ZcVZWB2_small.mp4
Unavailable,42.3861,71.0154,8.96,Above Sea Level,2020-06-10,17:10:46,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScZRuqxOLuzE.json,Sc,RREEPPLLAACCEE/Sc/ZR/ScZRuqxOLuzE.mp4,RREEPPLLAACCEE/Sc/ZR/ScZRuqxOLuzE_small.mp4
Unavailable,33.9163,117.3357,487.693,Above Sea Level,2020-07-22,15:21:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScjlloWpQWFd.json,Sc,RREEPPLLAACCEE/Sc/jl/ScjlloWpQWFd.mp4,RREEPPLLAACCEE/Sc/jl/ScjlloWpQWFd_small.mp4
Unavailable,40.2679,123.8521,71.878,Above Sea Level,2020-12-19,11:20:16,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Scjuq13kSObi.json,Sc,RREEPPLLAACCEE/Sc/ju/Scjuq13kSObi.mp4,RREEPPLLAACCEE/Sc/ju/Scjuq13kSObi_small.mp4
Unavailable,40.7369,73.5166,31.254,Above Sea Level,2020-12-03,02:18:43,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Scp0yWHjg1zp.json,Sc,RREEPPLLAACCEE/Sc/p0/Scp0yWHjg1zp.mp4,RREEPPLLAACCEE/Sc/p0/Scp0yWHjg1zp_small.mp4
Unavailable,41.8883,93.4007,265.483,Above Sea Level,2020-03-07,18:32:12,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScvFbIawiTVg.json,Sc,RREEPPLLAACCEE/Sc/vF/ScvFbIawiTVg.mp4,RREEPPLLAACCEE/Sc/vF/ScvFbIawiTVg_small.mp4
Unavailable,40.0890,74.1448,16.007,Above Sea Level,2021-01-10,02:17:52,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ScwlwyIjKvlq.json,Sc,RREEPPLLAACCEE/Sc/wl/ScwlwyIjKvlq.mp4,RREEPPLLAACCEE/Sc/wl/ScwlwyIjKvlq_small.mp4
