Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
chapl,0,0,0,Unavailable,2020-11-09,18:47:24,Unavailable,,Unavailable,Unavailable,chapl,chapl,chapl,meta-VNogRTN7qbbA.json,VN,RREEPPLLAACCEE/VN/og/VNogRTN7qbbA.mp4,RREEPPLLAACCEE/VN/og/VNogRTN7qbbA_small.mp4
matthewbane,0,0,0,Unavailable,2020-07-06,22:02:22,Apple,,Unavailable,Unavailable,matthewbane,matthewbane,matthewbane,meta-VnEVuGwXIxAM.json,Vn,RREEPPLLAACCEE/Vn/EV/VnEVuGwXIxAM.mp4,RREEPPLLAACCEE/Vn/EV/VnEVuGwXIxAM_small.mp4
12082,0,0,0,Unavailable,2020-12-11,17:36:23,Unavailable,,Unavailable,Unavailable,12082,12082,12082,meta-VnO79kvctLY3.json,Vn,RREEPPLLAACCEE/Vn/O7/VnO79kvctLY3.mp4,RREEPPLLAACCEE/Vn/O7/VnO79kvctLY3_small.mp4
melinachan,0,0,0,Unavailable,2020-12-23,21:41:14,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-VnavKL4ZVUBc.json,Vn,RREEPPLLAACCEE/Vn/av/VnavKL4ZVUBc.mp4,RREEPPLLAACCEE/Vn/av/VnavKL4ZVUBc_small.mp4
Heather,0,0,0,Unavailable,2019-01-16,00:23:53,samsung,,Unavailable,Unavailable,Heather,Heather,Heather,meta-VngCcmAaXlxM.json,Vn,RREEPPLLAACCEE/Vn/gC/VngCcmAaXlxM.mp4,RREEPPLLAACCEE/Vn/gC/VngCcmAaXlxM_small.mp4
Michael Pimpo,0,0,0,Unavailable,2020-04-15,14:34:54,Unavailable,Unavailable,Unavailable,Unavailable,Michael Pimpo,Michael Pimpo,Michael Pimpo,meta-vNhHv5Drymwm.json,vN,RREEPPLLAACCEE/vN/hH/vNhHv5Drymwm.mp4,RREEPPLLAACCEE/vN/hH/vNhHv5Drymwm_small.mp4
Unavailable,33.6045,117.8908,2.781,Above Sea Level,2020-08-26,22:46:29,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VN2xeJJN9iOT.json,VN,RREEPPLLAACCEE/VN/2x/VN2xeJJN9iOT.mp4,RREEPPLLAACCEE/VN/2x/VN2xeJJN9iOT_small.mp4
Unavailable,36.2715,86.6690,0,Unavailable,2020-12-23,01:12:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VN4Cna96yI9z.json,VN,RREEPPLLAACCEE/VN/4C/VN4Cna96yI9z.mp4,RREEPPLLAACCEE/VN/4C/VN4Cna96yI9z_small.mp4
Unavailable,40.2402,80.6608,203.495,Above Sea Level,2020-12-23,14:02:43,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VN6QHZYHo06f.json,VN,RREEPPLLAACCEE/VN/6Q/VN6QHZYHo06f.mp4,RREEPPLLAACCEE/VN/6Q/VN6QHZYHo06f_small.mp4
Unavailable,27.6801,97.3519,5.275,Above Sea Level,2021-01-05,11:41:36,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VN6UJ3IOnXMw.json,VN,RREEPPLLAACCEE/VN/6U/VN6UJ3IOnXMw.mp4,RREEPPLLAACCEE/VN/6U/VN6UJ3IOnXMw_small.mp4
Unavailable,51.7787,4.8662,6.101,Above Sea Level,2020-09-14,15:49:19,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNB6acMzHJKI.json,VN,RREEPPLLAACCEE/VN/B6/VNB6acMzHJKI.mp4,RREEPPLLAACCEE/VN/B6/VNB6acMzHJKI_small.mp4
Unavailable,15.7954,47.8887,1112.718,Above Sea Level,2020-07-02,19:55:27,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNFRcnUKHhqF.json,VN,RREEPPLLAACCEE/VN/FR/VNFRcnUKHhqF.mp4,RREEPPLLAACCEE/VN/FR/VNFRcnUKHhqF_small.mp4
Unavailable,37.0259,121.6043,69.411,Above Sea Level,2020-07-10,19:20:09,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNGJiLspljUE.json,VN,RREEPPLLAACCEE/VN/GJ/VNGJiLspljUE.mp4,RREEPPLLAACCEE/VN/GJ/VNGJiLspljUE_small.mp4
Unavailable,38.5730,89.8766,157.85,Above Sea Level,2020-04-12,14:23:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNJHkcyqKBnl.json,VN,RREEPPLLAACCEE/VN/JH/VNJHkcyqKBnl.mp4,RREEPPLLAACCEE/VN/JH/VNJHkcyqKBnl_small.mp4
Unavailable,59.3846,17.0404,14.248,Above Sea Level,2020-11-22,08:57:40,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNSftcAkfcpQ.json,VN,RREEPPLLAACCEE/VN/Sf/VNSftcAkfcpQ.mp4,RREEPPLLAACCEE/VN/Sf/VNSftcAkfcpQ_small.mp4
Unavailable,38.9469,76.5841,23.179,Above Sea Level,2020-11-10,01:45:40,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNUrbjG0Z66f.json,VN,RREEPPLLAACCEE/VN/Ur/VNUrbjG0Z66f.mp4,RREEPPLLAACCEE/VN/Ur/VNUrbjG0Z66f_small.mp4
Unavailable,33.1528,97.0243,165.786,Above Sea Level,2021-01-06,18:52:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNYtKrEURiZs.json,VN,RREEPPLLAACCEE/VN/Yt/VNYtKrEURiZs.mp4,RREEPPLLAACCEE/VN/Yt/VNYtKrEURiZs_small.mp4
Unavailable,28.1015,153.4462,66.543,Above Sea Level,2020-07-03,11:14:11,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNZyHbjKzcKz.json,VN,RREEPPLLAACCEE/VN/Zy/VNZyHbjKzcKz.mp4,RREEPPLLAACCEE/VN/Zy/VNZyHbjKzcKz_small.mp4
Unavailable,53.4769,2.2458,45.813,Above Sea Level,2020-11-10,06:00:13,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VNbxQTffGxdw.json,VN,RREEPPLLAACCEE/VN/bx/VNbxQTffGxdw.mp4,RREEPPLLAACCEE/VN/bx/VNbxQTffGxdw_small.mp4
