Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Tatiana,0,0,0,Unavailable,2020-12-03,04:30:39,Unavailable,Unavailable,Unavailable,Unavailable,Tatiana,Tatiana,Tatiana,meta-VOWhPOLTSQ9m.json,VO,RREEPPLLAACCEE/VO/Wh/VOWhPOLTSQ9m.mp4,RREEPPLLAACCEE/VO/Wh/VOWhPOLTSQ9m_small.mp4
adamhome,0,0,0,Unavailable,2020-08-16,15:22:50,Panasonic,,Unavailable,Unavailable,chadsmith,chadsmith,chadsmith,meta-Vo62jJHSqJq3.json,Vo,RREEPPLLAACCEE/Vo/62/Vo62jJHSqJq3.mp4,RREEPPLLAACCEE/Vo/62/Vo62jJHSqJq3_small.mp4
graphicdesigner,0,0,0,Unavailable,2021-01-02,20:42:24,Unavailable,Unavailable,Unavailable,Unavailable,graphicdesigner,graphicdesigner,graphicdesigner,meta-Vorz4DW3rcZK.json,Vo,RREEPPLLAACCEE/Vo/rz/Vorz4DW3rcZK.mp4,RREEPPLLAACCEE/Vo/rz/Vorz4DW3rcZK_small.mp4
qqxtts,0,0,0,Unavailable,2020-12-23,10:15:11,Unavailable,Unavailable,Unavailable,Unavailable,qqxtts,qqxtts,qqxtts,meta-vOcuklKEqb6i.json,vO,RREEPPLLAACCEE/vO/cu/vOcuklKEqb6i.mp4,RREEPPLLAACCEE/vO/cu/vOcuklKEqb6i_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-18,15:35:22,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-voptlyUXtN8X.json,vo,RREEPPLLAACCEE/vo/pt/voptlyUXtN8X.mp4,RREEPPLLAACCEE/vo/pt/voptlyUXtN8X_small.mp4
Unavailable,29.0790,80.9280,0,Unavailable,2020-11-16,00:29:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VO0NN3PYhQp5.json,VO,RREEPPLLAACCEE/VO/0N/VO0NN3PYhQp5.mp4,RREEPPLLAACCEE/VO/0N/VO0NN3PYhQp5_small.mp4
Unavailable,47.7050,122.3664,73.302,Above Sea Level,2020-12-21,02:51:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VO7hxSs0OwBV.json,VO,RREEPPLLAACCEE/VO/7h/VO7hxSs0OwBV.mp4,RREEPPLLAACCEE/VO/7h/VO7hxSs0OwBV_small.mp4
Unavailable,22.7364,45.3353,0,Unavailable,2020-05-01,09:29:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOAT1hFOXq5X.json,VO,RREEPPLLAACCEE/VO/AT/VOAT1hFOXq5X.mp4,RREEPPLLAACCEE/VO/AT/VOAT1hFOXq5X_small.mp4
Unavailable,31.1876,97.9254,310.845,Above Sea Level,2020-10-13,15:03:13,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOET2dTnPu2t.json,VO,RREEPPLLAACCEE/VO/ET/VOET2dTnPu2t.mp4,RREEPPLLAACCEE/VO/ET/VOET2dTnPu2t_small.mp4
Unavailable,35.9386,86.8224,199.96,Above Sea Level,2020-06-18,23:27:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOGqWDueQazR.json,VO,RREEPPLLAACCEE/VO/Gq/VOGqWDueQazR.mp4,RREEPPLLAACCEE/VO/Gq/VOGqWDueQazR_small.mp4
Unavailable,33.3082,111.9849,368.083,Above Sea Level,2020-08-13,20:01:52,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOImjE6FZZ0g.json,VO,RREEPPLLAACCEE/VO/Im/VOImjE6FZZ0g.mp4,RREEPPLLAACCEE/VO/Im/VOImjE6FZZ0g_small.mp4
Unavailable,40.7486,73.7301,58.487,Above Sea Level,2020-10-17,03:15:45,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOKvplp9BkBJ.json,VO,RREEPPLLAACCEE/VO/Kv/VOKvplp9BkBJ.mp4,RREEPPLLAACCEE/VO/Kv/VOKvplp9BkBJ_small.mp4
Unavailable,42.3113,71.9275,341.748,Above Sea Level,2020-08-28,21:23:17,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VON6pdMqPcJ1.json,VO,RREEPPLLAACCEE/VO/N6/VON6pdMqPcJ1.mp4,RREEPPLLAACCEE/VO/N6/VON6pdMqPcJ1_small.mp4
Unavailable,46.6711,92.6758,402.348,Above Sea Level,2020-12-30,19:18:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VONWd2j4yxKf.json,VO,RREEPPLLAACCEE/VO/NW/VONWd2j4yxKf.mp4,RREEPPLLAACCEE/VO/NW/VONWd2j4yxKf_small.mp4
Unavailable,40.7452,73.2590,13.089,Above Sea Level,2020-08-15,02:11:54,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOPMTJh5DXbi.json,VO,RREEPPLLAACCEE/VO/PM/VOPMTJh5DXbi.mp4,RREEPPLLAACCEE/VO/PM/VOPMTJh5DXbi_small.mp4
Unavailable,43.9589,98.2730,396.157,Above Sea Level,2020-11-08,15:27:57,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOWInBYvpXzt.json,VO,RREEPPLLAACCEE/VO/WI/VOWInBYvpXzt.mp4,RREEPPLLAACCEE/VO/WI/VOWInBYvpXzt_small.mp4
Unavailable,30.5921,96.3175,89.4,Above Sea Level,2020-11-11,01:25:27,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOdckMXrInV0.json,VO,RREEPPLLAACCEE/VO/dc/VOdckMXrInV0.mp4,RREEPPLLAACCEE/VO/dc/VOdckMXrInV0_small.mp4
Unavailable,33.7494,84.3889,319.689,Above Sea Level,2020-11-11,21:29:28,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VOeU0Blb4CMT.json,VO,RREEPPLLAACCEE/VO/eU/VOeU0Blb4CMT.mp4,RREEPPLLAACCEE/VO/eU/VOeU0Blb4CMT_small.mp4
