Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
joshitzkowitz,0,0,0,Unavailable,2020-06-23,00:13:19,Unavailable,Unavailable,Unavailable,Unavailable,joshitzkowitz,joshitzkowitz,joshitzkowitz,meta-0NHo6nTsLfT8.json,0N,RREEPPLLAACCEE/0N/Ho/0NHo6nTsLfT8.mp4,RREEPPLLAACCEE/0N/Ho/0NHo6nTsLfT8_small.mp4
Daniel,0,0,0,Unavailable,2020-09-24,23:16:29,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-0nMbY4gqYfQ6.json,0n,RREEPPLLAACCEE/0n/Mb/0nMbY4gqYfQ6.mp4,RREEPPLLAACCEE/0n/Mb/0nMbY4gqYfQ6_small.mp4
Unavailable,30.6050,96.3778,99.569,Above Sea Level,2020-07-22,01:45:44,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N1HE34cQmdw.json,0N,RREEPPLLAACCEE/0N/1H/0N1HE34cQmdw.mp4,RREEPPLLAACCEE/0N/1H/0N1HE34cQmdw_small.mp4
Unavailable,40.6788,74.6498,0,Unavailable,2020-09-19,15:25:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N1Tg6jodR1E.json,0N,RREEPPLLAACCEE/0N/1T/0N1Tg6jodR1E.mp4,RREEPPLLAACCEE/0N/1T/0N1Tg6jodR1E_small.mp4
Unavailable,41.6620,88.2295,204.895,Above Sea Level,2020-11-26,00:08:22,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N1cuO3MNCoL.json,0N,RREEPPLLAACCEE/0N/1c/0N1cuO3MNCoL.mp4,RREEPPLLAACCEE/0N/1c/0N1cuO3MNCoL_small.mp4
Unavailable,40.5850,124.1558,9.178,Above Sea Level,2020-12-25,23:17:55,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N2CCVMuSayc.json,0N,RREEPPLLAACCEE/0N/2C/0N2CCVMuSayc.mp4,RREEPPLLAACCEE/0N/2C/0N2CCVMuSayc_small.mp4
Unavailable,32.5458,94.7249,124.693,Above Sea Level,2020-10-24,15:28:39,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N5I5Yg5pIY2.json,0N,RREEPPLLAACCEE/0N/5I/0N5I5Yg5pIY2.mp4,RREEPPLLAACCEE/0N/5I/0N5I5Yg5pIY2_small.mp4
Unavailable,34.9031,86.5403,0,Unavailable,2020-11-14,14:30:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0N8sqjPEof6H.json,0N,RREEPPLLAACCEE/0N/8s/0N8sqjPEof6H.mp4,RREEPPLLAACCEE/0N/8s/0N8sqjPEof6H_small.mp4
Unavailable,40.7996,81.3771,0,Unavailable,2020-08-22,23:44:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NC6p2zh1jQu.json,0N,RREEPPLLAACCEE/0N/C6/0NC6p2zh1jQu.mp4,RREEPPLLAACCEE/0N/C6/0NC6p2zh1jQu_small.mp4
Unavailable,34.4502,114.3337,137.5,Above Sea Level,2020-06-06,20:02:04,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NEg3VwFhctw.json,0N,RREEPPLLAACCEE/0N/Eg/0NEg3VwFhctw.mp4,RREEPPLLAACCEE/0N/Eg/0NEg3VwFhctw_small.mp4
Unavailable,28.2816,82.1423,0,Unavailable,2020-08-23,22:55:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NMluo5I7p85.json,0N,RREEPPLLAACCEE/0N/Ml/0NMluo5I7p85.mp4,RREEPPLLAACCEE/0N/Ml/0NMluo5I7p85_small.mp4
Unavailable,38.7239,90.2941,177.141,Above Sea Level,2020-11-21,07:06:07,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NWF69urWz4X.json,0N,RREEPPLLAACCEE/0N/WF/0NWF69urWz4X.mp4,RREEPPLLAACCEE/0N/WF/0NWF69urWz4X_small.mp4
Unavailable,33.4939,111.9924,370.689,Above Sea Level,2020-08-18,04:53:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NZuJWdZBWTJ.json,0N,RREEPPLLAACCEE/0N/Zu/0NZuJWdZBWTJ.mp4,RREEPPLLAACCEE/0N/Zu/0NZuJWdZBWTJ_small.mp4
Unavailable,34.2182,78.0508,11.366,Above Sea Level,2020-11-20,13:26:38,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NaKEzE0UCPN.json,0N,RREEPPLLAACCEE/0N/aK/0NaKEzE0UCPN.mp4,RREEPPLLAACCEE/0N/aK/0NaKEzE0UCPN_small.mp4
Unavailable,39.5630,119.6851,1468.663,Above Sea Level,2020-12-24,01:36:04,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NhDpD95e2nA.json,0N,RREEPPLLAACCEE/0N/hD/0NhDpD95e2nA.mp4,RREEPPLLAACCEE/0N/hD/0NhDpD95e2nA_small.mp4
Unavailable,28.3408,80.7500,5.901,Above Sea Level,2020-10-15,22:02:59,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0NmLGBm2pDEh.json,0N,RREEPPLLAACCEE/0N/mL/0NmLGBm2pDEh.mp4,RREEPPLLAACCEE/0N/mL/0NmLGBm2pDEh_small.mp4
Unavailable,34.1241,117.6172,448.993,Above Sea Level,2020-08-12,02:04:05,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0n0F4b3wjc04.json,0n,RREEPPLLAACCEE/0n/0F/0n0F4b3wjc04.mp4,RREEPPLLAACCEE/0n/0F/0n0F4b3wjc04_small.mp4
Unavailable,28.6169,81.4490,21.463,Above Sea Level,2020-12-09,20:48:46,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nEpWx3DUJd3.json,0n,RREEPPLLAACCEE/0n/Ep/0nEpWx3DUJd3.mp4,RREEPPLLAACCEE/0n/Ep/0nEpWx3DUJd3_small.mp4
Unavailable,43.0305,83.8346,236.352,Above Sea Level,2020-11-14,17:59:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nFJnP6YeZ0B.json,0n,RREEPPLLAACCEE/0n/FJ/0nFJnP6YeZ0B.mp4,RREEPPLLAACCEE/0n/FJ/0nFJnP6YeZ0B_small.mp4
Unavailable,40.2067,76.3369,175.571,Above Sea Level,2020-12-22,13:56:24,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nHpGdQ5wNS3.json,0n,RREEPPLLAACCEE/0n/Hp/0nHpGdQ5wNS3.mp4,RREEPPLLAACCEE/0n/Hp/0nHpGdQ5wNS3_small.mp4
Unavailable,38.3261,85.3805,219.2,Above Sea Level,2018-01-03,03:10:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nKScH6uQ7CN.json,0n,RREEPPLLAACCEE/0n/KS/0nKScH6uQ7CN.mp4,RREEPPLLAACCEE/0n/KS/0nKScH6uQ7CN_small.mp4
Unavailable,40.8729,75.3586,277.744,Above Sea Level,2020-11-15,16:04:08,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nLo3j67tUfW.json,0n,RREEPPLLAACCEE/0n/Lo/0nLo3j67tUfW.mp4,RREEPPLLAACCEE/0n/Lo/0nLo3j67tUfW_small.mp4
Unavailable,30.2109,95.6512,59.871,Above Sea Level,2020-11-12,16:37:03,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nNFM5SQw4x9.json,0n,RREEPPLLAACCEE/0n/NF/0nNFM5SQw4x9.mp4,RREEPPLLAACCEE/0n/NF/0nNFM5SQw4x9_small.mp4
Unavailable,38.8920,77.0354,0,Unavailable,2021-01-06,15:24:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0naBwO7WKLdv.json,0n,RREEPPLLAACCEE/0n/aB/0naBwO7WKLdv.mp4,RREEPPLLAACCEE/0n/aB/0naBwO7WKLdv_small.mp4
Unavailable,43.8324,86.4303,178.703,Above Sea Level,2020-10-13,21:46:25,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0nkyWaleATLJ.json,0n,RREEPPLLAACCEE/0n/ky/0nkyWaleATLJ.mp4,RREEPPLLAACCEE/0n/ky/0nkyWaleATLJ_small.mp4
