Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
tricky,0,0,0,Unavailable,2020-05-26,05:33:33,Unavailable,Unavailable,Unavailable,Unavailable,tricky,tricky,tricky,meta-TRJBnGUOTbsC.json,TR,RREEPPLLAACCEE/TR/JB/TRJBnGUOTbsC.mp4,RREEPPLLAACCEE/TR/JB/TRJBnGUOTbsC_small.mp4
ryans,0,0,0,Unavailable,2020-09-14,17:37:36,Unavailable,Unavailable,Unavailable,Unavailable,ryans,ryans,ryans,meta-TRNguBMqqaKE.json,TR,RREEPPLLAACCEE/TR/Ng/TRNguBMqqaKE.mp4,RREEPPLLAACCEE/TR/Ng/TRNguBMqqaKE_small.mp4
shane,0,0,0,Unavailable,2020-11-24,02:49:08,Apple,,Unavailable,Unavailable,shane,shane,shane,meta-TRYPzW4fH9Vb.json,TR,RREEPPLLAACCEE/TR/YP/TRYPzW4fH9Vb.mp4,RREEPPLLAACCEE/TR/YP/TRYPzW4fH9Vb_small.mp4
MedCorps IT,0,0,0,Unavailable,2020-11-24,19:09:29,Unavailable,Unavailable,Unavailable,Unavailable,MedCorps IT,MedCorps IT,MedCorps IT,meta-TRZSaIfuoY2g.json,TR,RREEPPLLAACCEE/TR/ZS/TRZSaIfuoY2g.mp4,RREEPPLLAACCEE/TR/ZS/TRZSaIfuoY2g_small.mp4
Gabinete,0,0,0,Unavailable,2020-12-17,15:36:04,Unavailable,Unavailable,Unavailable,Unavailable,Gabinete,Gabinete,Gabinete,meta-TRqavF2cFKSI.json,TR,RREEPPLLAACCEE/TR/qa/TRqavF2cFKSI.mp4,RREEPPLLAACCEE/TR/qa/TRqavF2cFKSI_small.mp4
Rumen,0,0,0,Unavailable,2020-08-19,02:29:13,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-TRvM5Tztp3uA.json,TR,RREEPPLLAACCEE/TR/vM/TRvM5Tztp3uA.mp4,RREEPPLLAACCEE/TR/vM/TRvM5Tztp3uA_small.mp4
Johnson,0,0,0,Unavailable,2020-11-13,10:51:24,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-TRyg3sWznqss.json,TR,RREEPPLLAACCEE/TR/yg/TRyg3sWznqss.mp4,RREEPPLLAACCEE/TR/yg/TRyg3sWznqss_small.mp4
zimmermann,0,0,0,Unavailable,2021-01-06,22:32:53,Unavailable,,Unavailable,Unavailable,zimmermann,zimmermann,zimmermann,meta-TrE5dx30Hyuw.json,Tr,RREEPPLLAACCEE/Tr/E5/TrE5dx30Hyuw.mp4,RREEPPLLAACCEE/Tr/E5/TrE5dx30Hyuw_small.mp4
paul,0,0,0,Unavailable,2019-12-31,07:14:28,Unavailable,Unavailable,Unavailable,Unavailable,paul,paul,paul,meta-Trhzg5e1TvuS.json,Tr,RREEPPLLAACCEE/Tr/hz/Trhzg5e1TvuS.mp4,RREEPPLLAACCEE/Tr/hz/Trhzg5e1TvuS_small.mp4
melinachan,0,0,0,Unavailable,2020-06-29,23:35:29,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-tRFbnBgirhZR.json,tR,RREEPPLLAACCEE/tR/Fb/tRFbnBgirhZR.mp4,RREEPPLLAACCEE/tR/Fb/tRFbnBgirhZR_small.mp4
dombr,0,0,0,Unavailable,2020-12-09,08:30:17,Unavailable,Unavailable,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-tReox2azZM51.json,tR,RREEPPLLAACCEE/tR/eo/tReox2azZM51.mp4,RREEPPLLAACCEE/tR/eo/tReox2azZM51_small.mp4
zimmermann,0,0,0,Unavailable,2021-01-06,22:32:53,Unavailable,,Unavailable,Unavailable,zimmermann,zimmermann,zimmermann,meta-tRkmGKclRcAy.json,tR,RREEPPLLAACCEE/tR/km/tRkmGKclRcAy.mp4,RREEPPLLAACCEE/tR/km/tRkmGKclRcAy_small.mp4
Michele,0,0,0,Unavailable,2020-11-10,21:51:20,Unavailable,Unavailable,Unavailable,Unavailable,Michele,Michele,Michele,meta-tRvBm3sBt3Uj.json,tR,RREEPPLLAACCEE/tR/vB/tRvBm3sBt3Uj.mp4,RREEPPLLAACCEE/tR/vB/tRvBm3sBt3Uj_small.mp4
Pauly,0,0,0,Unavailable,2020-10-31,06:16:31,Unavailable,Unavailable,Unavailable,Unavailable,Pauly,Pauly,Pauly,meta-trb1VrcHV1VJ.json,tr,RREEPPLLAACCEE/tr/b1/trb1VrcHV1VJ.mp4,RREEPPLLAACCEE/tr/b1/trb1VrcHV1VJ_small.mp4
Unavailable,47.8689,117.6428,559.009,Above Sea Level,2020-11-02,23:34:57,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TR0M0Nqf8Bzk.json,TR,RREEPPLLAACCEE/TR/0M/TR0M0Nqf8Bzk.mp4,RREEPPLLAACCEE/TR/0M/TR0M0Nqf8Bzk_small.mp4
Unavailable,36.1468,86.6274,158.08,Above Sea Level,2020-12-23,16:00:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TR1bJG5yASlR.json,TR,RREEPPLLAACCEE/TR/1b/TR1bJG5yASlR.mp4,RREEPPLLAACCEE/TR/1b/TR1bJG5yASlR_small.mp4
Unavailable,34.9859,82.5442,305.28,Above Sea Level,2020-11-05,23:57:53,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TR4GO7bj07rB.json,TR,RREEPPLLAACCEE/TR/4G/TR4GO7bj07rB.mp4,RREEPPLLAACCEE/TR/4G/TR4GO7bj07rB_small.mp4
Unavailable,50.8474,3.3935,47.983,Above Sea Level,2020-11-28,19:57:17,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TR4RzT119zmF.json,TR,RREEPPLLAACCEE/TR/4R/TR4RzT119zmF.mp4,RREEPPLLAACCEE/TR/4R/TR4RzT119zmF_small.mp4
